center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,resp.keys,resp.rt,resp.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,text_4.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013378083938732743,0.020420667016878724,0.020420667016878724,9.533737333957106,space,9.507326208986342,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.533822166966274,9.549927917,9.549927917,9.883052374934778,space,0.32969970896374434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
30,0,right,0,0,0,right,1,2.2506100409664214,None,,,,,,,,,,,,0,0,0,0,,,,,,,,,9.901497167,,,,,,,,,,,,,,,,9.894426834,9.901497167,10.385649667005055,10.385649667005055,11.373419667012058,11.382237917045131,11.382237917045131,12.154017583932728,right,1,2.2506100409664214,None,12.158500291989185,12.21090062498115,13.665756750036962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
-30,0,left,1,1,0,left,1,0.8952502920292318,None,,,,,,,,,,,,0,1,1,1,,,,,,,,,13.671856374945492,,,,,,,,,,,,,,,,13.66680287499912,13.671856374945492,14.14862271,14.14862271,,,,14.574081041966565,left,1,0.8952502920292318,None,14.57421595894266,14.58169037499465,16.06651520903688,16.07251750002615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
30,60,right,2,2,0,right,1,0.8805781250121072,None,,,,,,,,,,,,0,2,2,2,,,,,,,,,16.07251750002615,,,,,,,,,,,,,,,,16.06751974998042,16.07251750002615,16.57424662495032,16.57424662495032,,,,16.957082250039093,right,1,0.8805781250121072,None,16.95722666697111,16.965056249988265,18.44986924994737,18.455480459029786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
-30,-60,left,3,3,0,left,1,1.0031092920107767,None,,,,,,,,,,,,0,3,3,3,,,,,,,,,18.455480459029786,,,,,,,,,,,,,,,,18.451053875032812,18.455480459029786,18.956741166999564,18.956741166999564,,,,19.467658416950144,left,1,1.0031092920107767,None,19.467873999965377,19.475465083960444,20.966455291956663,20.973530916962773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.96660046,20.973530916962773,20.973530916962773,22.117645249934867,space,1.137892875005491,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
-30,-60,left,0,0,0,,,,,100,left,1,1.0837743340525776,None,,,,,,,,,,,0,0,0,0,,,,,22.137989833950996,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.22454441699665,23.231496874941513,24.716136208968237,24.721369334030896,,,,,,,,22.126126167015173,22.137989833950996,22.61903900001198,22.61903900001198,22.689827000023797,22.689827000023797,22.689827000023797,23.224445250001736,left,1,1.0837743340525776,None,,,,,,,,,,,,,,,,,,,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
-30,0,left,1,1,0,,,,,100,left,1,0.8865066251019016,None,,,,,,,,,,,0,1,1,1,,,,,24.721369334030896,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.617519291932695,25.625112334033474,27.11584683402907,27.120290084043518,,,,,,,,24.716683084028773,24.721369334030896,25.22253658401314,25.22253658401314,25.298874041996896,25.298874041996896,25.303072834038176,25.617359958938323,left,1,0.8865066251019016,None,,,,,,,,,,,,,,,,,,,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
30,60,right,2,2,0,,,,,100,right,1,0.7844232500065118,None,,,,,,,,,,,0,2,2,2,,,,,27.120290084043518,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.90629429195542,27.914123166934587,29.399884999962524,29.405309166992083,,,,,,,,27.116446709027514,27.120290084043518,27.614193208981305,27.614193208981305,27.68905362498481,27.68905362498481,27.68905362498481,27.906203584047034,right,1,0.7844232500065118,None,,,,,,,,,,,,,,,,,,,,,,,,,,191038,001,2025-08-16_11h23.38.929,tilt_mocs,2024.2.4,None,2025-08-16 11h23.45.641379 -0700
