center,surround,type,surr_type,surr_opacity,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_4.started,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,0.009485541,0.020424833,0.020424833,0.550464166,space,0.5027057499391958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272487,001,2025-08-16_12h05.33.078,tilt_mocs,2024.2.4,None,2025-08-16 12h05.39.814170 -0700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5505178329767659,0.5639287079684436,0.5639287079684436,0.7339879159117118,space,0.16817612492013723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272487,001,2025-08-16_12h05.33.078,tilt_mocs,2024.2.4,None,2025-08-16 12h05.39.814170 -0700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7403116249479353,0.7509182909270748,0.7509182909270748,7.248998040915467,space,6.488179667037912,None,,,,,,,,,,,,,,,,,,,,,,,,,,272487,001,2025-08-16_12h05.33.078,tilt_mocs,2024.2.4,None,2025-08-16 12h05.39.814170 -0700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.257091791019775,7.2665141659090295,7.2665141659090295,16.615185290924273,space,9.339683124911971,None,,,,,,,,,,,,,,,,,,,272487,001,2025-08-16_12h05.33.078,tilt_mocs,2024.2.4,None,2025-08-16 12h05.39.814170 -0700
-1.5,-15,p1,negs,100,0,0,0,right,1.1541952090337873,None,,,,,,,,,0,0,0,33,16.63473087491002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.62661108293105,16.63473087491002,17.11675429099705,17.11675429099705,17.185837624943815,17.185837624943815,17.185837624943815,17.797987291007303,right,1.1541952090337873,None,,,,,,,,272487,001,2025-08-16_12h05.33.078,tilt_mocs,2024.2.4,None,2025-08-16 12h05.39.814170 -0700
3.5,15,p2,poss,100,1,1,0,right,1.3993164170533419,None,,,,,,,,,0,1,1,36,17.87780487490818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.798810457927175,17.87780487490818,18.29648283298593,18.29648283298593,18.36759637494106,18.36759637494106,18.36759637494106,19.28218137496151,right,1.3993164170533419,None,,,,,,,,272487,001,2025-08-16_12h05.33.078,tilt_mocs,2024.2.4,None,2025-08-16 12h05.39.814170 -0700
-1.5,0,p1,noss,0,2,2,0,left,0.9739246250828728,None,,,,,,,,,0,2,2,29,19.290990374982357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.284008957911283,19.290990374982357,19.779697749996558,19.779697749996558,19.85080812498927,19.85080812498927,19.85080812498927,20.27000387501903,left,0.9739246250828728,None,,,,,,,,272487,001,2025-08-16_12h05.33.078,tilt_mocs,2024.2.4,None,2025-08-16 12h05.39.814170 -0700
1.5,0,m1,noss,0,3,3,0,right,0.9596900000469759,None,,,,,,,,,0,3,3,10,20.278582457918674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.271112332935445,20.278582457918674,20.76868612493854,20.76868612493854,20.846301040961407,20.846301040961407,20.846301040961407,21.248542374931276,right,0.9596900000469759,None,,,,,,,,272487,001,2025-08-16_12h05.33.078,tilt_mocs,2024.2.4,None,2025-08-16 12h05.39.814170 -0700
2,15,PSE,poss,100,4,4,0,right,1.678042082930915,None,,,,,,,,,0,4,4,56,21.256676124990918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.24993937497493,21.256676124990918,21.746261082938872,21.746261082938872,21.81691204092931,21.81691204092931,21.81691204092931,22.937341290991753,right,1.678042082930915,None,,,,,,,,272487,001,2025-08-16_12h05.33.078,tilt_mocs,2024.2.4,None,2025-08-16 12h05.39.814170 -0700
0.5,0,m2,noss,0,5,5,0,right,1.4226845839293674,None,,,,,,,,,0,5,5,22,22.94559566595126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.938360332977027,22.94559566595126,23.43737479101401,23.43737479101401,23.512225540936925,23.512225540936925,23.512225540936925,24.382290999987163,right,1.4226845839293674,None,,,,,,,,272487,001,2025-08-16_12h05.33.078,tilt_mocs,2024.2.4,None,2025-08-16 12h05.39.814170 -0700
