center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_4.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014329958008602262,0.021025000023655593,0.021025000023655593,2.609114708029665,space,2.538702958030626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742298,001,2025-08-16_11h21.36.682,tilt_mocs,2024.2.4,None,2025-08-16 11h21.43.109802 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.609193375101313,2.6261266249930486,2.6261266249930486,4.250116500072181,space,1.6166335829766467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742298,001,2025-08-16_11h21.36.682,tilt_mocs,2024.2.4,None,2025-08-16 11h21.43.109802 -0700,
30,0,right,0,0,0,right,1,1.895061666960828,None,,,,,,,,,0,0,0,0,,,,,,,,,4.2780052500311285,,,,,,,,,,,,,,,,4.265192916034721,4.2780052500311285,4.754351916024461,4.754351916024461,5.747861250070855,5.754237791057676,5.754237791057676,6.183511208044365,right,1,1.895061666960828,None,6.1886339579941705,6.250514208106324,7.684575750026852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742298,001,2025-08-16_11h21.36.682,tilt_mocs,2024.2.4,None,2025-08-16 11h21.43.109802 -0700,
-30,0,left,1,1,0,left,1,0.8692731249611825,None,,,,,,,,,0,1,1,1,,,,,,,,,7.697357000084594,,,,,,,,,,,,,,,,7.685549666057341,7.697357000084594,8.180732208071277,8.180732208071277,,,,8.570865457993932,left,1,0.8692731249611825,None,8.57096108305268,8.580062207998708,10.064851916045882,10.069910166086629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742298,001,2025-08-16_11h21.36.682,tilt_mocs,2024.2.4,None,2025-08-16 11h21.43.109802 -0700,
30,60,right,2,2,0,right,1,0.9630586669081822,None,,,,,,,,,0,2,2,2,,,,,,,,,10.069910166086629,,,,,,,,,,,,,,,,10.065860708011314,10.069910166086629,10.563449875102378,10.563449875102378,,,,11.03998958307784,right,1,0.9630586669081822,None,11.040132041089237,11.047914458089508,12.53199799999129,12.535751749994233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742298,001,2025-08-16_11h21.36.682,tilt_mocs,2024.2.4,None,2025-08-16 11h21.43.109802 -0700,
-30,-60,left,3,3,0,left,1,0.929906666977331,None,,,,,,,,,0,3,3,3,,,,,,,,,12.535751749994233,,,,,,,,,,,,,,,,12.53284783300478,12.535751749994233,13.03999754099641,13.03999754099641,,,,13.476301291026175,left,1,0.929906666977331,None,13.476412666030228,13.480933208018541,14.965662041096948,14.972920375061221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742298,001,2025-08-16_11h21.36.682,tilt_mocs,2024.2.4,None,2025-08-16 11h21.43.109802 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.965808083070442,14.972920375061221,14.972920375061221,16.050334291066974,space,1.0732652499573305,None,,,,,,,,,,,,,,,,,,,,,,,,,,,742298,001,2025-08-16_11h21.36.682,tilt_mocs,2024.2.4,None,2025-08-16 11h21.43.109802 -0700,
-30,-60,left,0,0,0,,,,,100,left,1,0.9685611660825089,None,,,,,,,,0,0,0,0,,,,,16.065996333025396,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.039979250053875,17.047790541080758,18.532362708006985,18.537472250056453,,,,,,,,16.058032375061885,16.065996333025396,16.550779166049324,16.550779166049324,16.622161000035703,16.622161000035703,16.622161000035703,17.0398308330914,left,1,0.9685611660825089,None,,,,,,,,,,,,,,,742298,001,2025-08-16_11h21.36.682,tilt_mocs,2024.2.4,None,2025-08-16 11h21.43.109802 -0700,
-30,0,left,1,1,0,,,,,100,left,1,1.0004104170948267,None,,,,,,,,0,1,1,1,,,,,18.537472250056453,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.550722707994282,19.55805049999617,21.048572208033875,21.053735500085168,,,,,,,,18.53286816610489,18.537472250056453,19.040265166084282,19.040265166084282,19.115106250043027,19.115106250043027,19.115106250043027,19.550599833019078,left,1,1.0004104170948267,None,,,,,,,,,,,,,,,742298,001,2025-08-16_11h21.36.682,tilt_mocs,2024.2.4,None,2025-08-16 11h21.43.109802 -0700,
30,60,right,2,2,0,,,,,100,right,1,0.8336207080865279,None,,,,,,,,0,2,2,2,,,,,21.053735500085168,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8896353750024,21.896983083104715,23.381135541014373,23.38488879101351,,,,,,,,21.049101416021585,21.053735500085168,21.55074775009416,21.55074775009416,21.620653124991804,21.620653124991804,21.620653124991804,21.889513208065182,right,1,0.8336207080865279,None,,,,,,,,,,,,,,,742298,001,2025-08-16_11h21.36.682,tilt_mocs,2024.2.4,None,2025-08-16 11h21.43.109802 -0700,
