center,surround,type,surr_type,surr_opacity,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,text_4.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.012651959201321006,0.023466542130336165,0.023466542130336165,1.2226167500484735,space,1.1462534158490598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian,001,2025-08-19_16h36.51.316,tilt_mocs,2024.2.4,None,2025-08-19 16h37.11.445374 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.222696291981265,1.2532779171597213,1.2532779171597213,1.6605444171000272,space,0.39877637499012053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian,001,2025-08-19_16h36.51.316,tilt_mocs,2024.2.4,None,2025-08-19 16h37.11.445374 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7183026671409607,1.729224625043571,1.729224625043571,3.486879625124857,space,1.7473140831571072,None,,,,,,,,,,,,,,,,,,,,,,,,,,brian,001,2025-08-19_16h36.51.316,tilt_mocs,2024.2.4,None,2025-08-19 16h37.11.445374 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.494113667169586,3.500051209004596,3.500051209004596,5.0986606671940535,space,1.5940298750065267,None,,,,,,,,,,,,,,,,,,,brian,001,2025-08-19_16h36.51.316,tilt_mocs,2024.2.4,None,2025-08-19 16h37.11.445374 -0400,
0.5,15.0,m1,poss,100,0,0,0,right,2.305058625061065,None,,,,,,,,,0,0,0,33,5.126488292124122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11901954212226,5.126488292124122,5.602828334085643,5.602828334085643,5.673930709017441,5.6781624590512365,5.6781624590512365,7.442965083988383,right,2.305058625061065,None,,,,,,,,brian,001,2025-08-19_16h36.51.316,tilt_mocs,2024.2.4,None,2025-08-19 16h37.11.445374 -0400,
-3.722222222222223,-15.0,m2,negs,100,1,1,0,left,1.21741420798935,None,,,,,,,,,0,1,1,116,7.582821250194684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.443936209194362,7.582821250194684,7.9415077501907945,7.9415077501907945,8.014215250033885,8.014215250033885,8.014215250033885,8.810188458999619,left,1.21741420798935,None,,,,,,,,brian,001,2025-08-19_16h36.51.316,tilt_mocs,2024.2.4,None,2025-08-19 16h37.11.445374 -0400,
-1.6388888888888888,0.0,m3,noss,0,2,2,0,left,0.9892421250697225,None,,,,,,,,,0,2,2,200,8.820864709094167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.811589459190145,8.820864709094167,9.308424959192052,9.308424959192052,9.380861834157258,9.380861834157258,9.380861834157258,9.816415625158697,left,0.9892421250697225,None,,,,,,,,brian,001,2025-08-19_16h36.51.316,tilt_mocs,2024.2.4,None,2025-08-19 16h37.11.445374 -0400,
-3.2222222222222228,-15.0,m1,negs,100,3,3,0,right,1.2181753751356155,None,,,,,,,,,0,3,3,135,9.824905459070578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.817545584170148,9.824905459070578,10.316038709133863,10.316038709133863,10.391426084097475,10.391426084097475,10.391426084097475,11.049066375009716,right,1.2181753751356155,None,,,,,,,,brian,001,2025-08-19_16h36.51.316,tilt_mocs,2024.2.4,None,2025-08-19 16h37.11.445374 -0400,
0.5,15.0,m3,poss,100,4,4,0,left,1.1258449170272797,None,,,,,,,,,0,4,4,3,11.057279959088191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.050211167195812,11.057279959088191,11.547862417064607,11.547862417064607,11.624703917186707,11.624703917186707,11.624703917186707,12.193268542177975,left,1.1258449170272797,None,,,,,,,,brian,001,2025-08-19_16h36.51.316,tilt_mocs,2024.2.4,None,2025-08-19 16h37.11.445374 -0400,
2.0,15.0,p2,poss,100,5,5,0,right,1.0761243749875575,None,,,,,,,,,0,5,5,82,12.20066550001502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.194710084004328,12.20066550001502,12.691549916984513,12.691549916984513,12.763541292166337,12.763541292166337,12.763541292166337,13.281268500024453,right,1.0761243749875575,None,,,,,,,,brian,001,2025-08-19_16h36.51.316,tilt_mocs,2024.2.4,None,2025-08-19 16h37.11.445374 -0400,
