center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,practice_feedback_timed.stopped,text_16.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010824666998814791,0.018717583996476606,0.018717583996476606,36.67285383399576,space,36.60879887500778,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040099,2,2026-01-15_12h12.40.477,tilt_mocs,2024.2.4,120.82791337127415,2026-01-15 12h12.52.410327 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.67453333400772,36.69652341702022,36.69652341702022,36.69652341702022,36.69652341702022,41.034588167007314,period,4.3330628749972675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040099,2,2026-01-15_12h12.40.477,tilt_mocs,2024.2.4,120.82791337127415,2026-01-15 12h12.52.410327 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.03466133400798,41.045742042013444,41.045742042013444,52.01774320899858,space,10.966255667008227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040099,2,2026-01-15_12h12.40.477,tilt_mocs,2024.2.4,120.82791337127415,2026-01-15 12h12.52.410327 -0500,
30,0,period,0,0,0,period,1,0.9889406660222448,None,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,52.039470250019804,,,,,,,,,,,,,,,,,,,,,,,,,52.03112525001052,52.039470250019804,52.5234797919984,52.5234797919984,53.03446241701022,period,1,0.9889406660222448,None,53.03918883399456,53.04897641701973,54.542957541998476,54.534551874996396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040099,2,2026-01-15_12h12.40.477,tilt_mocs,2024.2.4,120.82791337127415,2026-01-15 12h12.52.410327 -0500,
-30,0,z,1,1,0,z,1,0.9907439590024296,None,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,54.542957541998476,,,,,,,,,,,,,,,,,,,,,,,,,54.53739933401812,54.542957541998476,55.03529954201076,55.03529954201076,55.54546862500138,z,1,0.9907439590024296,None,55.545581999991555,55.550328334007645,57.043290292000165,57.033593208994716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040099,2,2026-01-15_12h12.40.477,tilt_mocs,2024.2.4,120.82791337127415,2026-01-15 12h12.52.410327 -0500,
30,60,period,2,2,0,period,1,0.9549804159905761,None,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,57.043290292000165,,,,,,,,,,,,,,,,,,,,,,,,,57.03601858401089,57.043290292000165,57.543290917004924,57.543290917004924,58.00244149999344,period,1,0.9549804159905761,None,58.00260133401025,58.01259366699378,59.51000412501162,59.49965887499275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040099,2,2026-01-15_12h12.40.477,tilt_mocs,2024.2.4,120.82791337127415,2026-01-15 12h12.52.410327 -0500,
-30,-60,z,3,3,0,z,1,1.0553495830099564,None,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,59.51000412501162,,,,,,,,,,,,,,,,,,,,,,,,,59.502029750001384,59.51000412501162,60.00175195900374,60.00175195900374,60.568611750000855,z,1,1.0553495830099564,None,60.568716417008545,60.577479750005296,62.06940841700998,62.06137641699752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040099,2,2026-01-15_12h12.40.477,tilt_mocs,2024.2.4,120.82791337127415,2026-01-15 12h12.52.410327 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0615679170005,62.06940841700998,62.06940841700998,82.10721470901626,space,20.0260690410214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040099,2,2026-01-15_12h12.40.477,tilt_mocs,2024.2.4,120.82791337127415,2026-01-15 12h12.52.410327 -0500,
-30,-60,z,0,0,0,,,,,100,0,z,1,1.1750010419928003,None,,,,,,,,,,,,,,0,0,0,0,,,,,82.12052866700105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.11493608399178,82.12052866700105,82.60937762501999,82.60937762501999,82.60937762501999,82.68615333401249,82.68615333401249,82.68615333401249,82.68615333401249,83.30783299999894,z,1,1.1750010419928003,None,83.311460041994,83.31872145901434,84.81167008401826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040099,2,2026-01-15_12h12.40.477,tilt_mocs,2024.2.4,120.82791337127415,2026-01-15 12h12.52.410327 -0500,
-30,0,z,1,1,0,,,,,100,0,z,1,1.10923458400066,None,,,,,,,,,,,,,,0,1,1,1,,,,,84.81939824999426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.81343020900385,84.81939824999426,85.3041275840078,85.3041275840078,85.3041275840078,85.37819179199869,85.37819179199869,85.37819179199869,85.38436454199837,85.93108895901241,z,1,1.10923458400066,None,85.93122329202015,85.94022154199774,87.42903629201464,87.43755433399929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040099,2,2026-01-15_12h12.40.477,tilt_mocs,2024.2.4,120.82791337127415,2026-01-15 12h12.52.410327 -0500,
