center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,text_12.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009005874999274965,0.016088667000076384,0.016088667000076384,50.49975716699919,space,50.48022695799955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,0,2026-02-02_15h46.07.187,tilt_mocs,2024.2.4,120.47932651896049,2026-02-02 15h46.16.260260 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.50151708299927,50.52102054199895,50.52102054199895,50.52102054199895,50.52102054199895,56.30890258299951,period,5.778643708001255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,0,2026-02-02_15h46.07.187,tilt_mocs,2024.2.4,120.47932651896049,2026-02-02 15h46.16.260260 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.30897874999937,56.319272041999284,56.319272041999284,72.27753854199909,space,15.955688416999692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,0,2026-02-02_15h46.07.187,tilt_mocs,2024.2.4,120.47932651896049,2026-02-02 15h46.16.260260 -0500,
30,0,period,0,0,0,period,1,1.3887770830006048,None,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,72.29911704199912,,,,,,,,,,,,,,,,,,,,,,,,,72.29078958299942,72.29911704199912,72.7911074579988,72.7911074579988,73.69360279200009,period,1,1.3887770830006048,None,73.69950316699942,73.71029287499914,75.19683037499999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,0,2026-02-02_15h46.07.187,tilt_mocs,2024.2.4,120.47932651896049,2026-02-02 15h46.16.260260 -0500,
-30,0,z,1,1,0,z,1,1.0499617919995217,None,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,75.20774424999945,,,,,,,,,,,,,,,,,,,,,,,,,75.19961404199967,75.20774424999945,75.69115320799938,75.69115320799938,76.26023862500006,z,1,1.0499617919995217,None,76.26036299999942,76.26940087499861,77.75899037499948,77.76711416699982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,0,2026-02-02_15h46.07.187,tilt_mocs,2024.2.4,120.47932651896049,2026-02-02 15h46.16.260260 -0500,
30,60,period,2,2,0,period,1,1.07576408299974,None,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,77.76711416699982,,,,,,,,,,,,,,,,,,,,,,,,,77.76135908299875,77.76711416699982,78.2584129579991,78.2584129579991,78.84918141699927,period,1,1.07576408299974,None,78.84929516699958,78.8579157919994,80.3412901669999,80.34868887499943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,0,2026-02-02_15h46.07.187,tilt_mocs,2024.2.4,120.47932651896049,2026-02-02 15h46.16.260260 -0500,
-30,-60,z,3,3,0,z,1,1.0558000829987577,None,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,80.34868887499943,,,,,,,,,,,,,,,,,,,,,,,,,80.34352516699983,80.34868887499943,80.85007895799936,80.85007895799936,81.41026408299876,z,1,1.0558000829987577,None,81.41037233299903,81.41933937499925,82.90945512500002,82.91805758299961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,0,2026-02-02_15h46.07.187,tilt_mocs,2024.2.4,120.47932651896049,2026-02-02 15h46.16.260260 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.90967699999965,82.91805758299961,82.91805758299961,104.16701512500003,space,21.2452937500002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,0,2026-02-02_15h46.07.187,tilt_mocs,2024.2.4,120.47932651896049,2026-02-02 15h46.16.260260 -0500,
-30,-60,z,0,0,0,,,,,100,0,period,0,7.576235291999183,None,,,,,,,,,,,,,,0,0,0,0,,,,,104.182681667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.17436908299896,104.182681667,104.67313787499916,104.67313787499916,104.67313787499916,104.74210237499938,104.74737029199969,104.74737029199969,104.74737029199969,111.76172504199894,period,0,7.576235291999183,None,111.76505483300025,111.77561533299922,113.26767833299891,113.26025604200004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,0,2026-02-02_15h46.07.187,tilt_mocs,2024.2.4,120.47932651896049,2026-02-02 15h46.16.260260 -0500,
-30,0,z,1,1,0,,,,,100,0,z,1,1.2657417499995063,None,,,,,,,,,,,,,,0,1,1,1,,,,,113.26767833299891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.26198020799893,113.26767833299891,113.75925066699892,113.75925066699892,113.75925066699892,113.83257104199947,113.83257104199947,113.83257104199947,113.83257104199947,114.54548866699952,z,1,1.2657417499995063,None,114.54894045800029,114.55855433299985,116.0516969170003,116.04390879200037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,0,2026-02-02_15h46.07.187,tilt_mocs,2024.2.4,120.47932651896049,2026-02-02 15h46.16.260260 -0500,
