center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008606834002421238,0.015890875001787208,0.015890875001787208,42.94150570900092,space,42.88080320800509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.943047708999075,42.96413270899939,42.96413270899939,42.96413270899939,42.96413270899939,49.79648608400021,period,6.828555583000707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.79656508399785,49.80693991699809,49.80693991699809,63.437000375000935,space,13.62794141699851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
30,0,period,0,0,0,period,1,1.3532374580026953,None,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,63.458045209001284,,,,,,,,,,,,,,,,,,,,,,,,,63.449609666997276,63.458045209001284,63.94122579199757,63.94122579199757,64.81383804199868,period,1,1.3532374580026953,None,64.81887445900065,64.82952149999619,66.32087279199914,66.31259654199675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-30,0,z,1,1,0,z,1,0.9525073330005398,None,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,66.32087279199914,,,,,,,,,,,,,,,,,,,,,,,,,66.31500291699922,66.32087279199914,66.81139441699634,66.81139441699634,67.28075220900064,z,1,0.9525073330005398,None,67.2808920000025,67.28986283399718,68.78755395900225,68.77939974999754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
30,60,period,2,2,0,period,1,0.9536882920001517,None,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,68.78755395900225,,,,,,,,,,,,,,,,,,,,,,,,,68.7816348339984,68.78755395900225,69.27826050000294,69.27826050000294,69.74714870900061,period,1,0.9536882920001517,None,69.74726029200247,69.75632337499701,71.25306450000062,71.24503125000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-30,-60,z,3,3,0,z,1,0.9315022920054616,None,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,71.25306450000062,,,,,,,,,,,,,,,,,,,,,,,,,71.24750262500311,71.25306450000062,71.74495995899633,71.74495995899633,72.18733054200129,z,1,0.9315022920054616,None,72.18744304199936,72.19662887499726,73.69509454200306,73.68553112499649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.68572195900197,73.69509454200306,73.69509454200306,99.03325395900174,space,25.335126666999713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-30,-60,z,0,0,0,,,,,100,0,period,0,3.300748499998008,None,,,,,,,,,,,,,,0,0,0,0,,,,,99.05031491699629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.04090112500126,99.05031491699629,99.53335695900023,99.53335695900023,99.53335695900023,99.60429745900183,99.60429745900183,99.60429745900183,99.60429745900183,102.35450899999705,period,0,3.300748499998008,None,102.35780208399956,102.3675297919981,103.86339691699686,103.85240512499877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-30,0,z,1,1,0,,,,,100,0,z,1,1.840251832996728,None,,,,,,,,,,,,,,0,1,1,1,,,,,103.86339691699686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.85379862500122,103.86339691699686,104.35615645899816,104.35615645899816,104.35615645899816,104.43012395899859,104.43012395899859,104.43012395899859,104.43012395899859,105.71537749999698,z,1,1.840251832996728,None,105.72003045900055,105.72967475000041,107.2224722500032,107.21440670899756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
30,60,period,2,2,0,,,,,100,0,period,1,1.0112766249949345,None,,,,,,,,,,,,,,0,2,2,2,,,,,107.2224722500032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.21662495900091,107.2224722500032,107.71298533400113,107.71298533400113,107.71298533400113,107.78614820900111,107.78614820900111,107.78614820900111,107.78614820900111,108.23772599999938,period,1,1.0112766249949345,None,108.237886875002,108.24674154200329,109.73842316700029,109.73110258400266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
30,0,period,3,3,0,,,,,100,0,period,1,0.9704856669995934,None,,,,,,,,,,,,,,0,3,3,3,,,,,109.73842316700029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.73281845900055,109.73842316700029,110.23946483399777,110.23946483399777,110.23946483399777,110.31336483400082,110.31336483400082,110.31336483400082,110.31336483400082,110.71513720900111,period,1,0.9704856669995934,None,110.7152622499998,110.72442166700057,112.22246045900101,112.21461420899868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-30,69,z,4,4,0,,,,,0,100,z,1,1.0496370839973679,None,,,,,,,,,,,,,,0,4,4,4,,,,,112.22246045900101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.21663608399831,112.22246045900101,112.71321779199934,112.71321779199934,112.71321779199934,112.78619108400017,112.78619108400017,112.78619108400017,112.78619108400017,113.28221399999893,z,1,1.0496370839973679,None,113.28236970899889,113.29150225000194,114.78884041700076,114.78122333400097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
30,69,period,5,5,0,,,,,0,100,period,1,0.965627041994594,None,,,,,,,,,,,,,,0,5,5,5,,,,,114.78884041700076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.78295358399919,114.78884041700076,115.28041474999918,115.28041474999918,115.28041474999918,115.35321133399702,115.35321133399702,115.35321133399702,115.35321133399702,115.76651500000298,period,1,0.965627041994594,None,115.76670458399894,115.77626841700112,117.27285300000221,117.26446266700077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.2646692499984,117.27285300000221,117.27285300000221,148.15024358400115,space,30.867863749997923,None,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
2,0.0,,0,0,0,,,,,0,100,,,,,c+2,noss,0.5,period,6.932379416000913,None,None,,,,,,,,,,,0,0,0,638,148.2861936249974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.27905958399788,148.2861936249974,148.65205270899605,148.65205270899605,148.65205270899605,148.7208380000011,148.7208380000011,148.7208380000011,155.22258624999813,period,6.932379416000913,None,155.22269779199996,155.22275879199879,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
2,15.0,,1,1,0,,,,,100,0,,,,,c+2,poss,1.0,z,2.737320833002741,None,None,,,,,,,,,,,0,1,1,110,155.2340351669991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.22487908400217,155.2340351669991,156.2244429170023,156.2244429170023,156.2244429170023,156.2986957499961,156.2986957499961,156.2986957499961,157.97410020900134,z,2.737320833002741,None,157.9742736249973,157.9743339170018,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
2,15.0,,2,2,0,,,,,100,0,,,,,c+2,poss,1.25,period,2.8996057089971146,None,None,,,,,,,,,,,0,2,2,119,157.98535079199792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.9770419589986,157.98535079199792,159.22479608400317,159.22479608400317,159.22479608400317,159.29905137499736,159.29905137499736,159.29905137499736,160.89014974999736,period,2.8996057089971146,None,160.8902922499983,160.89035245899868,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
0,15.0,,3,3,0,,,,,100,0,,,,,c+0,poss,1.25,z,1.8873342919978313,None,None,,,,,,,,,,,0,3,3,76,160.9012904170013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.89264329199796,160.9012904170013,162.14190158400015,162.14190158400015,162.14190158400015,162.22079062499688,162.22079062499688,162.22079062499688,162.79121879200102,z,1.8873342919978313,None,162.791362750002,162.79141908400197,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
2,15.0,,4,4,0,,,,,100,0,,,,,c+2,poss,1.25,z,1.8664342080010101,None,None,,,,,,,,,,,0,4,4,118,162.80235879199608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.79388774999825,162.80235879199608,164.04096033400128,164.04096033400128,164.04096033400128,164.1155325840009,164.1155325840009,164.1155325840009,164.67382124999858,z,1.8664342080010101,None,164.67396204199758,164.67401925000013,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
4,0.0,,5,5,0,,,,,0,100,,,,,c+4,noss,0.5,period,1.0636046250001527,None,None,,,,,,,,,,,0,5,5,672,164.6848695000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.67625399999815,164.6848695000008,165.17409475000022,165.17409475000022,165.17409475000022,165.24922066699946,165.24922066699946,165.24922066699946,165.75107966700307,period,1.0636046250001527,None,165.75121829199634,165.75127529200108,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-2,-15.0,,6,6,0,,,,,100,0,,,,,c-2,negs,0.5,period,1.0654085420028423,None,None,,,,,,,,,,,0,6,6,385,165.76190574999782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.75355354200292,165.76190574999782,166.24854083399987,166.24854083399987,166.24854083399987,166.32116504199803,166.32116504199803,166.32116504199803,166.83468670900038,period,1.0654085420028423,None,166.83480558399606,166.83485099999962,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-6,-15.0,,7,7,0,,,,,100,0,,,,,c-6,negs,0.75,z,1.239244417003647,None,None,,,,,,,,,,,0,7,7,307,166.84595737500058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.83685879199766,166.84595737500058,167.58203595899977,167.58203595899977,167.58203595899977,167.65396358400176,167.65396358400176,167.65396358400176,168.09043404200202,z,1.239244417003647,None,168.0905522499961,168.09059737499774,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-6,-15.0,,8,8,0,,,,,100,0,,,,,c-6,negs,0.5,z,1.2059351249990868,None,None,,,,,,,,,,,0,8,8,304,168.101484042003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.09266945900163,168.101484042003,168.59166558399738,168.59166558399738,168.59166558399738,168.66571845900035,168.66571845900035,168.66571845900035,169.31783904199983,z,1.2059351249990868,None,169.3179754590019,169.3180236670014,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
4,15.0,,9,9,0,,,,,100,0,,,,,c+4,poss,0.75,period,1.6123458749934798,None,None,,,,,,,,,,,0,9,9,137,169.3288141669982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.32003787499707,169.3288141669982,170.06539187500312,170.06539187500312,170.06539187500312,170.13728658400214,170.13728658400214,170.13728658400214,170.95182741699682,period,1.6123458749934798,None,170.95198520900158,170.95203854199644,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
8,15.0,,10,10,0,,,,,100,0,,,,,c+8,poss,1.25,period,2.4820069999987027,None,None,,,,,,,,,,,0,10,10,243,170.9629386250017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.9542642919987,170.9629386250017,172.1987772499997,172.1987772499997,172.1987772499997,172.27087233399652,172.27087233399652,172.27087233399652,173.45104729200102,period,2.4820069999987027,None,173.45116579200112,173.45120929199766,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
0,15.0,,11,11,0,,,,,100,0,,,,,c+0,poss,1.0,z,1.579546749999281,None,None,,,,,,,,,,,0,11,11,70,173.4619349170025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.45319354200183,173.4619349170025,174.4488857499964,174.4488857499964,174.4488857499964,174.52254441699915,174.52254441699915,174.52254441699915,175.05209229199681,z,1.579546749999281,None,175.0522635419984,175.05233970900008,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
2,-15.0,,12,12,0,,,,,100,0,,,,,c+2,negs,0.5,period,1.0746107079976355,None,None,,,,,,,,,,,0,12,12,463,175.0640685420003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.05484029200306,175.0640685420003,175.54893279200041,175.54893279200041,175.54893279200041,175.62096416699933,175.62096416699933,175.62096416699933,176.14119845900132,period,1.0746107079976355,None,176.14133754200157,176.14139337500092,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
-4,0.0,,13,13,0,,,,,0,100,,,,,c-4,noss,0.75,z,1.2806532079994213,None,None,,,,,,,,,,,0,13,13,516,176.15193149999686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.1434372090007,176.15193149999686,176.8914635839974,176.8914635839974,176.8914635839974,176.9662009590029,176.9662009590029,176.9662009590029,177.43503370899998,z,1.2806532079994213,None,177.43517399999837,177.43522900000244,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
2,-15.0,,14,14,0,,,,,100,0,,,,,c+2,negs,0.5,period,0.9818003330001375,None,None,,,,,,,,,,,0,14,14,467,177.44610870900215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.4375689590015,177.44610870900215,177.93161208400124,177.93161208400124,177.93161208400124,178.00445995899645,178.00445995899645,178.00445995899645,178.4353773749972,period,0.9818003330001375,None,178.4355454999968,178.4356014169971,None,,,,,,,,,,,,21040100,1,2026-02-12_12h39.57.646,tilt_mocs,2024.2.4,None,2026-02-12 12h54.07.649896 -0500,
