center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,practice_feedback_timed.stopped,text_16.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009156832995358855,0.016354790997866075,0.016354790997866075,48.49555962500017,space,48.43816579200211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,2,2026-02-26_12h56.31.216,tilt_mocs,2024.2.4,120.14790206418549,2026-02-26 12h56.44.896457 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.49722158299846,48.51802520799538,48.51802520799538,48.51802520799538,48.51802520799538,53.442953540994495,period,4.915600291998999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,2,2026-02-26_12h56.31.216,tilt_mocs,2024.2.4,120.14790206418549,2026-02-26 12h56.44.896457 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.44302170800074,53.453531832994486,53.453531832994486,66.81655791599769,space,13.360748291001073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,2,2026-02-26_12h56.31.216,tilt_mocs,2024.2.4,120.14790206418549,2026-02-26 12h56.44.896457 -0500,
30,0,period,0,0,0,period,1,1.2205966250039637,None,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,66.83797691599466,,,,,,,,,,,,,,,,,,,,,,,,,66.82923637500062,66.83797691599466,67.3242130409999,67.3242130409999,68.06119670799671,period,1,1.2205966250039637,None,68.06603329099744,68.07672162499512,69.5636158749985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,2,2026-02-26_12h56.31.216,tilt_mocs,2024.2.4,120.14790206418549,2026-02-26 12h56.44.896457 -0500,
-30,0,z,1,1,0,z,1,0.9532149169972399,None,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,69.57529395799793,,,,,,,,,,,,,,,,,,,,,,,,,69.565617207998,69.57529395799793,70.05813454099552,70.05813454099552,70.53366995800025,z,1,0.9532149169972399,None,70.53380895799637,70.54347766599676,72.03099941599794,72.04153574999509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,2,2026-02-26_12h56.31.216,tilt_mocs,2024.2.4,120.14790206418549,2026-02-26 12h56.44.896457 -0500,
30,60,period,2,2,0,period,1,1.089313416996447,None,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,72.04153574999509,,,,,,,,,,,,,,,,,,,,,,,,,72.03339091599628,72.04153574999509,72.53381929099851,72.53381929099851,73.1349514579997,period,1,1.089313416996447,None,73.13510879100068,73.14446695799415,74.63230170799943,74.64164879099553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,2,2026-02-26_12h56.31.216,tilt_mocs,2024.2.4,120.14790206418549,2026-02-26 12h56.44.896457 -0500,
-30,-60,z,3,3,0,z,1,1.1311778750023223,None,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,74.64164879099553,,,,,,,,,,,,,,,,,,,,,,,,,74.63472441599879,74.64164879099553,75.13432987499982,75.13432987499982,75.77766187499947,z,1,1.1311778750023223,None,75.77781733300071,75.78711562499666,77.27646970799833,77.28439704099583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,2,2026-02-26_12h56.31.216,tilt_mocs,2024.2.4,120.14790206418549,2026-02-26 12h56.44.896457 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.27669474999857,77.28439704099583,77.28439704099583,112.20622187499976,space,34.90993045800133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,2,2026-02-26_12h56.31.216,tilt_mocs,2024.2.4,120.14790206418549,2026-02-26 12h56.44.896457 -0500,
-30,-60,z,0,0,0,,,,,100,0,z,1,1.60854120899603,None,,,,,,,,,,,,,,0,0,0,0,,,,,112.21904799999902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.2134870000009,112.21904799999902,112.70837024999491,112.70837024999491,112.70837024999491,112.78447987500113,112.78447987500113,112.78447987500113,112.78447987500113,113.83939549999923,z,1,1.60854120899603,None,113.84255462500005,113.84913591599616,115.34399679099442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,2,2026-02-26_12h56.31.216,tilt_mocs,2024.2.4,120.14790206418549,2026-02-26 12h56.44.896457 -0500,
-30,0,z,1,1,0,,,,,100,0,z,1,0.9792144579987507,None,,,,,,,,,,,,,,0,1,1,1,,,,,115.35164087500016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.34577058300056,115.35164087500016,115.83657087499887,115.83657087499887,115.83657087499887,115.91037599999981,115.91037599999981,115.91037599999981,115.91760066599818,116.33458579099533,z,1,0.9792144579987507,None,116.33470599999418,116.3435534579985,117.82801237500098,117.83533895800065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040100,2,2026-02-26_12h56.31.216,tilt_mocs,2024.2.4,120.14790206418549,2026-02-26 12h56.44.896457 -0500,
