center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008266958000604063,0.0162081659946125,0.0162081659946125,44.72270320801181,space,44.66696649999358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.724340749991825,44.744506957998965,44.744506957998965,44.744506957998965,44.744506957998965,48.896878541010665,period,4.149332250002772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.896946499997284,48.90706933301408,48.90706933301408,64.61434791600914,space,15.704402208008105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
30,0,period,0,0,0,period,1,1.1754655419790652,None,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,64.6477833329991,,,,,,,,,,,,,,,,,,,,,,,,,64.63974683301058,64.6477833329991,65.11975079099648,65.11975079099648,65.83075662501506,period,1,1.1754655419790652,None,65.83607770799426,65.84586566599319,67.3389586659905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
-30,0,z,1,1,0,z,1,0.8578457920229994,None,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,67.34750262499438,,,,,,,,,,,,,,,,,,,,,,,,,67.3417988330184,67.34750262499438,67.82986154101673,67.82986154101673,68.20875108300243,z,1,0.8578457920229994,None,68.20890979099204,68.21815370800323,69.70654625000316,69.71512920799432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
30,60,period,2,2,0,period,1,1.1708406670077238,None,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,69.71512920799432,,,,,,,,,,,,,,,,,,,,,,,,,69.70950950001134,69.71512920799432,70.20498595800018,70.20498595800018,70.89050554099958,period,1,1.1708406670077238,None,70.89061437500641,70.89955395800644,72.38951941599953,72.39740474999417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
-30,-60,z,3,3,0,z,1,1.0485270420031156,None,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,72.39740474999417,,,,,,,,,,,,,,,,,,,,,,,,,72.39185841599829,72.39740474999417,72.88834195799427,72.88834195799427,73.45769895799458,z,1,1.0485270420031156,None,73.45782899999176,73.46710241600522,74.9561807080172,74.96370824999758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.95636129099876,74.96370824999758,74.96370824999758,96.3916852500115,space,21.42048612498911,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
-30,-60,z,0,0,0,,,,,100,0,period,0,1.335871916002361,None,,,,,,,,,,,,,,0,0,0,0,,,,,96.40949137500138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.40060462499969,96.40949137500138,96.89289208300761,96.89289208300761,96.89289208300761,96.96400800000993,96.96400800000993,96.96400800000993,96.96400800000993,97.74770191599964,period,0,1.335871916002361,None,97.75096100001247,97.76052841599449,99.25606270800927,99.24568716599606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
-30,0,z,1,1,0,,,,,100,0,z,1,0.9334897910011932,None,,,,,,,,,,,,,,0,1,1,1,,,,,99.25606270800927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2477654160175,99.25606270800927,99.74864729100955,99.74864729100955,99.74864729100955,99.82324283299386,99.82324283299386,99.82324283299386,99.82324283299386,100.1921591249993,z,1,0.9334897910011932,None,100.19715820800047,100.20663562501431,101.69859920800081,101.6907102910045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040105,2,2026-03-02_11h49.46.560,tilt_mocs,2024.2.4,None,2026-03-02 11h50.24.079999 -0500,
