center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,text_12.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,practice_feedback_timed.stopped,text_16.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008290124998893589,0.017739375005476177,0.017739375005476177,45.73579908401007,space,45.676497416978236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,0,2026-04-09_15h12.46.028,tilt_mocs,2024.2.4,120.12661346373673,2026-04-09 15h13.27.033580 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.73740658396855,45.757893458998296,45.757893458998296,45.757893458998296,45.757893458998296,50.46776895900257,period,4.707266041019466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,0,2026-04-09_15h12.46.028,tilt_mocs,2024.2.4,120.12661346373673,2026-04-09 15h13.27.033580 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.467841167002916,50.4783075840096,50.4783075840096,69.95168825000292,space,19.470674582989886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,0,2026-04-09_15h12.46.028,tilt_mocs,2024.2.4,120.12661346373673,2026-04-09 15h13.27.033580 -0400,
30,0,period,0,0,0,period,1,1.941037916985806,None,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,69.97484124999028,,,,,,,,,,,,,,,,,,,,,,,,,69.96610304201022,69.97484124999028,70.45170500001404,70.45170500001404,71.4491350419703,71.4491350419703,71.4491350419703,71.91948858398246,period,1,1.941037916985806,None,71.92483091697795,71.93497191701317,73.42152550001629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,0,2026-04-09_15h12.46.028,tilt_mocs,2024.2.4,120.12661346373673,2026-04-09 15h13.27.033580 -0400,
-30,0,z,1,1,0,z,1,1.1343581670080312,None,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,73.43239045899827,,,,,,,,,,,,,,,,,,,,,,,,,73.4240092089749,73.43239045899827,73.91573979199165,73.91573979199165,,,,74.56971466698451,z,1,1.1343581670080312,None,74.56987962499261,74.57929808401968,76.06716262496775,76.07571808400098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,0,2026-04-09_15h12.46.028,tilt_mocs,2024.2.4,120.12661346373673,2026-04-09 15h13.27.033580 -0400,
30,60,period,2,2,0,period,1,1.2041782920132391,None,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,76.07571808400098,,,,,,,,,,,,,,,,,,,,,,,,,76.07010220899247,76.07571808400098,76.56608141696779,76.56608141696779,,,,77.28573262499413,period,1,1.2041782920132391,None,77.28590762498789,77.2957687919843,78.78380716696847,78.79210629197769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,0,2026-04-09_15h12.46.028,tilt_mocs,2024.2.4,120.12661346373673,2026-04-09 15h13.27.033580 -0400,
-30,-60,z,3,3,0,z,1,0.9125593330245465,None,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,78.79210629197769,,,,,,,,,,,,,,,,,,,,,,,,,78.78622016700683,78.79210629197769,79.28262645896757,79.28262645896757,,,,79.70874029200058,z,1,0.9125593330245465,None,79.70887550001498,79.7184996670112,81.20620424998924,81.21605554199778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,0,2026-04-09_15h12.46.028,tilt_mocs,2024.2.4,120.12661346373673,2026-04-09 15h13.27.033580 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.20640612498391,81.21605554199778,81.21605554199778,105.32504812499974,space,24.10604608297581,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,0,2026-04-09_15h12.46.028,tilt_mocs,2024.2.4,120.12661346373673,2026-04-09 15h13.27.033580 -0400,
-30,-60,z,0,0,0,,,,,100,0,z,1,2.3668917499599047,None,,,,,,,,,,,,,,0,0,0,0,,,,,105.34116179199191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.33333437499823,105.34116179199191,105.83196416700957,105.83196416700957,105.83196416700957,105.9002307089977,105.90638062497601,105.90638062497601,105.90638062497601,107.7108678749646,z,1,2.3668917499599047,None,107.71453449997352,107.724381292006,109.21773670898983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,0,2026-04-09_15h12.46.028,tilt_mocs,2024.2.4,120.12661346373673,2026-04-09 15h13.27.033580 -0400,
-30,0,z,1,1,0,,,,,100,0,z,1,1.2177722919732332,None,,,,,,,,,,,,,,0,1,1,1,,,,,109.22505479201209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.21948587498628,109.22505479201209,109.70961816702038,109.70961816702038,109.70961816702038,109.78436887497082,109.78436887497082,109.78436887497082,109.78436887497082,110.45303274999605,z,1,1.2177722919732332,None,110.45316166698467,110.46971454197774,111.9565642499947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,0,2026-04-09_15h12.46.028,tilt_mocs,2024.2.4,120.12661346373673,2026-04-09 15h13.27.033580 -0400,
