center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00619212503079325,0.013701750023756176,0.013701750023756176,58.35985820798669,space,58.34256708296016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.361633124994114,58.38119537499733,58.38119537499733,58.38119537499733,58.38119537499733,63.77580687502632,period,5.390332999988459,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.775876290979795,63.786637915996835,63.786637915996835,78.3203686249908,space,14.525263209012337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
30,0,period,0,0,0,period,1,3.0974068329669535,None,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,78.35172666597646,,,,,,,,,,,,,,,,,,,,,,,,,78.34354558301857,78.35172666597646,78.834455040982,78.834455040982,79.81701966602122,79.82224087498616,79.82224087498616,81.4543746659765,period,1,3.0974068329669535,None,81.45940724998945,81.46980174997589,82.95875820802758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-30,0,z,1,1,0,z,1,1.3060416659573093,None,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,82.96702091599582,,,,,,,,,,,,,,,,,,,,,,,,,82.96129066601861,82.96702091599582,83.45157195802312,83.45157195802312,,,,84.27744325000094,z,1,1.3060416659573093,None,84.27757783298148,84.28717054100707,85.77426620799815,85.78462787502212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
30,60,period,2,2,0,period,1,1.1933791670016944,None,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,85.78462787502212,,,,,,,,,,,,,,,,,,,,,,,,,85.77666383300675,85.78462787502212,86.27670520800166,86.27670520800166,,,,86.98728470801143,period,1,1.1933791670016944,None,86.98746083298465,86.99715862498851,88.48599108302733,88.4938577080029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-30,-60,z,3,3,0,z,1,1.2084162919782102,None,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,88.4938577080029,,,,,,,,,,,,,,,,,,,,,,,,,88.48820474999957,88.4938577080029,88.98479758301983,88.98479758301983,,,,89.70491687499452,z,1,1.2084162919782102,None,89.70506929099793,89.71433758299099,91.20276016602293,91.21097895799903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.20297454099637,91.21097895799903,91.21097895799903,115.22187808301533,space,24.00836779200472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-30,-60,z,0,0,0,,,,,100,0,period,0,4.8724791670101695,None,,,,,,,,,,,,,,0,0,0,0,,,,,115.23975150001934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.23120099998778,115.23975150001934,115.72253154101782,115.72253154101782,115.72253154101782,115.79384904098697,115.79384904098697,115.79384904098697,115.79384904098697,120.12105545803206,period,0,4.8724791670101695,None,120.12432170799002,120.13476333301514,121.62885600002483,121.62074729101732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
-30,0,z,1,1,0,,,,,100,0,z,1,1.070735916029662,None,,,,,,,,,,,,,,0,1,1,1,,,,,121.62885600002483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.62290983297862,121.62885600002483,122.11836825002683,122.11836825002683,122.11836825002683,122.19220770802349,122.19220770802349,122.19220770802349,122.19220770802349,122.70506633300101,z,1,1.070735916029662,None,122.7095289999852,122.7192656249972,124.21112824999727,124.2038957499899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,1,2026-04-13_12h22.22.667,tilt_mocs,2024.2.4,None,2026-04-13 12h22.37.394450 -0400,
