center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009251666022464633,0.01621675002388656,0.01621675002388656,39.85694525000872,space,39.798894833016675,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.85837629099842,39.878510958049446,39.878510958049446,39.878510958049446,39.878510958049446,45.297989541024435,period,5.413281499990262,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.298071625002194,45.308676665998064,45.308676665998064,56.998442790994886,space,11.6871837079525,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
30,0,period,0,0,0,period,1,2.1973723329720087,None,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,57.0200906250393,,,,,,,,,,,,,,,,,,,,,,,,,57.01117795804748,57.0200906250393,57.50448187504662,57.50448187504662,58.49809945799643,58.49809945799643,58.49809945799643,59.22537925001234,period,1,2.1973723329720087,None,59.23022745799972,59.24061562505085,60.72720850002952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-30,0,z,1,1,0,z,1,1.2449686250183731,None,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,60.73993512504967,,,,,,,,,,,,,,,,,,,,,,,,,60.729464500036556,60.73993512504967,61.22289695800282,61.22289695800282,,,,61.99196483299602,z,1,1.2449686250183731,None,61.99210500001209,62.001404875016306,63.490833916002885,63.498982916004024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
30,60,period,2,2,0,period,1,1.0860027080052532,None,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,63.498982916004024,,,,,,,,,,,,,,,,,,,,,,,,,63.49327750003431,63.498982916004024,63.98981304100016,63.98981304100016,,,,64.59271441603778,period,1,1.0860027080052532,None,64.59287541604135,64.60302670800593,66.090888500039,66.09950654103886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-30,-60,z,3,3,0,z,1,0.978523415978998,None,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,66.09950654103886,,,,,,,,,,,,,,,,,,,,,,,,,66.09391650004545,66.09950654103886,66.58968379104044,66.58968379104044,,,,67.08289662504103,z,1,0.978523415978998,None,67.08303608302958,67.09250770800281,68.57915050000884,68.58973991603125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.57934770802967,68.58973991603125,68.58973991603125,90.22772037499817,space,21.635109999973793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-30,-60,z,0,0,0,,,,,100,0,z,1,2.065901124966331,None,,,,,,,,,,,,,,0,0,0,0,,,,,90.2448332500062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.23551429103827,90.2448332500062,90.72704775002785,90.72704775002785,90.72704775002785,90.79921399999876,90.79921399999876,90.79921399999876,90.79921399999876,92.31583870801842,z,1,2.065901124966331,None,92.3196116660256,92.32957379100844,93.82409658300458,93.81354608299443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
-30,0,z,1,1,0,,,,,100,0,z,1,1.1646734999958426,None,,,,,,,,,,,,,,0,1,1,1,,,,,93.82409658300458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.81556983303744,93.82409658300458,94.31739658303559,94.31739658303559,94.31739658303559,94.39129804103868,94.39129804103868,94.39129804103868,94.39129804103868,94.99339625000721,z,1,1.1646734999958426,None,94.99352070799796,95.00981854100246,,96.49628808302805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21040109,2,2026-04-21_12h21.40.188,tilt_mocs,2024.2.4,120.86223023056361,2026-04-21 12h21.51.014415 -0400,
