center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,resp.keys,resp.rt,resp.duration,key_resp_10.keys,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05909841740503907,0.06670483341440558,0.06670483341440558,1.5173169584013522,space,1.4077749173156917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5180835421197116,1.5350178331136703,1.5350178331136703,1.5350178331136703,1.5350178331136703,16.67038066731766,period,15.12903920840472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67051154235378,16.678169375285506,16.678169375285506,17.803903208114207,space,1.1232914999127388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
30,0,period,0,0,0,period,1,2.1094550411216915,None,,,,,,,,,,,,,0,0,0,0,,,,,,,,,17.835430417209864,,,,,,,,,,,,,,,,,,,,,,,,,17.83073150040582,17.835430417209864,18.300731083378196,18.300731083378196,19.30063229240477,19.30063229240477,19.30063229240477,19.956278250087053,period,1,2.1094550411216915,None,19.95972445840016,19.967398667242378,21.4674192504026,21.45565712498501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
-30,0,z,1,1,0,z,1,2.189307415857911,None,,,,,,,,,,,,,0,1,1,1,,,,,,,,,21.4674192504026,,,,,,,,,,,,,,,,,,,,,,,,,21.456490375101566,21.4674192504026,21.953226833138615,21.953226833138615,22.953172374982387,22.953172374982387,22.953172374982387,23.67051583342254,z,1,2.189307415857911,None,23.670572667382658,23.67514566704631,25.173064042348415,25.16965129226446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
30,60,period,2,2,0,period,1,1.8919670842587948,None,,,,,,,,,,,,,0,2,2,2,,,,,,,,,25.173064042348415,,,,,,,,,,,,,,,,,,,,,,,,,25.1705150003545,25.173064042348415,25.66742758313194,25.66742758313194,26.667967583052814,26.667967583052814,26.667967583052814,27.070182625204325,period,1,1.8919670842587948,None,27.070247916970402,27.07482762541622,28.573313666973263,28.56978370808065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
-30,-60,z,3,3,0,z,1,1.65935204224661,None,,,,,,,,,,,,,0,3,3,3,,,,,,,,,28.573313666973263,,,,,,,,,,,,,,,,,,,,,,,,,28.570668375119567,28.573313666973263,29.067363708280027,29.067363708280027,30.055849292315543,30.055849292315543,30.067478500306606,30.23750637518242,z,1,1.65935204224661,None,30.237564333248883,30.242130750324577,31.739783375058323,31.73632170818746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.736401500180364,31.739783375058323,31.739783375058323,34.27025854215026,space,2.5253838752396405,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
-30,-60,z,0,0,0,,,,,100,z,1,1.5683356667868793,None,,,,,,,,,,,,0,0,0,0,,,,,34.28862087521702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.870674833189696,35.87528954213485,37.374292416963726,37.37022220809013,,,,,,,,34.28407295839861,34.28862087521702,34.767242667265236,34.767242667265236,34.83967262506485,34.83967262506485,34.83967262506485,35.870601292233914,z,1,1.5683356667868793,None,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
-30,0,z,1,1,0,,,,,100,z,1,0.946871374733746,None,,,,,,,,,,,,0,1,1,1,,,,,37.374292416963726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.322694833390415,38.336774750147015,39.83453750004992,39.82290970813483,,,,,,,,37.37086408305913,37.374292416963726,37.86774866702035,37.86774866702035,37.9398820833303,37.9398820833303,37.9398820833303,38.32263350021094,z,1,0.946871374733746,None,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-02_23h35.43.313,tilt_mocs,2024.2.4,None,2025-12-02 23h36.07.777013 -0500,
