center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,center_grating.started,center_grating.stopped,surround_grating.started,surround_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05838408274576068,0.06771262502297759,0.06771262502297759,55.87378641683608,space,55.764779292047024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.87483508279547,55.90150195779279,55.90150195779279,55.90150195779279,55.90150195779279,59.32772299973294,period,3.4242516667582095,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.327766791917384,59.33577924966812,59.33577924966812,61.6722847498022,space,2.335186999756843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
30,0,period,0,0,0,period,1,1.9918279591947794,None,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,61.70269387494773,,,,,,,,,,,,,,,,,,,,,,,,,61.6984784998931,61.70269387494773,62.16906874999404,62.16906874999404,63.157820999622345,63.157820999622345,63.16955137485638,63.70560333272442,period,1,1.9918279591947794,None,63.79298483300954,63.79954174999148,65.21118970774114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
-30,0,z,1,1,0,period,0,0.8355610407888889,None,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,65.21992866694927,,,,,,,,,,,,,,,,,,,,,,,,,65.21226458298042,65.21992866694927,65.70286687463522,65.70286687463522,,,,66.05727549968287,period,0,0.8355610407888889,None,66.05935249989852,66.07599129201844,67.56126904208213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
30,60,period,2,2,0,period,1,0.8777940417639911,None,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,67.56989308306947,,,,,,,,,,,,,,,,,,,,,,,,,67.56236829189584,67.56989308306947,68.05249129189178,68.05249129189178,,,,68.4512283327058,period,1,0.8777940417639911,None,68.45277087483555,68.45840016705915,69.94365358306095,69.95264087477699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
-30,-60,z,3,3,0,period,0,0.9079985423013568,None,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,69.95264087477699,,,,,,,,,,,,,,,,,,,,,,,,,69.944530707784,69.95264087477699,70.4415608746931,70.4415608746931,,,,70.86598562495783,period,0,0.9079985423013568,None,70.86809524986893,70.87544112466276,72.37116158287972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.37125766696408,72.37456245766953,72.37456245766953,88.23998741665855,space,15.857057457789779,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
-30,-60,z,0,0,0,,,,,100,period,0,1.6131974579766393,None,,,,,,,,,,,,,0,0,0,0,,,,,88.25824054190889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.87947329180315,89.88559204200283,91.37243629200384,91.37685662508011,,,,,,,,88.25267595797777,88.25824054190889,88.73562649963424,88.73562649963424,88.80735720787197,88.80735720787197,88.81901441700757,89.87939320784062,period,0,1.6131974579766393,None,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
-30,0,z,1,1,0,,,,,100,period,0,0.9966961671598256,None,,,,,,,,,,,,,0,1,1,1,,,,,91.37685662508011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.37706591701135,92.38556762505323,93.87155374977738,93.87471808306873,,,,,,,,91.37321687489748,91.37685662508011,91.87650716677308,91.87650716677308,91.95315170800313,91.95315170800313,91.95315170800313,92.37700466671959,period,0,0.9966961671598256,None,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h00.43.669,tilt_mocs,2024.2.4,None,2025-12-03 00h01.01.020693 -0500,
