center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.016168624628335238,0.025829416699707508,0.025829416699707508,1.2286934577859938,space,1.1676235417835414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h08.07.766,tilt_mocs,2024.2.4,None,2025-12-03 00h08.22.467553 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2295192079618573,1.2468901667743921,1.2468901667743921,1.2468901667743921,1.2468901667743921,3.70173866674304,period,2.4472054578363895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h08.07.766,tilt_mocs,2024.2.4,None,2025-12-03 00h08.22.467553 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7017782917246222,3.707624541595578,3.707624541595578,5.567396041937172,space,1.8494685413315892,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h08.07.766,tilt_mocs,2024.2.4,None,2025-12-03 00h08.22.467553 -0500,
30,0,period,0,0,0,period,1,2.587538457941264,None,,,,,,0,0,0,0,,,,,5.580125874839723,,,,,,,,,,,,,,,,,,,,,,,,,5.5774355828762054,5.580125874839723,6.064699457958341,6.064699457958341,7.054650167003274,7.054650167003274,7.065651583019644,8.177111541852355,period,1,2.587538457941264,None,8.179951999802142,8.18476879177615,9.682416124735028,9.673407249618322,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h08.07.766,tilt_mocs,2024.2.4,None,2025-12-03 00h08.22.467553 -0500,
-30,0,z,1,1,0,period,0,1.0342431659810245,None,,,,,,0,1,1,1,,,,,9.682416124735028,,,,,,,,,,,,,,,,,,,,,,,,,9.674449582584202,9.682416124735028,10.172153582796454,10.172153582796454,,,,10.718718874733895,period,0,1.0342431659810245,None,10.720703916624188,10.736144832801074,,12.223263207823038,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h08.07.766,tilt_mocs,2024.2.4,None,2025-12-03 00h08.22.467553 -0500,
30,60,period,2,2,0,z,0,1.1256023328751326,None,,,,,,0,2,2,2,,,,,12.231639917008579,,,,,,,,,,,,,,,,,,,,,,,,,12.224201957695186,12.231639917008579,12.715364707633853,12.715364707633853,,,,13.368246124591678,z,0,1.1256023328751326,None,13.368314041756094,13.37378720799461,14.8729222076945,14.868289082776755,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h08.07.766,tilt_mocs,2024.2.4,None,2025-12-03 00h08.22.467553 -0500,
-30,-60,z,3,3,0,z,1,0.9888947079889476,None,,,,,,0,3,3,3,,,,,14.8729222076945,,,,,,,,,,,,,,,,,,,,,,,,,14.869358041789383,14.8729222076945,15.365646624937654,15.365646624937654,,,,15.868655082769692,z,1,0.9888947079889476,None,15.870372917037457,15.87543745758012,17.370258832816035,17.367038416676223,,,,,,,,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h08.07.766,tilt_mocs,2024.2.4,None,2025-12-03 00h08.22.467553 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.36711349990219,17.370258832816035,17.370258832816035,18.651750874705613,space,1.2749625840224326,None,,,,,,,,,,,,,,,,,,,,21046969,0,2025-12-03_00h08.07.766,tilt_mocs,2024.2.4,None,2025-12-03 00h08.22.467553 -0500,
-30,-60,z,0,0,0,,,,,100,z,1,1.0073377499356866,None,,,,,0,0,0,0,18.6617575827986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.656877957750112,18.6617575827986,19.148167041596025,19.148167041596025,19.231509666889906,19.231509666889906,19.231509666889906,19.673140707891434,z,1,1.0073377499356866,None,19.674757999833673,19.681371207814664,21.20299749961123,21.167839542031288,,,,21046969,0,2025-12-03_00h08.07.766,tilt_mocs,2024.2.4,None,2025-12-03 00h08.22.467553 -0500,
-30,0,z,1,1,0,,,,,100,z,1,1.1079600411467254,None,,,,,0,1,1,1,21.20299749961123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.168484082911164,21.20299749961123,21.669874207582325,21.669874207582325,21.748388750012964,21.748388750012964,21.748388750012964,22.31730420794338,z,1,1.1079600411467254,None,22.317368749994785,22.321708582807332,23.819189416710287,23.816382666584104,,,,21046969,0,2025-12-03_00h08.07.766,tilt_mocs,2024.2.4,None,2025-12-03 00h08.22.467553 -0500,
