center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011457292013801634,0.018485375010641292,0.018485375010641292,247.93930712502333,space,247.8792925000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.9409179170034,247.96085966701503,247.96085966701503,247.96085966701503,247.96085966701503,265.4372141670028,period,17.474080791987944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.43728150002426,265.4476546670194,265.4476546670194,275.7544462090009,space,10.304180125007406,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
30,0,period,0,0,0,period,1,3.1007173329999205,None,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,275.77598445900367,,,,,,,,,,,,,,,,,,,,,,,,,275.7675931250269,275.77598445900367,276.25566941700527,276.25566941700527,277.25164150001365,277.25164150001365,277.25164150001365,278.8877653340169,period,1,3.1007173329999205,None,278.89256516701425,278.9028451250051,280.3940898340079,280.38622675000806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
-30,0,z,1,1,0,z,1,1.6832161250058562,None,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,280.3940898340079,,,,,,,,,,,,,,,,,,,,,,,,,280.38862020900706,280.3940898340079,280.8853234590206,280.8853234590206,281.8740338750067,281.8740338750067,281.88567570902524,282.08773712502443,z,1,1.6832161250058562,None,282.08787287501036,282.09617312499904,283.5945238340064,283.586339750007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
30,60,period,2,2,0,period,1,1.4362331670126878,None,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,283.5945238340064,,,,,,,,,,,,,,,,,,,,,,,,,283.5885537090071,283.5945238340064,284.0853120840038,284.0853120840038,,,,285.0379349590221,period,1,1.4362331670126878,None,285.0380496670259,285.04708570902585,286.54395512500196,286.5365270420152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
-30,-60,z,3,3,0,z,1,1.4524736249877606,None,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,286.54395512500196,,,,,,,,,,,,,,,,,,,,,,,,,286.53864337501,286.54395512500196,287.03556816701894,287.03556816701894,,,,288.0046189170098,z,1,1.4524736249877606,None,288.0047794590064,288.014733500022,289.5119712500018,289.50351883401163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.50373975001276,289.5119712500018,289.5119712500018,312.49040929201874,space,22.965389041986782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
-30,-60,z,0,0,0,,,,,100,0,period,0,2.8764164999884088,None,,,,,,,,,,,,,,0,0,0,0,,,,,312.50252587502473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.49702441701083,312.50252587502473,312.99052145902533,312.99052145902533,312.99052145902533,313.0609014170186,313.0609014170186,313.0609014170186,313.0609014170186,315.389095874998,period,0,2.8764164999884088,None,315.3931256670039,315.40357412502635,316.8951227090147,316.88776362501085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
-30,0,z,1,1,0,,,,,100,0,period,0,3.3755227499932516,None,,,,,,,,,,,,,,0,1,1,1,,,,,316.8951227090147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.8894969590183,316.8951227090147,317.38654475001385,317.38654475001385,317.38654475001385,317.4595233340224,317.4595233340224,317.4595233340224,317.4595233340224,320.2731867090042,period,0,3.3755227499932516,None,320.27331595899886,320.2824949170172,321.7784767090052,321.77118070900906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049981,0,2025-12-11_12h58.13.581,tilt_mocs,2024.2.4,119.0935196494974,2025-12-11 12h58.24.140896 -0500,
