center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,text_12.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009315082992543466,0.016277000002446584,0.016277000002446584,80.2749980410008,space,80.21733491700434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h27.56.987,tilt_mocs,2024.2.4,120.09457495324757,2025-12-10 13h28.24.316973 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.27662045799661,80.29760212499241,80.29760212499241,80.29760212499241,80.29760212499241,87.99599095800659,period,7.688957749996916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h27.56.987,tilt_mocs,2024.2.4,120.09457495324757,2025-12-10 13h28.24.316973 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.99606587500602,88.00645729100506,88.00645729100506,96.97360279099667,space,8.95561791700311,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h27.56.987,tilt_mocs,2024.2.4,120.09457495324757,2025-12-10 13h28.24.316973 -0500,
30,0,period,0,0,0,period,1,1.5057025409914786,None,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,96.99146112499875,,,,,,,,,,,,,,,,,,,,,,,,,96.9856109579996,96.99146112499875,97.47431720800523,97.47431720800523,98.46935266599758,98.46935266599758,98.46935266599758,98.50254920800216,period,1,1.5057025409914786,None,98.50726504100021,98.51736787499976,100.0109733749996,100.00139329099329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h27.56.987,tilt_mocs,2024.2.4,120.09457495324757,2025-12-10 13h28.24.316973 -0500,
-30,0,z,1,1,0,z,1,1.5359647080040304,None,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,100.0109733749996,,,,,,,,,,,,,,,,,,,,,,,,,100.0036615410063,100.0109733749996,100.50297200000205,100.50297200000205,101.49999079099507,101.49999079099507,101.49999079099507,101.55367516599654,z,1,1.5359647080040304,None,101.55394820800575,101.56352404100471,103.06115208299889,103.05028341599973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h27.56.987,tilt_mocs,2024.2.4,120.09457495324757,2025-12-10 13h28.24.316973 -0500,
30,60,period,2,2,0,period,1,1.169697167002596,None,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,103.06115208299889,,,,,,,,,,,,,,,,,,,,,,,,,103.0526848330046,103.06115208299889,103.55328049999662,103.55328049999662,,,,104.2360410830006,period,1,1.169697167002596,None,104.23614579100104,104.24471454099694,105.73762820799311,105.72909824999806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h27.56.987,tilt_mocs,2024.2.4,120.09457495324757,2025-12-10 13h28.24.316973 -0500,
-30,-60,z,3,3,0,z,1,1.1292865830037044,None,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,105.73762820799311,,,,,,,,,,,,,,,,,,,,,,,,,105.73183762500412,105.73762820799311,106.23656970799493,106.23656970799493,,,,106.86991062499874,z,1,1.1292865830037044,None,106.870040875001,106.89476945799834,,108.37866062500689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h27.56.987,tilt_mocs,2024.2.4,120.09457495324757,2025-12-10 13h28.24.316973 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.37889583299693,108.38693624999723,108.38693624999723,130.68773770799453,space,22.296475750001264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h27.56.987,tilt_mocs,2024.2.4,120.09457495324757,2025-12-10 13h28.24.316973 -0500,
-30,-60,z,0,0,0,,,,,100,0,z,1,2.8343884580099257,None,,,,,,,,,,,,0,0,0,0,,,,,130.70443308299582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.69612870800484,130.70443308299582,131.19452766599716,131.19452766599716,131.19452766599716,131.2620727080066,131.2671894160012,131.2671894160012,131.2671894160012,133.5484581250057,z,1,2.8343884580099257,None,133.55226654099533,133.56274408299942,135.05505541599996,135.04721283300023,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h27.56.987,tilt_mocs,2024.2.4,120.09457495324757,2025-12-10 13h28.24.316973 -0500,
-30,0,z,1,1,0,,,,,100,0,z,1,1.0104254170000786,None,,,,,,,,,,,,0,1,1,1,,,,,135.05505541599996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.04906454100274,135.05505541599996,135.54559983299987,135.54559983299987,135.54559983299987,135.61975233300473,135.61975233300473,135.61975233300473,135.61975233300473,136.0701564159972,z,1,1.0104254170000786,None,136.07026941599906,136.079133791005,137.57083487500495,137.56371791599668,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h27.56.987,tilt_mocs,2024.2.4,120.09457495324757,2025-12-10 13h28.24.316973 -0500,
