center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,orient_opacity,noise_opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,noise_2.started,surround_practice_2.started,center_practice_2.started,text_12.started,noise_2.stopped,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,noise_3.started,surround_grating.started,center_grating.started,noise_3.stopped,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009242082989658229,0.01634724999894388,0.01634724999894388,1.2385560829861788,space,1.180700209006318,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2401722919894382,1.2618738749879412,1.2618738749879412,1.2618738749879412,1.2618738749879412,2.925460499987821,period,1.6609509580011945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9255500419967575,2.9367244579916587,2.9367244579916587,4.792244541997206,space,1.8499944580107694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
30,0,period,0,0,0,period,1,1.4791772080061492,None,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,4.815180874997168,,,,,,,,,,,,,,,,,,,,,,,,,4.806680499998038,4.815180874997168,5.2924703329917975,5.2924703329917975,6.288957291995757,6.288957291995757,6.288957291995757,6.296678249986144,period,1,1.4791772080061492,None,6.301418582996121,6.311027166986605,7.806473332995665,7.795590249996167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
-30,0,z,1,1,0,period,0,0.6279995830118423,None,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,7.806473332995665,,,,,,,,,,,,,,,,,,,,,,,,,7.797957166985725,7.806473332995665,8.299018666992197,8.299018666992197,,,,8.443243832996814,period,0,0.6279995830118423,None,8.446973832993535,8.456825457993546,9.948515291995136,9.941034999996191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
30,60,period,2,2,0,period,1,0.704389207996428,None,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,9.948515291995136,,,,,,,,,,,,,,,,,,,,,,,,,9.943045832987991,9.948515291995136,10.4398551669874,10.4398551669874,,,,10.65857824998966,period,1,0.704389207996428,None,10.661532499987516,10.67095691699069,12.165879332998884,12.157710707993829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
-30,-60,z,3,3,0,period,0,0.6197571249940665,None,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,12.165879332998884,,,,,,,,,,,,,,,,,,,,,,,,,12.160116332990583,12.165879332998884,12.656614957988495,12.656614957988495,,,,12.792110166992643,period,0,0.6197571249940665,None,12.795705249998719,12.80525779198797,14.298259541988955,14.290975500000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.291163624991896,14.298259541988955,14.298259541988955,15.898447624989785,space,1.5940859999973327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
-30,-60,z,0,0,0,,,,,100,0,period,0,1.8985935829987284,None,,,,,,,,,,,,,,0,0,0,0,,,,,15.914071541992598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.90547820799111,15.914071541992598,16.405912457994418,16.405912457994418,16.405912457994418,16.472643207991496,16.47796441699029,16.47796441699029,16.47796441699029,17.816148041994893,period,0,1.8985935829987284,None,17.819509541994194,17.829520416999003,19.323975249993964,19.312951291998615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
-30,0,z,1,1,0,,,,,100,0,period,0,5.227983624994522,None,,,,,,,,,,,,,,0,1,1,1,,,,,19.323975249993964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.314353041991126,19.323975249993964,19.81601920799585,19.81601920799585,19.81601920799585,19.89070529199671,19.89070529199671,19.89070529199671,19.89070529199671,24.559341374988435,period,0,5.227983624994522,None,24.559465291997185,24.568702957985806,26.06545445798838,26.058102582988795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049984,0,2025-12-10_13h37.12.732,tilt_mocs,2024.2.4,119.98500187929075,2025-12-10 13h37.25.474049 -0500,
