center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.00914745801128447,0.016482874998473562,0.016482874998473562,805.1955237920047,space,805.1373733340006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_10h57.50.959,tilt_mocs,2024.2.4,120.08580082565739,2025-12-05 10h58.43.597232 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805.1971646250022,805.2199080830032,805.2199080830032,805.2199080830032,805.2199080830032,815.1284725000005,period,9.902144791994942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_10h57.50.959,tilt_mocs,2024.2.4,120.08580082565739,2025-12-05 10h58.43.597232 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,815.1285386250092,815.1396015420032,815.1396015420032,820.016209207999,space,4.86528729199199,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_10h57.50.959,tilt_mocs,2024.2.4,120.08580082565739,2025-12-05 10h58.43.597232 -0500,
30,0,period,0,0,0,period,1,2.7061577919957926,None,,,,,,0,0,0,0,,,,,820.0351549580082,,,,,,,,,,,,,,,,,,,,,,,,,820.0292786250066,820.0351549580082,820.5186366249982,820.5186366249982,821.5137924580049,821.5137924580049,821.5137924580049,822.7452542920073,period,1,2.7061577919957926,None,822.7503294580092,822.7598863750027,824.2540782920114,824.2439264999994,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_10h57.50.959,tilt_mocs,2024.2.4,120.08580082565739,2025-12-05 10h58.43.597232 -0500,
-30,0,z,1,1,0,z,1,1.7437440000067,None,,,,,,0,1,1,1,,,,,824.2540782920114,,,,,,,,,,,,,,,,,,,,,,,,,824.2463713330071,824.2540782920114,824.7467591669993,824.7467591669993,825.7441810419987,825.7441810419987,825.7441810419987,826.0067643330112,z,1,1.7437440000067,None,826.0069052500039,826.0161522920098,827.5138158330083,827.5050934169994,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_10h57.50.959,tilt_mocs,2024.2.4,120.08580082565739,2025-12-05 10h58.43.597232 -0500,
30,60,period,2,2,0,z,0,1.186053333003656,None,,,,,,0,2,2,2,,,,,827.5138158330083,,,,,,,,,,,,,,,,,,,,,,,,,827.5081867499975,827.5138158330083,828.0043555830052,828.0043555830052,,,,828.7062283330015,z,0,1.186053333003656,None,828.7097259580041,828.7195562080014,830.2138471250073,830.205472917005,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_10h57.50.959,tilt_mocs,2024.2.4,120.08580082565739,2025-12-05 10h58.43.597232 -0500,
-30,-60,z,3,3,0,period,0,2.4972417499957373,None,,,,,,0,3,3,3,,,,,830.2138471250073,,,,,,,,,,,,,,,,,,,,,,,,,830.2078962500091,830.2138471250073,830.7043946670019,830.7043946670019,831.6931506250112,831.6931506250112,831.7048114170029,832.7136232080084,period,0,2.4972417499957373,None,832.7137360000052,832.7232862500096,834.2210070000001,834.210586458008,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_10h57.50.959,tilt_mocs,2024.2.4,120.08580082565739,2025-12-05 10h58.43.597232 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834.2107870830077,834.2210070000001,834.2210070000001,856.3141417080042,space,22.089941375001217,None,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_10h57.50.959,tilt_mocs,2024.2.4,120.08580082565739,2025-12-05 10h58.43.597232 -0500,
-30,-60,z,0,0,0,,,,,100,period,0,1.9762923340022098,None,,,,,0,0,0,0,856.3293384580029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856.3208368750056,856.3293384580029,856.8190841670003,856.8190841670003,856.8883646250033,856.8936735830066,856.8936735830066,858.3081187920034,period,0,1.9762923340022098,None,858.3117284580076,858.3221798330051,859.8140682500089,859.8064715000073,,,,21049986,0,2025-12-05_10h57.50.959,tilt_mocs,2024.2.4,120.08580082565739,2025-12-05 10h58.43.597232 -0500,
-30,0,z,1,1,0,,,,,100,period,0,1.2133035830047447,None,,,,,0,1,1,1,859.8140682500089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.8081044580031,859.8140682500089,860.3052179170045,860.3052179170045,860.3788647080073,860.3788647080073,860.3788647080073,861.0304560830118,period,0,1.2133035830047447,None,861.0305724580103,861.0554357920046,,862.5394234999985,,,,21049986,0,2025-12-05_10h57.50.959,tilt_mocs,2024.2.4,120.08580082565739,2025-12-05 10h58.43.597232 -0500,
