center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015427625010488555,0.02304875000845641,0.02304875000845641,1.5847622500004945,space,1.503086249998887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5860633330012206,1.6012108750001062,1.6012108750001062,1.6012108750001062,1.6012108750001062,3.6259942920005415,period,2.0140563750028377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6260804580088006,3.636751625002944,3.636751625002944,11.627079625002807,space,7.987870582990581,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
30,0,period,0,0,0,z,0,15.425565375000588,None,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,11.648845917006838,,,,,,,,,,,,,,,,,,,,,,,,,11.64011216700601,11.648845917006838,12.140526167000644,12.140526167000644,13.123658458003774,13.12894041700929,13.12894041700929,27.077090333012166,z,0,15.425565375000588,None,27.0819367080112,27.092643500000122,28.580246750003425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
-30,0,z,1,1,0,period,0,7.768754874996375,None,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,28.59086591700907,,,,,,,,,,,,,,,,,,,,,,,,,28.582706875007716,28.59086591700907,29.074302708002506,29.074302708002506,30.074832042009803,30.063186750005116,30.063186750005116,36.36659195800894,period,0,7.768754874996375,None,36.366746583007625,36.37641033300315,37.864110125010484,37.87458020800841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
30,60,period,2,2,0,period,1,2.3912899999995716,None,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,37.87458020800841,,,,,,,,,,,,,,,,,,,,,,,,,37.86642341701372,37.87458020800841,38.36650329201075,38.36650329201075,39.36500079200778,39.36500079200778,39.36500079200778,40.27748633301235,period,1,2.3912899999995716,None,40.283531917011715,40.29334287501115,41.78061470801185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
-30,-60,z,3,3,0,z,1,1.8894769170001382,None,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,41.791374000007636,,,,,,,,,,,,,,,,,,,,,,,,,41.78307700000005,41.791374000007636,42.27461450001283,42.27461450001283,43.27529695800331,43.2637792500027,43.2637792500027,43.68387533300847,z,1,1.8894769170001382,None,43.68398337501276,43.693347583001014,45.18121383301332,45.1914412920014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.18141220801044,45.1914412920014,45.1914412920014,52.4942330000049,space,7.29149870800029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
-30,-60,z,0,0,0,,,,,100,z,1,2.042674625001382,None,,,,,,,,,,,,,,,0,0,0,0,,,,,52.510247583006276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.50138533300196,52.510247583006276,52.994400542011135,52.994400542011135,53.06691404200683,53.06691404200683,53.06691404200683,54.56121850000636,z,1,2.042674625001382,None,54.565102292006486,54.57546320800611,56.06740387500031,56.05977762500697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
-30,0,z,1,1,0,,,,,100,z,1,1.0713884169963421,None,,,,,,,,,,,,,,,0,1,1,1,,,,,56.06740387500031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.06144300001324,56.06740387500031,56.55838750000112,56.55838750000112,56.63201504200697,56.63201504200697,56.63201504200697,57.14438366700779,z,1,1.0713884169963421,None,57.14455466700019,57.15416912500223,58.6506002080132,58.64309395800228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049986,0,2025-12-05_11h16.49.676,tilt_mocs,2024.2.4,119.32865651328754,2025-12-05 11h17.03.348072 -0500,
