center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009818625010666437,0.017013542004860938,0.017013542004860938,1206.1242789579992,space,1206.0643870000058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1206.1259786250012,1206.1488880000106,1206.1488880000106,1206.1488880000106,1206.1488880000106,1214.822498374997,period,8.668720625006245,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214.822568167001,1214.8333397920069,1214.8333397920069,1221.8157655420073,space,6.9765431660052855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
30,0,period,0,0,0,period,1,1.584935624996433,None,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1221.8381808749982,,,,,,,,,,,,,,,,,,,,,,,,,1221.8293976249988,1221.8381808749982,1222.3173443749984,1222.3173443749984,1223.3137520000018,1223.3137520000018,1223.3137520000018,1223.4329147079989,period,1,1.584935624996433,None,1223.439285291999,1223.4494421249983,1224.9363192080054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
-30,0,z,1,1,0,z,1,1.3010456250049174,None,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,1224.947146999999,,,,,,,,,,,,,,,,,,,,,,,,,1224.938771250003,1224.947146999999,1225.4305766670004,1225.4305766670004,,,,1226.2551202080067,z,1,1.3010456250049174,None,1226.2552257920033,1226.2644987500098,1227.7483857500047,1227.7565897500026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
30,60,period,2,2,0,period,1,1.167598915999406,None,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,1227.7565897500026,,,,,,,,,,,,,,,,,,,,,,,,,1227.750775583001,1227.7565897500026,1228.257044500002,1228.257044500002,,,,1228.933103250005,period,1,1.167598915999406,None,1228.9332458749996,1228.943081999998,1230.4317031250102,1230.4400097500038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
-30,-60,z,3,3,0,z,1,1.0131725840037689,None,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,1230.4400097500038,,,,,,,,,,,,,,,,,,,,,,,,,1230.4341020830034,1230.4400097500038,1230.9306246250053,1230.9306246250053,,,,1231.455784417005,z,1,1.0131725840037689,None,1231.4558932500076,1231.4807791670028,1232.9646738330048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1232.964879667008,1232.9733015829988,1232.9733015829988,1260.0676090830093,space,27.085758457993506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
-30,-60,z,0,0,0,,,,,100,z,1,2.275233959007892,None,,,,,,,,,,,,,,,0,0,0,0,,,,,1260.083830375006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1260.074966250002,1260.083830375006,1260.567423917004,1260.567423917004,1260.6403282079991,1260.6403282079991,1260.6403282079991,1262.367903708,z,1,2.275233959007892,None,1262.3714845000068,1262.3821222499973,1263.873072250004,1263.8660999170097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
-30,0,z,1,1,0,,,,,100,z,1,1.0000172090076376,None,,,,,,,,,,,,,,,0,1,1,1,,,,,1263.873072250004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263.867688792001,1263.873072250004,1264.3649814579985,1264.3649814579985,1264.438788667001,1264.438788667001,1264.438788667001,1264.8839737500093,z,1,1.0000172090076376,None,1264.8840998750093,1264.8932157920062,1266.3898835,1266.3828254170076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
30,60,period,2,2,0,,,,,100,period,1,0.9923556249996182,None,,,,,,,,,,,,,,,0,2,2,2,,,,,1266.3898835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266.384498875006,1266.3898835,1266.8817881249997,1266.8817881249997,1266.955886583004,1266.955886583004,1266.955886583004,1267.3849444579973,period,1,0.9923556249996182,None,1267.3850997080008,1267.3946651669976,1268.8904096250044,1268.8829747080017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
30,0,period,3,3,0,,,,,100,period,1,0.9628652090032119,None,,,,,,,,,,,,,,,0,3,3,3,,,,,1268.8904096250044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1268.8846367500082,1268.8904096250044,1269.3818566249975,1269.3818566249975,1269.4555753750028,1269.4555753750028,1269.4555753750028,1269.8577634579997,period,1,0.9628652090032119,None,1269.8578832080093,1269.8671547920094,1271.3646613750025,1271.3571215830016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
-30,69,z,4,4,0,,,,,0,period,0,1.0612460839911364,None,,,,,,,,,,,,,,,0,4,4,4,,,,,1271.3646613750025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1271.3587886669993,1271.3646613750025,1271.8578227079997,1271.8578227079997,1271.9321942079987,1271.9321942079987,1271.9321942079987,1272.434544667005,period,0,1.0612460839911364,None,1272.4380415830092,1272.4479762499977,1273.9405250420095,1273.933239332997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
30,69,period,5,5,0,,,,,0,period,1,1.046514625006239,None,,,,,,,,,,,,,,,0,5,5,5,,,,,1273.9405250420095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273.9349016250053,1273.9405250420095,1274.4322089170018,1274.4322089170018,1274.5052732500044,1274.5052732500044,1274.5052732500044,1274.991179625009,period,1,1.046514625006239,None,1274.9944567080092,1275.0034811670048,1276.4978047080076,1276.489600957997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276.4897977920045,1276.4978047080076,1276.4978047080076,1337.5534457920003,space,61.051043082989054,None,,,,,,,,,,,,,,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
0,-15.0,,0,0,0,,,,,,,,,,c+0,negs,100,1.0,period,1.6465951659920393,None,None,,,,,,,,,,,0,0,0,383,1337.604807583004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337.598377458009,1337.604807583004,1338.5537331670057,1338.5537331670057,1338.6231519170105,1338.6231519170105,1339.2539116670087,period,1.6465951659920393,None,1339.2540524579963,1339.254123042003,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
0,-15.0,,1,1,0,,,,,,,,,,c+0,negs,100,1.0,period,1.635653999997885,None,None,,,,,,,,,,,0,1,1,382,1339.265565499998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1339.2566585000022,1339.265565499998,1340.2509939169977,1340.2509939169977,1340.3234247079963,1340.3234247079963,1340.903699375005,period,1.635653999997885,None,1340.9038871250086,1340.9039423330105,None,,,,,,,,,,,,21049987,0,2025-12-05_10h17.51.825,tilt_mocs,2024.2.4,120.40437858447272,2025-12-05 10h18.16.055151 -0500,
