center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,isi,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_feedback_timed.started,text_16.started,text_16.stopped,practice_feedback_timed.stopped,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00958058299147524,0.016805790990474634,0.016805790990474634,43.19137529100408,space,43.13215654199303,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049989,0,2025-12-03_13h01.56.178,tilt_mocs,2024.2.4,119.574732947763,2025-12-03 13h02.08.590000 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.19302541599609,43.21574433299247,43.21574433299247,43.21574433299247,43.21574433299247,55.34369583299849,period,12.121329415997025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049989,0,2025-12-03_13h01.56.178,tilt_mocs,2024.2.4,119.574732947763,2025-12-03 13h02.08.590000 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.343760415998986,55.35473679099232,55.35473679099232,62.71126287500374,space,7.351748832996236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049989,0,2025-12-03_13h01.56.178,tilt_mocs,2024.2.4,119.574732947763,2025-12-03 13h02.08.590000 -0500,
30,0,period,0,0,0,period,1,3.3105056250060443,None,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,62.73309187499399,,,,,,,,,,,,,,,,,,,,,,,,,62.724055250000674,62.73309187499399,63.21661641600076,63.21661641600076,64.21261249999225,64.21261249999225,64.21261249999225,66.05546350000077,period,1,3.3105056250060443,None,66.0612626249931,66.07190629099205,67.55870604100346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049989,0,2025-12-03_13h01.56.178,tilt_mocs,2024.2.4,119.574732947763,2025-12-03 13h02.08.590000 -0500,
-30,0,z,1,1,0,z,1,2.000993458990706,None,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,67.56949041599,,,,,,,,,,,,,,,,,,,,,,,,,67.5611750829994,67.56949041599,68.05299870799354,68.05299870799354,69.04184012499172,69.04184012499172,69.05330791599408,69.5729307080037,z,1,2.000993458990706,None,69.57304504099011,69.58219583299069,71.06953249999788,71.07667008299904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049989,0,2025-12-03_13h01.56.178,tilt_mocs,2024.2.4,119.574732947763,2025-12-03 13h02.08.590000 -0500,
30,60,period,2,2,0,period,1,1.9555361250095302,None,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,71.07667008299904,,,,,,,,,,,,,,,,,,,,,,,,,71.0714879159932,71.07667008299904,71.56978420799715,71.56978420799715,72.55885545800265,72.55885545800265,72.57018712499121,73.03890804099501,period,1,1.9555361250095302,None,73.03904645799776,73.04816241600201,74.53777149999223,74.54553499999747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049989,0,2025-12-03_13h01.56.178,tilt_mocs,2024.2.4,119.574732947763,2025-12-03 13h02.08.590000 -0500,
-30,-60,z,3,3,0,z,1,1.3302011670020875,None,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,74.54553499999747,,,,,,,,,,,,,,,,,,,,,,,,,74.54009458300425,74.54553499999747,75.03651441600232,75.03651441600232,,,,75.87806845799787,z,1,1.3302011670020875,None,75.8781729159964,75.90305291599361,77.3871229159995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049989,0,2025-12-03_13h01.56.178,tilt_mocs,2024.2.4,119.574732947763,2025-12-03 13h02.08.590000 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.38728495799296,77.39459100000386,77.39459100000386,94.49554704099137,space,17.098276250006165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049989,0,2025-12-03_13h01.56.178,tilt_mocs,2024.2.4,119.574732947763,2025-12-03 13h02.08.590000 -0500,
-30,-60,z,0,0,0,,,,,100,period,0,5.566003208004986,None,,,,,,,,,,,,,,,0,0,0,0,,,,,94.51049824999063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.50220962500316,94.51049824999063,95.00094441599504,95.00094441599504,95.07051204099844,95.07706337499258,95.07706337499258,100.07984004099853,period,0,5.566003208004986,None,100.08385004100273,100.0940314999898,101.58748833299614,101.57724749999761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049989,0,2025-12-03_13h01.56.178,tilt_mocs,2024.2.4,119.574732947763,2025-12-03 13h02.08.590000 -0500,
-30,0,z,1,1,0,,,,,100,z,1,1.3168616670009214,None,,,,,,,,,,,,,,,0,1,1,1,,,,,101.58748833299614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.57893424999202,101.58748833299614,102.08021820799331,102.08021820799331,102.15478995800368,102.15478995800368,102.15478995800368,102.90685754099104,z,1,1.3168616670009214,None,102.91014333299245,102.91977858300379,104.41238741599955,104.40520583299804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049989,0,2025-12-03_13h01.56.178,tilt_mocs,2024.2.4,119.574732947763,2025-12-03 13h02.08.590000 -0500,
