center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr_example.started,key_resp_11.started,surround_practice_example.started,center_practice_example.started,text_15.started,instr_example.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007924167002784088,0.015597167002852075,0.015597167002852075,441.00122995799757,space,440.94151662499644,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.0028873330011,441.0254670420036,441.0254670420036,441.0254670420036,441.0254670420036,451.29239137499826,right,10.255976166001346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.2925073330043,451.35374225000123,451.35374225000123,464.5759469170007,space,13.219667500001378,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
30,0,right,0,0,0,right,1,1.750393709000491,None,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,464.59859162499924,,,,,,,,,,,,,,,,,,,,,,,,,464.58985612499964,464.59859162499924,465.07693666699925,465.07693666699925,466.07352487499884,466.07352487499884,466.07352487499884,466.35944133299927,right,1,1.750393709000491,None,466.3646534580039,466.3743856670044,467.8658837500043,467.8579372079985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-30,0,left,1,1,0,left,1,1.453995500000019,None,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,467.8658837500043,,,,,,,,,,,,,,,,,,,,,,,,,467.8602557080012,467.8658837500043,468.3569226250038,468.3569226250038,,,,469.3257961249983,left,1,1.453995500000019,None,469.3259039170007,469.3343785830002,470.83301095799834,470.82480300000316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
30,60,right,2,2,0,right,1,1.286436540998693,None,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,470.83301095799834,,,,,,,,,,,,,,,,,,,,,,,,,470.82724395800324,470.83301095799834,471.32368187500106,471.32368187500106,,,,472.126084208001,right,1,1.286436540998693,None,472.12619537499995,472.1346376250003,473.6331126669975,473.62497920799797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-30,-60,left,3,3,0,left,1,1.077902291995997,None,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,473.6331126669975,,,,,,,,,,,,,,,,,,,,,,,,,473.6273688750007,473.6331126669975,474.1238987500037,474.1238987500037,,,,474.71556466699985,left,1,1.077902291995997,None,474.71566970799904,474.7239604999995,476.2160667080025,476.2082470000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.2084182500039,476.2160667080025,476.2160667080025,498.5104710000014,space,22.2869132909982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-30,-60,left,0,0,0,,,,,100,right,0,1.056966874995851,None,,,,,,,,,,,,,,0,0,0,0,,,,,498.5266587080041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.59409612500167,499.6024607920044,501.09972774999915,501.09254054199846,,,,,,,,498.5178375830001,498.5266587080041,499.02481187500234,499.02481187500234,499.083456291999,499.0965350830011,499.0965350830011,499.59393825000006,right,0,1.056966874995851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
-30,0,left,1,1,0,,,,,100,left,1,1.0144084999992629,None,,,,,,,,,,,,,,0,1,1,1,,,,,501.09972774999915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,502.11728745800065,502.1252010829994,503.61638195800333,503.6094204580004,,,,,,,,501.0941743750009,501.09972774999915,501.5913999999975,501.5913999999975,501.6648044579997,501.6648044579997,501.6648044579997,502.11716754199733,left,1,1.0144084999992629,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049990,0,2025-12-01_14h25.12.143,tilt_mocs,2024.2.4,120.24957799218359,2025-12-01 14h25.24.964630 -0500,
