center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010033208003733307,0.017314374999841675,0.017314374999841675,11.156734165997477,space,11.081467541996972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.156800333003048,11.163099249999505,11.163099249999505,11.748919500001648,space,0.5830377079983009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
30,0,right,0,0,0,right,1,1.9476011670049047,None,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,11.766901125003642,,,,,,,,,,,,,,,,11.757648165999854,11.766901125003642,12.253665916003229,12.253665916003229,13.246436665998772,13.246436665998772,13.246436665998772,13.721002124999359,right,1,1.9476011670049047,None,13.726459999998042,13.782334832998458,15.23031958300271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-30,0,left,1,1,0,left,1,0.9527271670012851,None,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,15.238292750000255,,,,,,,,,,,,,,,,15.232716708000225,15.238292750000255,15.72249125000235,15.72249125000235,,,,16.19907483299903,left,1,0.9527271670012851,None,16.19921500000055,16.207456957999966,17.69766874999914,17.705610165998223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
30,60,right,2,2,0,right,1,1.0603059580025729,None,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,17.705610165998223,,,,,,,,,,,,,,,,17.70005416600179,17.705610165998223,18.196549749998667,18.196549749998667,,,,18.77256508300343,right,1,1.0603059580025729,None,18.772674125000776,18.796804208002868,20.279420207996736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-30,-60,left,3,3,0,left,1,1.1009027910040459,None,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,20.285063583003648,,,,,,,,,,,,,,,,20.280959916002757,20.285063583003648,20.771953415998723,20.771953415998723,,,,21.389473916002316,left,1,1.1009027910040459,None,21.38958362500125,21.41351779099932,22.897437583000283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.89764066600037,22.90563100000145,22.90563100000145,27.749743790998764,space,4.83871283299959,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-30,-60,left,0,0,0,,,,,100,right,0,0.9601175839998177,None,,,,,,,,,,,,,,0,0,0,0,,,,,27.766042125003878,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.732580083000357,28.74103108300187,30.231437708003796,30.239049041003454,,,,,,,,27.75679454099736,27.766042125003878,28.263809582997055,28.263809582997055,28.32210783300252,28.335427750003873,28.335427750003873,28.732444207998924,right,0,0.9601175839998177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
-30,0,left,1,1,0,,,,,100,left,1,1.27536566699564,None,,,,,,,,,,,,,,0,1,1,1,,,,,30.239049041003454,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.517198250003275,31.525880665998557,33.01486537500023,33.02197445800266,,,,,,,,30.23309999999765,30.239049041003454,30.730452041003446,30.730452041003446,30.804028457998356,30.804028457998356,30.804028457998356,31.51703533300315,left,1,1.27536566699564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
30,60,right,2,2,0,,,,,100,right,1,1.083789666001394,None,,,,,,,,,,,,,,0,2,2,2,,,,,33.02197445800266,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.11675929099874,34.125157791000674,35.615073916000256,35.622536041002604,,,,,,,,33.0164349580009,33.02197445800266,33.51374645800388,33.51374645800388,33.58706474999781,33.58706474999781,33.58706474999781,34.11660458300321,right,1,1.083789666001394,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_13h11.20.095,tilt_mocs,2024.2.4,118.29343922245755,2025-10-20 13h11.29.216890 -0400,
