center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009338166993984487,0.017119708994869143,0.017119708994869143,2.5362663339983555,space,2.476061875000596,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5363489589944948,2.551411916996585,2.551411916996585,3.5984157499988214,space,1.038553749996936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
30,0,right,0,0,0,right,1,1.6750610000017332,None,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,3.618449541994778,,,,,,,,,,,,,,,,3.609906334000698,3.618449541994778,4.10205062499881,4.10205062499881,5.09615012499853,5.09615012499853,5.09615012499853,5.298734541996964,right,1,1.6750610000017332,None,5.30387074999453,5.360001666995231,6.801779916997475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-30,0,left,1,1,0,left,1,0.9797430000035092,None,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,6.812893083995732,,,,,,,,,,,,,,,,6.804203374995268,6.812893083995732,7.2961912499959,7.2961912499959,,,,7.798485958999663,left,1,0.9797430000035092,None,7.798598999994283,7.807410624998738,9.297730209000292,9.306232291994093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
30,60,right,2,2,0,right,1,1.0498592080039089,None,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,9.306232291994093,,,,,,,,,,,,,,,,9.300638208995224,9.306232291994093,9.796292084000015,9.796292084000015,,,,10.365636292001,right,1,1.0498592080039089,None,10.365804208995542,10.37469366699952,11.864381291998143,11.872367124997254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-30,-60,left,3,3,0,left,1,1.2572925830027089,None,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,11.872367124997254,,,,,,,,,,,,,,,,11.866755708993878,11.872367124997254,12.36286866699811,12.36286866699811,,,,13.132485874994018,left,1,1.2572925830027089,None,13.132622874996741,13.141154749995621,14.630822791994433,14.638898249999329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.631004041999404,14.638898249999329,14.638898249999329,16.71588945899566,space,2.0691987080062972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-30,-60,left,0,0,0,,,,,100,left,1,1.4849277090033866,None,,,,,,,,,,,,,,0,0,0,0,,,,,16.732893291999062,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.22138629199617,18.22977424999408,19.714381999998295,19.721651749998273,,,,,,,,16.723963708995143,16.732893291999062,17.21592866699939,17.21592866699939,17.288560208995477,17.288560208995477,17.288560208995477,18.221264916996006,left,1,1.4849277090033866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
-30,0,left,1,1,0,,,,,100,left,1,1.116701415994612,None,,,,,,,,,,,,,,0,1,1,1,,,,,19.721651749998273,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.849905833994853,20.859196958997927,22.347791499996674,22.35526562499581,,,,,,,,19.716027333997772,19.721651749998273,20.22195254200051,20.22195254200051,20.297170624995488,20.297170624995488,20.297170624995488,20.849643249996006,left,1,1.116701415994612,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
30,60,right,2,2,0,,,,,100,right,1,0.9758372920041438,None,,,,,,,,,,,,,,0,2,2,2,,,,,22.35526562499581,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.34171512499597,23.34728495899617,24.831730874997447,24.839949834000436,,,,,,,,22.349436791999324,22.35526562499581,22.846660791998147,22.846660791998147,22.91992662499979,22.91992662499979,22.91992662499979,23.3415946669993,right,1,0.9758372920041438,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049998,0,2025-10-20_12h38.40.183,tilt_mocs,2024.2.4,118.59647101543273,2025-10-20 12h38.48.426811 -0400,
