center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,type,surr_type,surr_opacity,resp.keys,resp.rt,resp.duration,key_resp_10.keys,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012473874958232045,0.06669266591779888,0.06669266591779888,1.5406170000787824,space,1.4358825420495123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h38.15.840,tilt_mocs,2024.2.4,None,2025-10-18 11h38.23.752594 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5406713329721242,1.5567524160724133,1.5567524160724133,1.7106679999269545,space,0.14459916716441512,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h38.15.840,tilt_mocs,2024.2.4,None,2025-10-18 11h38.23.752594 -0400,
30,0,right,0,0,0,right,1,3.138808875111863,None,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1.7509368329774588,,,,,,,,,,,,,,,,1.7441388331353664,1.7509368329774588,2.2219355411361903,2.2219355411361903,3.2089245410170406,3.2138733330648392,3.2138733330648392,4.893818583106622,right,1,3.138808875111863,None,4.8964152911212295,5.0302328329999,6.39483862509951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h38.15.840,tilt_mocs,2024.2.4,None,2025-10-18 11h38.23.752594 -0400,
-30,0,left,1,1,0,left,1,0.9295655419118702,None,,,,,,,,,,,,,0,1,1,1,,,,,,,,,6.409295083023608,,,,,,,,,,,,,,,,6.396275750128552,6.409295083023608,6.8926221660804,6.8926221660804,,,,7.344823332969099,left,1,0.9295655419118702,None,7.344961374998093,7.353766916086897,8.843721583019942,8.850742791080847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h38.15.840,tilt_mocs,2024.2.4,None,2025-10-18 11h38.23.752594 -0400,
30,60,right,2,2,0,right,1,0.8334636248182505,None,,,,,,,,,,,,,0,2,2,2,,,,,,,,,8.850742791080847,,,,,,,,,,,,,,,,8.845624540932477,8.850742791080847,9.342278083087876,9.342278083087876,,,,9.694768415996805,right,1,0.8334636248182505,None,9.694917791057378,9.702721582958475,11.193361041136086,11.1996378749609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h38.15.840,tilt_mocs,2024.2.4,None,2025-10-18 11h38.23.752594 -0400,
-30,-60,left,3,3,0,left,1,0.7914744168519974,None,,,,,,,,,,,,,0,3,3,3,,,,,,,,,11.1996378749609,,,,,,,,,,,,,,,,11.195006082998589,11.1996378749609,11.69264274998568,11.69264274998568,,,,11.994869833113626,left,1,0.7914744168519974,None,11.994981208117679,12.002651625080034,13.493004082934931,13.499182583065704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h38.15.840,tilt_mocs,2024.2.4,None,2025-10-18 11h38.23.752594 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.493196540977806,13.499182583065704,13.499182583065704,14.911159957991913,space,1.4060277498792857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h38.15.840,tilt_mocs,2024.2.4,None,2025-10-18 11h38.23.752594 -0400,
-30,-60,left,0,0,0,,,,,100,left,1,0.9694241669494659,None,,,,,,,,,,,,0,0,0,0,,,,,14.941516374936327,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.920708040939644,15.925775583134964,17.4102629579138,17.416640874929726,,,,,,,,14.932972500100732,14.941516374936327,15.409076750045642,15.409076750045642,15.482872416032478,15.482872416032478,15.482872416032478,15.920592332957312,left,1,0.9694241669494659,None,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h38.15.840,tilt_mocs,2024.2.4,None,2025-10-18 11h38.23.752594 -0400,
-30,0,left,1,1,0,,,,,100,right,0,0.9342868749517947,None,,,,,,,,,,,,0,1,1,1,,,,,17.416640874929726,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.361455915961415,18.36896212492138,19.86050095804967,19.867346165934578,,,,,,,,17.41203008312732,17.416640874929726,17.918252333067358,17.918252333067358,17.993058915948495,17.993058915948495,17.998772708000615,18.361347041092813,right,0,0.9342868749517947,None,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h38.15.840,tilt_mocs,2024.2.4,None,2025-10-18 11h38.23.752594 -0400,
30,60,right,2,2,0,,,,,100,right,1,0.9768645418807864,None,,,,,,,,,,,,0,2,2,2,,,,,19.867346165934578,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.85340587492101,20.85822979104705,22.343744290992618,22.349799874937162,,,,,,,,19.862049625022337,19.867346165934578,20.358428083127365,20.358428083127365,20.431784541113302,20.431784541113302,20.431784541113302,20.85330312512815,right,1,0.9768645418807864,None,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h38.15.840,tilt_mocs,2024.2.4,None,2025-10-18 11h38.23.752594 -0400,
