center,surround,type,surr_type,surr_opacity,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,key_resp_10.keys,key_resp_10.rt,key_resp_10.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,text_4.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,text_2.started,key_resp_10.started,trials.key_resp_10.rt,trials.key_resp_10.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03255966701544821,0.03955608396790922,0.03955608396790922,8.92651658388786,space,8.882936750072986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian,0,2025-08-21_16h43.14.455,tilt_mocs,2024.2.4,None,2025-08-21 16h43.27.201682 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.926554417004809,8.935015459079295,8.935015459079295,9.320839541964233,space,0.37930537504144013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian,0,2025-08-21_16h43.14.455,tilt_mocs,2024.2.4,None,2025-08-21 16h43.27.201682 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.326357709011063,9.331376499962062,9.331376499962062,9.687412624945864,space,0.34630633401684463,None,,,,,,,,,,,,,,,,,,,,,,,,,,brian,0,2025-08-21_16h43.14.455,tilt_mocs,2024.2.4,None,2025-08-21 16h43.27.201682 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.690873000072315,9.69559504208155,9.69559504208155,10.07473145890981,space,0.376575208036229,None,,,,,,,,,,,,,,,,,,,brian,0,2025-08-21_16h43.14.455,tilt_mocs,2024.2.4,None,2025-08-21 16h43.27.201682 -0400,
0.5,15.0,m1,poss,100,0,0,0,left,1.0940470001660287,None,None,,,,,,,,,,,0,0,0,97,10.102279667044058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.097878749947995,10.102279667044058,10.585910625057295,10.585910625057295,10.652444625040516,10.65793220908381,10.65793220908381,11.205220500007272,left,1.0940470001660287,None,11.205282541923225,11.205303916940466,None,,,,,brian,0,2025-08-21_16h43.14.455,tilt_mocs,2024.2.4,None,2025-08-21 16h43.27.201682 -0400,
1.5,15.0,p1,poss,100,1,1,0,left,0.9596430829260498,None,None,,,,,,,,,,,0,1,1,194,11.413217833964154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.20616083405912,11.413217833964154,11.701493750093505,11.701493750093505,11.77330195903778,11.77330195903778,11.77330195903778,12.377246666932479,left,0.9596430829260498,None,12.377318209037185,12.377339083934203,None,,,,,brian,0,2025-08-21_16h43.14.455,tilt_mocs,2024.2.4,None,2025-08-21 16h43.27.201682 -0400,
-2.2222222222222228,-15.0,p1,negs,100,2,2,0,right,1.1797909578308463,None,None,,,,,,,,,,,0,2,2,459,12.385547583922744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.378271667053923,12.385547583922744,12.873878834070638,12.873878834070638,12.952162167057395,12.952162167057395,12.952162167057395,13.5710377919022,right,1.1797909578308463,None,13.571088917087764,13.571107541909441,None,,,,,brian,0,2025-08-21_16h43.14.455,tilt_mocs,2024.2.4,None,2025-08-21 16h43.27.201682 -0400,
-3.2222222222222228,-15.0,m1,negs,100,3,3,0,left,1.1717786251101643,None,space,2.4133805418387055,None,,,,,,,,,0,3,3,390,13.575558624928817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.571926167001948,13.575558624928817,14.068200042005628,14.068200042005628,14.139230292057618,14.139230292057618,14.139230292057618,14.754737624898553,left,1.1717786251101643,None,14.754790666978806,17.175509166903794,space,14.759130584076047,14.759130584076047,2.4133805418387055,None,brian,0,2025-08-21_16h43.14.455,tilt_mocs,2024.2.4,None,2025-08-21 16h43.27.201682 -0400,
-1.1388888888888888,0.0,m2,noss,0,4,4,0,left,1.0451733330264688,None,None,,,,,,,,,,,0,4,4,597,17.184941499959677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.17636379203759,17.184941499959677,17.67431587493047,17.67431587493047,17.75215179193765,17.75215179193765,17.75215179193765,18.237648125039414,left,1.0451733330264688,None,18.237698833923787,18.237717041978613,None,,,,,brian,0,2025-08-21_16h43.14.455,tilt_mocs,2024.2.4,None,2025-08-21 16h43.27.201682 -0400,
1.0,15.0,PSE,poss,100,5,5,0,left,1.065215083071962,None,None,,,,,,,,,,,0,5,5,158,18.242116125067696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.238527124980465,18.242116125067696,18.73496395908296,18.73496395908296,18.80696350010112,18.80696350010112,18.80696350010112,19.31027829204686,left,1.065215083071962,None,19.310320375021547,19.31033437489532,None,,,,,brian,0,2025-08-21_16h43.14.455,tilt_mocs,2024.2.4,None,2025-08-21 16h43.27.201682 -0400,
