center,surround,type,surr_type,surr_opacity,thisN,thisTrialN,thisRepN,resp.keys,resp.rt,resp.duration,key_resp_10.keys,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.resp.keys,trials.resp.rt,trials.resp.duration,break_2.started,break_2.stopped,trials.key_resp_10.keys,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.010655957972630858,0.019327957998029888,0.019327957998029888,0.8273914169985801,space,0.7558388329925947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8274706670199521,0.8422965829959139,0.8422965829959139,0.9340952499769628,space,0.08893787499982864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9435199999716133,0.9564067079918459,0.9564067079918459,1.1306702920119278,space,0.16508808301296085,None,,,,,,,,,,,,,,,,,,,,,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1368580830167048,1.1458451250218786,1.1458451250218786,14.386059332988225,space,13.238043916993774,None,,,,,,,,,,,,,,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
-1.2222222222222228,-15.0,p3,negs,100,0,0,0,right,1.1295367499697022,None,None,,,,,,,,,0,0,0,534,14.42862508300459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.423607082979288,14.42862508300459,14.88881787500577,14.88881787500577,14.968131667003036,14.968131667003036,15.565396249992773,right,1.1295367499697022,None,15.565606124990154,15.565687707974575,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
-0.8611111111111112,0.0,p2,noss,0,1,1,0,right,1.47003849997418,None,None,,,,,,,,,0,1,1,677,15.628044167009648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.568231208017096,15.628044167009648,16.06235820800066,16.06235820800066,16.134308292006608,16.134308292006608,17.10366691701347,right,1.47003849997418,None,17.10381000000052,17.10387129196897,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
-0.8611111111111112,0.0,p2,noss,0,2,2,0,left,1.9717520840349607,None,None,,,,,,,,,0,2,2,666,17.11536925000837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.10711475001881,17.11536925000837,17.604540916974656,17.604540916974656,17.679414374986663,17.679414374986663,19.097849374986254,left,1.9717520840349607,None,19.098012582981028,19.098068916995544,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
-1.1388888888888888,0.0,m2,noss,0,3,3,0,left,1.3080235830275342,None,None,,,,,,,,,0,3,3,597,19.10736966697732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1004212499829,19.10736966697732,19.59523687500041,19.59523687500041,19.728565541969147,19.728565541969147,20.419503375014756,left,1.3080235830275342,None,20.419647999980953,20.419701832986902,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
1.5,15.0,p1,poss,100,4,4,0,right,1.1668977090157568,None,None,,,,,,,,,0,4,4,180,20.431571916968096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.422387541970238,20.431571916968096,20.921243082964793,20.921243082964793,20.996068832988385,20.996068832988385,21.604945499973837,right,1.1668977090157568,None,21.605145292007364,21.60522074997425,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
-2.2222222222222228,-15.0,p1,negs,100,5,5,0,right,1.0655405839788727,None,None,,,,,,,,,0,5,5,453,21.61670391698135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6081280829967,21.61670391698135,22.104189042001963,22.104189042001963,22.179248708009254,22.179248708009254,22.68704945797799,right,1.0655405839788727,None,22.687156083004083,22.687194083002396,None,brian,0,2025-09-11_12h46.28.317,tilt_mocs,2024.2.4,None,2025-09-11 12h46.36.768903 -0400,
