center,surround,type,surr_type,surr_opacity,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trial.started,resp.started,surround_grating.started,center_grating.started,text_4.started,surround_grating.stopped,center_grating.stopped,trial.stopped,resp.keys,resp.rt,resp.duration,break_2.started,break_2.stopped,key_resp_10.keys,text_2.started,key_resp_10.started,key_resp_10.rt,key_resp_10.duration,end.started,text_14.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.013009959002374671,0.0291066249992582,0.0291066249992582,6.873966459002986,space,6.80277287500212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sofia,0,2025-08-22_15h21.11.774,tilt_mocs,2023.2.3,120.87885016276718,2025-08-22 15h21.24.319574 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,6.874001584001235,6.8904532919987105,6.8904532919987105,11.01308558400342,space,4.118816792004509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sofia,0,2025-08-22_15h21.11.774,tilt_mocs,2023.2.3,120.87885016276718,2025-08-22 15h21.24.319574 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.035901417002606,11.049378333998902,11.049378333998902,14.72935245899862,space,3.6735571659955895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sofia,0,2025-08-22_15h21.11.774,tilt_mocs,2023.2.3,120.87885016276718,2025-08-22 15h21.24.319574 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.745441708997532,14.75574104199768,14.75574104199768,17.086112375000084,space,2.3240781249987776,None,,,,,,,,,,,,,,,,,,,,,,,,,,sofia,0,2025-08-22_15h21.11.774,tilt_mocs,2023.2.3,120.87885016276718,2025-08-22 15h21.24.319574 -0400,
-1.9444444444444449,-15.0,m1,negs,100,,,,,,,,,0,0,0,385,17.14693737500056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.13944362499751,17.14693737500056,17.676077791998978,17.676077791998978,17.682587834002334,17.751143791996583,17.751143791996583,18.753352749998157,left,1.6049615830052062,None,18.755491791998793,18.755538792000152,None,,,,,,,,,,,,sofia,0,2025-08-22_15h21.11.774,tilt_mocs,2023.2.3,120.87885016276718,2025-08-22 15h21.24.319574 -0400,
-0.4444444444444446,-15.0,p2,negs,100,,,,,,,,,0,1,1,518,18.814174166996963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7565927090036,18.814174166996963,19.25627566700132,19.25627566700132,19.33591216700006,19.33591216700006,19.33591216700006,19.902397792000556,right,1.0817612079990795,None,19.90278075000242,19.902823875003378,None,,,,,,,,,,,,sofia,0,2025-08-22_15h21.11.774,tilt_mocs,2023.2.3,120.87885016276718,2025-08-22 15h21.24.319574 -0400,
1.5,0.0,PSE,noss,0,,,,,,,,,0,2,2,628,19.9146013339996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.90318383400154,19.9146013339996,20.406671249998908,20.406671249998908,20.478280875002383,20.478280875002383,20.478280875002383,21.869313791998138,right,1.9499394160011434,None,21.869686291996913,21.869726541997807,None,,,,,,,,,,,,sofia,0,2025-08-22_15h21.11.774,tilt_mocs,2023.2.3,120.87885016276718,2025-08-22 15h21.24.319574 -0400,
6.277777777777779,15.0,m2,poss,100,,,,,,,,,0,3,3,77,21.87866912499885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.870104041998275,21.87866912499885,22.373756291999598,22.373756291999598,22.44490450000012,22.451957833996858,22.451957833996858,23.23580737500015,right,1.350846500004991,None,23.236169834002794,24.929936250002356,space,23.244732708997617,23.244732708997617,1.6812672910018591,None,,,,,,,,sofia,0,2025-08-22_15h21.11.774,tilt_mocs,2023.2.3,120.87885016276718,2025-08-22 15h21.24.319574 -0400,
1.5,0.0,PSE,noss,0,,,,,,,,,0,4,4,622,24.942156208999222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.931446959002642,24.942156208999222,25.42799720900075,25.42799720900075,25.50253179200081,25.50253179200081,25.50253179200081,26.419592209000257,right,1.4733044579988928,None,26.41996179200214,26.42000216699671,None,,,,,,,,,,,,sofia,0,2025-08-22_15h21.11.774,tilt_mocs,2023.2.3,120.87885016276718,2025-08-22 15h21.24.319574 -0400,
2.0,0.0,p1,noss,0,,,,,,,,,0,5,5,656,26.42927491699811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.42035983400274,26.42927491699811,26.922880459002045,26.922880459002045,26.994951084001514,27.002555624996603,27.002555624996603,27.47966933400312,right,1.040647458001331,None,27.48010820899799,27.480161792002036,None,,,,,,,,,,,,sofia,0,2025-08-22_15h21.11.774,tilt_mocs,2023.2.3,120.87885016276718,2025-08-22 15h21.24.319574 -0400,
