center,surround,type,surr_type,surr_opacity
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
-2,15.0,c-2,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
0,15.0,c+0,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
2,15.0,c+2,poss,100
