center,surround,type,surr_type,surr_opacity
-2.5,-15,m1,negs,100
-2.5,-15,m1,negs,100
-2.5,-15,m1,negs,100
-2.5,-15,m1,negs,100
-3.5,-15,m2,negs,100
-3.5,-15,m2,negs,100
-3.5,-15,m2,negs,100
-3.5,-15,m2,negs,100
-1.5,-15,p1,negs,100
-1.5,-15,p1,negs,100
-1.5,-15,p1,negs,100
-1.5,-15,p1,negs,100
-0.5,-15,p2,negs,100
-0.5,-15,p2,negs,100
-0.5,-15,p2,negs,100
-0.5,-15,p2,negs,100
-2,-15,PSE,negs,100
-2,-15,PSE,negs,100
-2,-15,PSE,negs,100
-2,-15,PSE,negs,100
-2.5,-15,m1,negs,100
-2.5,-15,m1,negs,100
-2.5,-15,m1,negs,100
-2.5,-15,m1,negs,100
-3.5,-15,m2,negs,100
-3.5,-15,m2,negs,100
-3.5,-15,m2,negs,100
-3.5,-15,m2,negs,100
-1.5,-15,p1,negs,100
-1.5,-15,p1,negs,100
-1.5,-15,p1,negs,100
-1.5,-15,p1,negs,100
-0.5,-15,p2,negs,100
-0.5,-15,p2,negs,100
-0.5,-15,p2,negs,100
-0.5,-15,p2,negs,100
-2,-15,PSE,negs,100
-2,-15,PSE,negs,100
-2,-15,PSE,negs,100
-2,-15,PSE,negs,100
-2.5,-15,m1,negs,100
-2.5,-15,m1,negs,100
-2.5,-15,m1,negs,100
-2.5,-15,m1,negs,100
-3.5,-15,m2,negs,100
-3.5,-15,m2,negs,100
-3.5,-15,m2,negs,100
-3.5,-15,m2,negs,100
-1.5,-15,p1,negs,100
-1.5,-15,p1,negs,100
-1.5,-15,p1,negs,100
-1.5,-15,p1,negs,100
-0.5,-15,p2,negs,100
-0.5,-15,p2,negs,100
-0.5,-15,p2,negs,100
-0.5,-15,p2,negs,100
-2,-15,PSE,negs,100
-2,-15,PSE,negs,100
-2,-15,PSE,negs,100
-2,-15,PSE,negs,100
1.5,0,m1,noss,0
-2.5,0,m1,noss,0
1.5,0,m1,noss,0
-2.5,0,m1,noss,0
0.5,0,m2,noss,0
-3.5,0,m2,noss,0
0.5,0,m2,noss,0
-3.5,0,m2,noss,0
2.5,0,p1,noss,0
-1.5,0,p1,noss,0
2.5,0,p1,noss,0
-1.5,0,p1,noss,0
3.5,0,p2,noss,0
-0.5,0,p2,noss,0
3.5,0,p2,noss,0
-0.5,0,p2,noss,0
2,0,PSE,noss,0
-2,0,PSE,noss,0
2,0,PSE,noss,0
-2,0,PSE,noss,0
1.5,15,m1,poss,100
1.5,15,m1,poss,100
1.5,15,m1,poss,100
1.5,15,m1,poss,100
0.5,15,m2,poss,100
0.5,15,m2,poss,100
0.5,15,m2,poss,100
0.5,15,m2,poss,100
2.5,15,p1,poss,100
2.5,15,p1,poss,100
2.5,15,p1,poss,100
2.5,15,p1,poss,100
3.5,15,p2,poss,100
3.5,15,p2,poss,100
3.5,15,p2,poss,100
3.5,15,p2,poss,100
2,15,PSE,poss,100
2,15,PSE,poss,100
2,15,PSE,poss,100
2,15,PSE,poss,100
1.5,15,m1,poss,100
1.5,15,m1,poss,100
1.5,15,m1,poss,100
1.5,15,m1,poss,100
0.5,15,m2,poss,100
0.5,15,m2,poss,100
0.5,15,m2,poss,100
0.5,15,m2,poss,100
2.5,15,p1,poss,100
2.5,15,p1,poss,100
2.5,15,p1,poss,100
2.5,15,p1,poss,100
3.5,15,p2,poss,100
3.5,15,p2,poss,100
3.5,15,p2,poss,100
3.5,15,p2,poss,100
2,15,PSE,poss,100
2,15,PSE,poss,100
2,15,PSE,poss,100
2,15,PSE,poss,100
1.5,15,m1,poss,100
1.5,15,m1,poss,100
1.5,15,m1,poss,100
1.5,15,m1,poss,100
0.5,15,m2,poss,100
0.5,15,m2,poss,100
0.5,15,m2,poss,100
0.5,15,m2,poss,100
2.5,15,p1,poss,100
2.5,15,p1,poss,100
2.5,15,p1,poss,100
2.5,15,p1,poss,100
3.5,15,p2,poss,100
3.5,15,p2,poss,100
3.5,15,p2,poss,100
3.5,15,p2,poss,100
2,15,PSE,poss,100
2,15,PSE,poss,100
2,15,PSE,poss,100
2,15,PSE,poss,100
