center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016328459023498,0.020646999939344823,0.020646999939344823,0.46218391694128513,space,0.4114821660332382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060793,001,2025-08-14_12h13.25.417,tilt_staircase,2024.2.4,None,2025-08-14 12h13.31.631818 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46222716697957367,0.47059195896144956,0.47059195896144956,0.7962955000111833,space,0.3230281249852851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060793,001,2025-08-14_12h13.25.417,tilt_staircase,2024.2.4,None,2025-08-14 12h13.31.631818 -0700,
30,0,right,0,0,0,right,1,1.4015566669404507,None,space,0.26498129195533693,None,,,,,0,0,0,0,,,,,0.812306166975759,,,,,,,,,,,,,,,,0.8029258749447763,0.812306166975759,0.812306166975759,1.2938078339211643,1.2938078339211643,1.310562334023416,2.217558459029533,right,1,1.4015566669404507,None,2.2205677919555455,2.274053999921307,2.274053999921307,2.546313792001456,space,0.26498129195533693,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060793,001,2025-08-14_12h13.25.417,tilt_staircase,2024.2.4,None,2025-08-14 12h13.31.631818 -0700,
-30,0,left,1,1,0,left,1,0.8654555840184912,None,space,0.1153451669961214,None,,,,,0,1,1,1,,,,,2.550612666993402,,,,,,,,,,,,,,,,2.5464977499796078,2.550612666993402,2.550612666993402,3.04387549997773,3.04387549997773,3.048311208956875,3.4173148749396205,left,1,0.8654555840184912,None,3.4173736670054495,3.4271920419996604,3.4271920419996604,3.5461649589706212,space,0.1153451669961214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060793,001,2025-08-14_12h13.25.417,tilt_staircase,2024.2.4,None,2025-08-14 12h13.31.631818 -0700,
30,60,right,2,2,0,right,1,0.9254822499351576,None,space,0.10361608292441815,None,,,,,0,2,2,2,,,,,3.550277499947697,,,,,,,,,,,,,,,,3.546337249921635,3.550277499947697,3.550277499947697,4.043812374933623,4.043812374933623,4.048620208981447,4.479895249940455,right,1,0.9254822499351576,None,4.479954874957912,4.4835997089976445,4.4835997089976445,4.596272959024645,space,0.10361608292441815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060793,001,2025-08-14_12h13.25.417,tilt_staircase,2024.2.4,None,2025-08-14 12h13.31.631818 -0700,
-30,-60,left,3,3,0,left,1,0.8224341670284048,None,space,0.09852220793254673,None,,,,,0,3,3,3,,,,,4.600384583929554,,,,,,,,,,,,,,,,4.596464333939366,4.600384583929554,4.600384583929554,5.0936779589392245,5.0936779589392245,5.098040374927223,5.430130542023107,left,1,0.8224341670284048,None,5.430189916980453,5.433993041981012,5.433993041981012,5.534662334015593,space,0.09852220793254673,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060793,001,2025-08-14_12h13.25.417,tilt_staircase,2024.2.4,None,2025-08-14 12h13.31.631818 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.534745250013657,5.543732583988458,5.543732583988458,6.117938708979636,space,0.5721500420477241,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060793,001,2025-08-14_12h13.25.417,tilt_staircase,2024.2.4,None,2025-08-14 12h13.31.631818 -0700,
-30,-60,left,0,0,0,,,,,space,0.1558193750679493,None,left,1,0.9497486249310896,None,,,,,0,0,0,0,6.127056166995317,,,,,,,,,,,,,,,,,,,,,,,,,,,7.07992133393418,7.082331749959849,7.082331749959849,7.246144791948609,,,,,,,,,,,6.120925792027265,6.127056166995317,6.127056166995317,6.616981583996676,6.616981583996676,6.616981583996676,6.693743124953471,6.693743124953471,6.693743124953471,7.079858499928378,left,1,0.9497486249310896,None,space,0.1558193750679493,None,,,,,,,,,,,,,,,,,,,,,,,,,060793,001,2025-08-14_12h13.25.417,tilt_staircase,2024.2.4,None,2025-08-14 12h13.31.631818 -0700,
-30,0,left,1,1,0,,,,,space,0.09709354105871171,None,left,1,0.847838000045158,None,,,,,0,1,1,1,7.2503769169561565,,,,,,,,,,,,,,,,,,,,,,,,,,,8.100865958957002,8.110484916949645,8.110484916949645,8.212701583979651,,,,,,,,,,,7.246334291994572,7.2503769169561565,7.2503769169561565,7.743622666923329,7.743622666923329,7.748271791962907,7.8145143339643255,7.8145143339643255,7.8145143339643255,8.100810625008307,left,1,0.847838000045158,None,space,0.09709354105871171,None,,,,,,,,,,,,,,,,,,,,,,,,,060793,001,2025-08-14_12h13.25.417,tilt_staircase,2024.2.4,None,2025-08-14 12h13.31.631818 -0700,
30,60,right,2,2,0,,,,,space,0.11615679203532636,None,right,1,0.84129487501923,None,,,,,0,2,2,2,8.216854166937992,,,,,,,,,,,,,,,,,,,,,,,,,,,9.063149999943562,9.066992167034186,9.066992167034186,9.184418999939226,,,,,,,,,,,8.212866458925419,8.216854166937992,8.216854166937992,8.710642208927311,8.710642208927311,8.715855874936096,8.784592708921991,8.784592708921991,8.784592708921991,9.063086499925703,right,1,0.84129487501923,None,space,0.11615679203532636,None,,,,,,,,,,,,,,,,,,,,,,,,,060793,001,2025-08-14_12h13.25.417,tilt_staircase,2024.2.4,None,2025-08-14 12h13.31.631818 -0700,
