center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,text_14.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,text_16.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,text_15.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,text_15.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045592249953188,0.052927207900211215,0.052927207900211215,36.434336332953535,space,36.345498624956235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,061061,001,2025-08-14_11h30.28.824,tilt_staircase,2024.2.4,None,2025-08-14 11h30.41.618036 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.43468820792623,36.469118124921806,36.469118124921806,38.845027082948945,space,2.373170041013509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,061061,001,2025-08-14_11h30.28.824,tilt_staircase,2024.2.4,None,2025-08-14 11h30.41.618036 -0700,
30,0,right,0,0,0,right,1,2.4073955410858616,None,space,0.7289977499749511,None,,,,,0,0,0,0,,,,,38.892476915963925,,,,,,,,,,,,,,,,38.87643983296584,38.892476915963925,38.892476915963925,38.892476915963925,39.34207041596528,39.34207041596528,39.380631499923766,40.33011745789554,40.33011745789554,40.34220045793336,40.84224762499798,41.311575040919706,right,1,2.4073955410858616,None,41.3157022499945,41.53638370789122,41.53638370789122,41.53638370789122,42.27806333289482,space,0.7289977499749511,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,061061,001,2025-08-14_11h30.28.824,tilt_staircase,2024.2.4,None,2025-08-14 11h30.41.618036 -0700,
-30,0,left,1,1,0,left,1,0.9828483749879524,None,space,0.6614117909921333,None,,,,,0,1,1,1,,,,,42.28490491595585,,,,,,,,,,,,,,,,42.280317374970764,42.28490491595585,42.28490491595585,42.28490491595585,42.775619874941185,42.775619874941185,42.780723250005394,,,,,43.27828566590324,left,1,0.9828483749879524,None,43.279535082983784,43.28620554099325,43.28620554099325,43.28620554099325,43.94987399992533,space,0.6614117909921333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,061061,001,2025-08-14_11h30.28.824,tilt_staircase,2024.2.4,None,2025-08-14 11h30.41.618036 -0700,
30,60,right,2,2,0,right,1,1.5973379999632016,None,space,1.6685217920457944,None,,,,,0,2,2,2,,,,,43.95880091597792,,,,,,,,,,,,,,,,43.95217554096598,43.95880091597792,43.95880091597792,43.95880091597792,44.44693524995819,44.44693524995819,44.44693524995819,45.44821924995631,45.44821924995631,45.45892808295321,,45.561801457894035,right,1,1.5973379999632016,None,45.56337574997451,45.56742958293762,45.56742958293762,45.56742958293762,47.24480516591575,space,1.6685217920457944,None,46.563665041001514,,,,,,,,,,,,,,,,,,,,,,,,,,,,061061,001,2025-08-14_11h30.28.824,tilt_staircase,2024.2.4,None,2025-08-14 11h30.41.618036 -0700,
-30,-60,left,3,3,0,left,1,2.3144259159453213,None,space,4.446319375070743,None,,,,,0,3,3,3,,,,,47.25162174995057,,,,,,,,,,,,,,,,47.247042874922045,47.25162174995057,47.25162174995057,47.25162174995057,47.74223929096479,47.74223929096479,47.746832832926884,48.730126624926925,48.730126624926925,48.74218349996954,49.242215249920264,49.57822095789015,left,1,2.3144259159453213,None,49.57941133296117,49.58336729090661,49.58336729090661,49.58336729090661,54.03224758291617,space,4.446319375070743,None,50.58019799995236,,,,,,,,,,,,,,,,,,,,,,,,,,,,061061,001,2025-08-14_11h30.28.824,tilt_staircase,2024.2.4,None,2025-08-14 11h30.41.618036 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.03233737498522,54.04211804096121,54.04211804096121,56.87809429096524,space,2.8332383329980075,None,,,,,,,,,,,,,,,,,,,,,061061,001,2025-08-14_11h30.28.824,tilt_staircase,2024.2.4,None,2025-08-14 11h30.41.618036 -0700,
-30,-60,right,0,0,0,,,,,space,0.7718389169313014,None,left,0,1.8514214999740943,None,,,,,0,0,0,0,56.89595237490721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.74975141591858,58.75881470798049,58.75881470798049,58.75881470798049,59.53275770798791,,,,,,,,,,,,56.890799332992174,56.89595237490721,56.89595237490721,57.37551312497817,57.37551312497817,57.392324665910564,57.446840165997855,57.446840165997855,57.446840165997855,58.74968166591134,left,0,1.8514214999740943,None,space,0.7718389169313014,None,,,,061061,001,2025-08-14_11h30.28.824,tilt_staircase,2024.2.4,None,2025-08-14 11h30.41.618036 -0700,
-30,0,left,1,1,0,,,,,space,1.7219121659873053,None,left,1,1.395727958995849,None,,,,,0,1,1,1,59.542249833000824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.94465137494262,60.94825899996795,60.94825899996795,60.94825899996795,62.678462332929485,,,,61.946314582950436,,,,,,,,59.53295983292628,59.542249833000824,59.542249833000824,60.03034649998881,60.03034649998881,60.03034649998881,60.1087435829686,60.1087435829686,60.1087435829686,60.94459129089955,left,1,1.395727958995849,None,space,1.7219121659873053,None,,,,061061,001,2025-08-14_11h30.28.824,tilt_staircase,2024.2.4,None,2025-08-14 11h30.41.618036 -0700,
30,60,left,2,2,0,,,,,space,1.4550851249368861,None,right,0,1.488223792053759,None,,,,,0,2,2,2,62.68320304097142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.17841491592117,64.18224845791701,64.18224845791701,64.18224845791701,65.64464749989565,,,,65.18016824999359,,,,,,,,62.67869095795322,62.68320304097142,62.68320304097142,63.17558574990835,63.17558574990835,63.18026708299294,63.24659087497275,63.24659087497275,63.24659087497275,64.17833262495697,right,0,1.488223792053759,None,space,1.4550851249368861,None,,,,061061,001,2025-08-14_11h30.28.824,tilt_staircase,2024.2.4,None,2025-08-14 11h30.41.618036 -0700,
