trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,surround.started,center.started,resp.started,text.started,trial.stopped,trials.response,resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,5,20.0,0.11768970906268805,,0.10929754201788455,0.11768970906268805,0.11768970906268805,0.11768970906268805,0.11768970906268805,8.660675749997608,0,8.419316209037788,066414,001,2025-08-11_13h53.48.326,tilt_staircase,2024.2.4,None,2025-08-11 13h54.01.071045 -0700,
1,5,25.0,8.667640917003155,,8.662865000078455,8.667640917003155,8.667640917003155,8.667640917003155,8.667640917003155,55.742069750092924,0,47.073011375032365,066414,001,2025-08-11_13h53.48.326,tilt_staircase,2024.2.4,None,2025-08-11 13h54.01.071045 -0700,
2,5,30.0,55.75227004208136,,55.74565712502226,55.75227004208136,55.75227004208136,55.75227004208136,55.75227004208136,56.65922400006093,0,0.9047426669858396,066414,001,2025-08-11_13h53.48.326,tilt_staircase,2024.2.4,None,2025-08-11 13h54.01.071045 -0700,
3,5,30.0,56.66946725000162,,56.6604993341025,56.66946725000162,56.66946725000162,56.66946725000162,56.66946725000162,56.925877417088486,0,0.25499916600529104,066414,001,2025-08-11_13h53.48.326,tilt_staircase,2024.2.4,None,2025-08-11 13h54.01.071045 -0700,
4,5,30.0,56.936202709097415,,56.926890375092626,56.936202709097415,56.936202709097415,56.936202709097415,56.936202709097415,57.0937013750663,0,0.15429304202552885,066414,001,2025-08-11_13h53.48.326,tilt_staircase,2024.2.4,None,2025-08-11 13h54.01.071045 -0700,
5,5,30.0,57.10293845902197,,57.094743542023934,57.10293845902197,57.10293845902197,57.10293845902197,57.10293845902197,57.22237870900426,0,0.10935945808887482,066414,001,2025-08-11_13h53.48.326,tilt_staircase,2024.2.4,None,2025-08-11 13h54.01.071045 -0700,
6,5,30.0,57.22756837506313,,57.22369474999141,57.22756837506313,57.22756837506313,57.22756837506313,57.22756837506313,57.33901008404791,0,0.10881250002421439,066414,001,2025-08-11_13h53.48.326,tilt_staircase,2024.2.4,None,2025-08-11 13h54.01.071045 -0700,
7,5,30.0,57.3430694170529,,57.34011029207613,57.3430694170529,57.3430694170529,57.3430694170529,57.3430694170529,57.43927712505683,0,0.0928839580155909,066414,001,2025-08-11_13h53.48.326,tilt_staircase,2024.2.4,None,2025-08-11 13h54.01.071045 -0700,
8,5,30.0,57.44338916707784,,57.44037345901597,57.44338916707784,57.44338916707784,57.44338916707784,57.44338916707784,57.57247700006701,0,0.11765249993186444,066414,001,2025-08-11_13h53.48.326,tilt_staircase,2024.2.4,None,2025-08-11 13h54.01.071045 -0700,
9,5,30.0,57.5773790840758,,57.573862667079084,57.5773790840758,57.5773790840758,57.5773790840758,57.5773790840758,57.656121500069275,0,0.07465295901056379,066414,001,2025-08-11_13h53.48.326,tilt_staircase,2024.2.4,None,2025-08-11 13h54.01.071045 -0700,
,,,57.660260917036794,,57.65721304202452,57.660260917036794,57.660260917036794,57.660260917036794,57.660260917036794,,,,,,,,,,,
