center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01781362493056804,0.022883708938024938,0.022883708938024938,3.3737427089363337,space,3.3259474580409005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152224,001,2025-08-14_13h27.48.546,tilt_staircase,2024.2.4,None,2025-08-14 13h28.00.501093 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.373803541995585,3.38861016696319,3.38861016696319,3.5584510419284925,space,0.16012720798607916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152224,001,2025-08-14_13h27.48.546,tilt_staircase,2024.2.4,None,2025-08-14 13h28.00.501093 -0700,
30,0,right,0,0,0,right,1,1.2585593749536201,None,space,0.31674354104325175,None,,,,,,0,0,0,0,,,,,3.5743096669903025,,,,,,,,,,,,,,,,3.5651140419067815,3.5743096669903025,3.5743096669903025,4.05625795898959,4.05625795898959,4.073217041906901,4.842349458951503,right,1,1.2585593749536201,None,4.845713333925232,4.909862083964981,4.909862083964981,5.230086708907038,space,0.31674354104325175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152224,001,2025-08-14_13h27.48.546,tilt_staircase,2024.2.4,None,2025-08-14 13h28.00.501093 -0700,
-30,0,left,1,1,0,left,1,1.1885727080516517,None,space,0.09735579101834446,None,,,,,,0,1,1,1,,,,,5.239423166960478,,,,,,,,,,,,,,,,5.230284083983861,5.239423166960478,5.239423166960478,5.729943624930456,5.729943624930456,5.729943624930456,6.4306582499993965,left,1,1.1885727080516517,None,6.430718333926052,6.4395199589198455,6.4395199589198455,6.54214883397799,space,0.09735579101834446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152224,001,2025-08-14_13h27.48.546,tilt_staircase,2024.2.4,None,2025-08-14 13h28.00.501093 -0700,
30,60,right,2,2,0,right,1,0.8333978329319507,None,space,0.08436929108574986,None,,,,,,0,2,2,2,,,,,6.546502624987625,,,,,,,,,,,,,,,,6.542337458929978,6.546502624987625,6.546502624987625,7.039673208957538,7.039673208957538,7.044086084002629,7.392201249953359,right,1,0.8333978329319507,None,7.392251209006645,7.39582229196094,7.39582229196094,7.492177499923855,space,0.08436929108574986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152224,001,2025-08-14_13h27.48.546,tilt_staircase,2024.2.4,None,2025-08-14 13h28.00.501093 -0700,
-30,-60,left,3,3,0,left,1,0.8897926249774173,None,space,0.08134150004480034,None,,,,,,0,3,3,3,,,,,7.496198333916254,,,,,,,,,,,,,,,,7.492346999933943,7.496198333916254,7.496198333916254,7.989658167003654,7.989658167003654,7.994596584001556,8.392272249911912,left,1,0.8897926249774173,None,8.392330083996058,8.396095374948345,8.396095374948345,8.480375124956481,space,0.08134150004480034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152224,001,2025-08-14_13h27.48.546,tilt_staircase,2024.2.4,None,2025-08-14 13h28.00.501093 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.480457499972545,8.489621874992736,8.489621874992736,9.008737416937947,space,0.5111177500803024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152224,001,2025-08-14_13h27.48.546,tilt_staircase,2024.2.4,None,2025-08-14 13h28.00.501093 -0700,
-30,-60,left,0,0,0,,,,,space,0.36521499999798834,None,100,left,1,1.7773280419642106,None,,,,,0,0,0,0,9.018169791903347,,,,,,,,,,,,,,,,,,,,,,,,,,,10.796779416967183,10.806236999924295,10.806236999924295,11.175441833911464,,,,,,,,,,,9.013321249978617,9.018169791903347,9.018169791903347,9.506196958944201,9.506196958944201,9.510886624921113,9.577931666979566,9.577931666979566,9.577931666979566,10.796719625010155,left,1,1.7773280419642106,None,space,0.36521499999798834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152224,001,2025-08-14_13h27.48.546,tilt_staircase,2024.2.4,None,2025-08-14 13h28.00.501093 -0700,
-30,0,left,1,1,0,,,,,space,0.28325462504290044,None,100,left,1,0.9971501249819994,None,,,,,0,1,1,1,11.179763083928265,,,,,,,,,,,,,,,,,,,,,,,,,,,12.179795166943222,12.189597208984196,12.189597208984196,12.475277833989821,,,,,,,,,,,11.175667417002842,11.179763083928265,11.179763083928265,11.672862584004179,11.672862584004179,11.677308792015538,11.743854874977842,11.743854874977842,11.743854874977842,12.179735917015933,left,1,0.9971501249819994,None,space,0.28325462504290044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152224,001,2025-08-14_13h27.48.546,tilt_staircase,2024.2.4,None,2025-08-14 13h28.00.501093 -0700,
30,60,right,2,2,0,,,,,space,0.22432916599791497,None,100,right,1,1.1039150410797447,None,,,,,0,2,2,2,12.477991833933629,,,,,,,,,,,,,,,,,,,,,,,,,,,13.592355125001632,13.596077416907065,13.596077416907065,13.82555487495847,,,,,,,,,,,12.475503458990715,12.477991833933629,12.477991833933629,12.97295308392495,12.97295308392495,12.97295308392495,13.043831583927386,13.043831583927386,13.043831583927386,13.592291958979331,right,1,1.1039150410797447,None,space,0.22432916599791497,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152224,001,2025-08-14_13h27.48.546,tilt_staircase,2024.2.4,None,2025-08-14 13h28.00.501093 -0700,
