center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,text_14.started,trial.stopped,trials.response,surround_angle,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02812808402813971,0.03409541700966656,0.03409541700966656,0.7070086670573801,space,0.6408806659746915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7070702090859413,0.7201822920469567,0.7201822920469567,1.0111576250055805,space,0.288583584013395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
30,0,right,0,0,0,right,1,1.4822245840914547,None,space,0.05625466594938189,None,,,,,0,0,0,0,,,,,1.0339437091024593,,,,,,,,,,,,,,,,1.019565417082049,1.0339437091024593,1.0339437091024593,1.5133571670157835,1.5133571670157835,1.523867000010796,2.5097845420241356,2.5097845420241356,2.5097845420241356,2.5236770840128884,right,1,1.4822245840914547,None,2.527375459088944,2.651664500008337,2.651664500008337,2.721724042086862,space,0.05625466594938189,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
-30,0,left,1,1,0,left,1,1.983644500025548,None,space,0.8318724998971447,None,,,,,0,1,1,1,,,,,2.7257656670408323,,,,,,,,,,,,,,,,2.721871874993667,2.7257656670408323,2.7257656670408323,3.2194405420450494,3.2194405420450494,3.2244647920597345,4.2071543340571225,4.2071543340571225,4.219599292031489,4.721956500085071,left,1,1.983644500025548,None,4.722013249993324,4.7244207500480115,4.7244207500480115,5.559688750072382,space,0.8318724998971447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
30,60,right,2,2,0,right,1,1.0043113749707118,None,space,0.2363576249917969,None,,,,,0,2,2,2,,,,,5.569483334082179,,,,,,,,,,,,,,,,5.559861792018637,5.569483334082179,5.569483334082179,6.057932167081162,6.057932167081162,6.057932167081162,,,,6.576407709042542,right,1,1.0043113749707118,None,6.576459000003524,6.586180959013291,6.586180959013291,6.826131917070597,space,0.2363576249917969,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
-30,-60,left,3,3,0,left,1,1.1400747500592843,None,space,1.057236332911998,None,,,,,0,3,3,3,,,,,6.836147834081203,,,,,,,,,,,,,,,,6.826294042053632,6.836147834081203,6.836147834081203,7.324478375026956,7.324478375026956,7.324478375026956,,,,7.978146000066772,left,1,1.1400747500592843,None,7.978219667100348,7.987001542001963,7.987001542001963,9.04555183404591,space,1.057236332911998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.045678917085752,9.052833750029095,9.052833750029095,10.871981000062078,space,1.8115308339474723,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
-30,-60,left,0,0,0,,,,,space,0.3056401249486953,None,left,1,1.0355583340860903,None,,,,,0,0,0,0,10.880368417012505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.92239916708786,11.926078917109407,11.926078917109407,12.238820167025551,,,,,,,,,,,10.875573042081669,10.880368417012505,10.880368417012505,11.369399334071204,11.369399334071204,11.373892292031087,11.44114237499889,11.44114237499889,11.44114237499889,11.922337959054857,left,1,1.0355583340860903,None,space,0.3056401249486953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
-30,0,left,1,1,0,,,,,space,0.1536485409596935,None,left,1,0.8808211659779772,None,,,,,0,1,1,1,12.243155667092651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.126407667063177,13.13612916704733,13.13612916704733,13.29303645901382,,,,,,,,,,,12.23902037506923,12.243155667092651,12.243155667092651,12.736182834021747,12.736182834021747,12.740863375016488,12.80747883406002,12.80747883406002,12.80747883406002,13.126353083993308,left,1,0.8808211659779772,None,space,0.1536485409596935,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
30,60,right,2,2,0,,,,,space,0.15465737495105714,None,right,1,0.9040050830226392,None,,,,,0,2,2,2,13.302760584047064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.210136709036306,14.219514917000197,14.219514917000197,14.376143834087998,,,,,,,,,,,13.293223375105299,13.302760584047064,13.302760584047064,13.79107658402063,13.79107658402063,13.79107658402063,13.869406000012532,13.869406000012532,13.869406000012532,14.21007675002329,right,1,0.9040050830226392,None,space,0.15465737495105714,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233325,001,2025-08-14_13h13.10.359,tilt_staircase,2024.2.4,None,2025-08-14 13h13.26.012099 -0700,
