center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015508625074289739,0.02458070800639689,0.02458070800639689,0.769001916050911,space,0.7151947499951348,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238300,001,2025-08-14_11h35.44.693,tilt_staircase,2024.2.4,None,2025-08-14 11h35.50.997226 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.769038875005208,0.7820411249995232,0.7820411249995232,1.1087027500616387,space,0.3241112499963492,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238300,001,2025-08-14_11h35.44.693,tilt_staircase,2024.2.4,None,2025-08-14 11h35.50.997226 -0700,
30,0,right,0,0,0,right,1,1.6352422499330714,None,space,1.009624500060454,None,,,,,0,0,0,0,,,,,1.1244175410829484,,,,,,,,,,,,,,,,1.1148157910211012,1.1244175410829484,1.1244175410829484,1.6103970831027254,1.6103970831027254,1.6177418750012293,2.6061146249994636,2.6061146249994636,2.6061146249994636,2.7706202500266954,right,1,1.6352422499330714,None,2.773716500028968,2.8243434160249308,2.8243434160249308,3.8372137910919264,space,1.009624500060454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238300,001,2025-08-14_11h35.44.693,tilt_staircase,2024.2.4,None,2025-08-14 11h35.50.997226 -0700,
-30,0,left,1,1,0,left,1,0.9310161249013618,None,space,0.40784558409359306,None,,,,,0,1,1,1,,,,,3.841757166082971,,,,,,,,,,,,,,,,3.837401583092287,3.841757166082971,3.841757166082971,4.334399166051298,4.334399166051298,4.339077916112728,,,,4.775893583078869,left,1,0.9310161249013618,None,4.775954791111872,4.784464583033696,4.784464583033696,5.20366866607219,space,0.40784558409359306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238300,001,2025-08-14_11h35.44.693,tilt_staircase,2024.2.4,None,2025-08-14 11h35.50.997226 -0700,
30,60,right,2,2,0,right,1,0.8915419590193778,None,space,0.2914551249705255,None,,,,,0,2,2,2,,,,,5.207894999999553,,,,,,,,,,,,,,,,5.203852916019969,5.207894999999553,5.207894999999553,5.701172000030056,5.701172000030056,5.7055765830446035,,,,6.1035789580782875,right,1,0.8915419590193778,None,6.103644540999085,6.107241208082996,6.107241208082996,6.4035076251020655,space,0.2914551249705255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238300,001,2025-08-14_11h35.44.693,tilt_staircase,2024.2.4,None,2025-08-14 11h35.50.997226 -0700,
-30,-60,left,3,3,0,left,1,0.8815881250193343,None,space,0.17044891591649503,None,,,,,0,3,3,3,,,,,6.407794583006762,,,,,,,,,,,,,,,,6.403698708047159,6.407794583006762,6.407794583006762,6.901252541108988,6.901252541108988,6.90598162508104,,,,7.2920846660854295,left,1,0.8815881250193343,None,7.292144250008278,7.301188875106163,7.301188875106163,7.474815708003007,space,0.17044891591649503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238300,001,2025-08-14_11h35.44.693,tilt_staircase,2024.2.4,None,2025-08-14 11h35.50.997226 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.474892375059426,7.484532541013323,7.484532541013323,8.125169666018337,space,0.6375638750614598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238300,001,2025-08-14_11h35.44.693,tilt_staircase,2024.2.4,None,2025-08-14 11h35.50.997226 -0700,
-30,-60,left,0,0,0,,,,,space,0.20629204204306006,None,left,1,0.9545002920785919,None,,,,,0,0,0,0,8.134339000098407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.091041750041768,9.10115704103373,9.10115704103373,9.31995708309114,,,,,,,,,,,8.129136666073464,8.134339000098407,8.134339000098407,8.624907833058387,8.624907833058387,8.624907833058387,8.701158500043675,8.701158500043675,8.701158500043675,9.090978625114076,left,1,0.9545002920785919,None,space,0.20629204204306006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238300,001,2025-08-14_11h35.44.693,tilt_staircase,2024.2.4,None,2025-08-14 11h35.50.997226 -0700,
-30,0,left,1,1,0,,,,,space,0.13260233297478408,None,left,1,0.8662007909733802,None,,,,,0,1,1,1,9.322503666044213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.191431208048016,10.201200875104405,10.201200875104405,10.337248625000939,,,,,,,,,,,9.3201437080279,9.322503666044213,9.322503666044213,9.817782333004288,9.817782333004288,9.817782333004288,9.888811375014484,9.888811375014484,9.888811375014484,10.19137416605372,left,1,0.8662007909733802,None,space,0.13260233297478408,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238300,001,2025-08-14_11h35.44.693,tilt_staircase,2024.2.4,None,2025-08-14 11h35.50.997226 -0700,
30,60,right,2,2,0,,,,,space,0.13984937500208616,None,right,1,0.9394134590402246,None,,,,,0,2,2,2,10.341699000098743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.287368333083577,11.29113904107362,11.29113904107362,11.436969458009116,,,,,,,,,,,10.337461875053123,10.341699000098743,10.341699000098743,10.834490583045408,10.834490583045408,10.83894250006415,10.90565116610378,10.90565116610378,10.90565116610378,11.287306916085072,right,1,0.9394134590402246,None,space,0.13984937500208616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238300,001,2025-08-14_11h35.44.693,tilt_staircase,2024.2.4,None,2025-08-14 11h35.50.997226 -0700,
