center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0144853750243783,0.018481625011190772,0.018481625011190772,10.411090791923925,space,10.359306041966192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280016,001,2025-08-14_12h02.54.035,tilt_staircase,2024.2.4,None,2025-08-14 12h03.09.218280 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.411138999974355,10.41945337492507,10.41945337492507,10.809955041971989,space,0.38754216697998345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280016,001,2025-08-14_12h02.54.035,tilt_staircase,2024.2.4,None,2025-08-14 12h03.09.218280 -0700,
30,0,right,0,0,0,right,1,2.421449249959551,None,space,0.7962186249205843,None,,,,,0,0,0,0,,,,,10.828446833998896,,,,,,,,,,,,,,,,10.818036041921005,10.828446833998896,10.828446833998896,11.312420249916613,11.312420249916613,11.319345999974757,12.307816708926111,12.307816708926111,12.307816708926111,13.2552554999711,right,1,2.421449249959551,None,13.258337499923073,13.330500792013481,13.330500792013481,14.128036541980691,space,0.7962186249205843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280016,001,2025-08-14_12h02.54.035,tilt_staircase,2024.2.4,None,2025-08-14 12h03.09.218280 -0700,
-30,0,left,1,1,0,left,1,1.6743973339907825,None,space,0.5267051249975339,None,,,,,0,1,1,1,,,,,14.13619720900897,,,,,,,,,,,,,,,,14.12826112494804,14.13619720900897,14.13619720900897,14.624060250003822,14.624060250003822,14.624060250003822,15.619480459019542,15.619480459019542,15.624255499918945,15.822094833943993,left,1,1.6743973339907825,None,15.822148458915763,15.825859166914597,15.825859166914597,16.35547058400698,space,0.5267051249975339,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280016,001,2025-08-14_12h02.54.035,tilt_staircase,2024.2.4,None,2025-08-14 12h03.09.218280 -0700,
30,60,right,2,2,0,right,1,1.4589424170553684,None,space,0.4336477080360055,None,,,,,0,2,2,2,,,,,16.36002291692421,,,,,,,,,,,,,,,,16.355666292016394,16.36002291692421,16.36002291692421,16.852840833947994,16.852840833947994,16.85755670897197,,,,17.82208112499211,right,1,1.4589424170553684,None,17.822144916979596,17.82592804194428,17.82592804194428,18.2721752920188,space,0.4336477080360055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280016,001,2025-08-14_12h02.54.035,tilt_staircase,2024.2.4,None,2025-08-14 12h03.09.218280 -0700,
-30,-60,left,3,3,0,left,1,1.6186253749765456,None,space,0.5820108329644427,None,,,,,0,3,3,3,,,,,18.276939541916363,,,,,,,,,,,,,,,,18.272368291975,18.276939541916363,18.276939541916363,18.76936091692187,18.76936091692187,18.77376720891334,19.757527709007263,19.757527709007263,19.769705583923496,19.90540108399,left,1,1.6186253749765456,None,19.905458624940366,19.909247541916557,19.909247541916557,20.49405991693493,space,0.5820108329644427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280016,001,2025-08-14_12h02.54.035,tilt_staircase,2024.2.4,None,2025-08-14 12h03.09.218280 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.49414720898494,20.502846834016964,20.502846834016964,21.743000374990515,space,1.2368089170195162,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280016,001,2025-08-14_12h02.54.035,tilt_staircase,2024.2.4,None,2025-08-14 12h03.09.218280 -0700,
-30,-60,left,0,0,0,,,,,space,0.5712690830696374,None,right,0,3.7458344580372795,None,,,,,0,0,0,0,21.760459334007464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.509858208941296,25.5193982089404,25.5193982089404,26.09353595902212,,,,,,,,,,,21.755512250005268,21.760459334007464,21.760459334007464,22.243903958937153,22.243903958937153,22.252765583922155,22.31948275002651,22.31948275002651,22.31948275002651,25.509797291946597,right,0,3.7458344580372795,None,space,0.5712690830696374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280016,001,2025-08-14_12h02.54.035,tilt_staircase,2024.2.4,None,2025-08-14 12h03.09.218280 -0700,
-30,0,left,1,1,0,,,,,space,1.0886447919765487,None,left,1,1.262745082960464,None,,,,,0,1,1,1,26.102751374943182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.372044750023633,27.375636291923,27.375636291923,28.472223624936305,,,,,,,,,,,26.09373104199767,26.102751374943182,26.102751374943182,26.590936416992918,26.590936416992918,26.590936416992918,26.669307166943327,26.669307166943327,26.669307166943327,27.371986959013157,left,1,1.262745082960464,None,space,1.0886447919765487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280016,001,2025-08-14_12h02.54.035,tilt_staircase,2024.2.4,None,2025-08-14 12h03.09.218280 -0700,
30,60,right,2,2,0,,,,,space,0.46426933305338025,None,right,1,1.250034958939068,None,,,,,0,2,2,2,28.47664366697427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.739029499934986,29.74308599997312,29.74308599997312,30.20913787500467,,,,,,,,,,,28.47242533392273,28.47664366697427,28.47664366697427,28.969389333971776,28.969389333971776,28.973795042023994,29.04083824995905,29.04083824995905,29.04083824995905,29.73895808402449,right,1,1.250034958939068,None,space,0.46426933305338025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280016,001,2025-08-14_12h02.54.035,tilt_staircase,2024.2.4,None,2025-08-14 12h03.09.218280 -0700,
