center,surround,corrAns,enzymes,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,text_14.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04264512495137751,0.048350124969147146,0.048350124969147146,0.6557771250372753,space,0.5776080839568749,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282187,001,2025-08-13_17h06.48.775,tilt_staircase,2024.2.4,None,2025-08-13 17h06.55.505033 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6558138750260696,0.6679241249803454,0.6679241249803454,0.9573555829701945,space,0.2796496660448611,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282187,001,2025-08-13_17h06.48.775,tilt_staircase,2024.2.4,None,2025-08-13 17h06.55.505033 -0700,
30,0,right,1,0,0,0,right,1,2.2921657919650897,None,space,1.3617212499957532,None,,,,,0,0,0,0,,,,,0.9846926250029355,,,,,,,,,,,,,,,,0.9711983329616487,0.9846926250029355,0.9846926250029355,1.4552139579318464,1.4552139579318464,1.4759179999819025,2.4432360830251127,2.4432360830251127,2.455597708001733,3.279713833006099,right,1,2.2921657919650897,None,3.2833422500407323,3.399190583033487,3.399190583033487,3.399190583033487,4.764047750039026,space,1.3617212499957532,None,,,,,,,,,,,,,,,,,,,,,,,,,282187,001,2025-08-13_17h06.48.775,tilt_staircase,2024.2.4,None,2025-08-13 17h06.55.505033 -0700,
-30,0,left,2,1,1,0,left,0,1.2174215420382097,None,space,3.629831333993934,None,,,,,0,1,1,1,,,,,4.773203041986562,,,,,,,,,,,,,,,,4.764241999946535,4.773203041986562,4.773203041986562,5.26144466700498,5.26144466700498,5.26144466700498,,,,5.993025874951854,left,0,1.2174215420382097,None,5.995210416964255,5.999227875028737,5.999227875028737,5.999227875028737,9.632139374967664,space,3.629831333993934,None,,,,,,,,,,,,,,,,,,,,,,,,,282187,001,2025-08-13_17h06.48.775,tilt_staircase,2024.2.4,None,2025-08-13 17h06.55.505033 -0700,
30,60,right,3,2,2,0,right,1,1.5802933749509975,None,space,2.3298853329615667,None,,,,,0,2,2,2,,,,,9.642122374963947,,,,,,,,,,,,,,,,9.632334333029576,9.642122374963947,9.642122374963947,10.130352125037462,10.130352125037462,10.130352125037462,11.126089166966267,11.126089166966267,11.130340666975826,11.229183166986331,right,1,1.5802933749509975,None,11.231471374980174,11.235465749981813,11.235465749981813,11.235465749981813,13.567799750017002,space,2.3298853329615667,None,,,,,,,,,,,,,,,,,,,,,,,,,282187,001,2025-08-13_17h06.48.775,tilt_staircase,2024.2.4,None,2025-08-13 17h06.55.505033 -0700,
-30,-60,left,4,3,3,0,left,0,3.1812322499463335,None,space,3.6554898329777643,None,,,,,0,3,3,3,,,,,13.577224457985722,,,,,,,,,,,,,,,,13.567982250009663,13.577224457985722,13.577224457985722,14.065500166965649,14.065500166965649,14.065500166965649,15.061391582945362,15.061391582945362,15.066154500003904,16.765971292043105,left,0,3.1812322499463335,None,16.76825874997303,16.772419624961913,16.772419624961913,16.772419624961913,20.433286166982725,space,3.6554898329777643,None,,,,,,,,,,,,,,,,,,,,,,,,,282187,001,2025-08-13_17h06.48.775,tilt_staircase,2024.2.4,None,2025-08-13 17h06.55.505033 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.433392541948706,20.438571957987733,20.438571957987733,21.39993658300955,space,0.9489455830771476,None,,,,,,,,,,,,,,,,,,282187,001,2025-08-13_17h06.48.775,tilt_staircase,2024.2.4,None,2025-08-13 17h06.55.505033 -0700,
-30,-60,"right",,0,0,0,,,,,space,8.135287584038451,None,right,1,2.1551536249462515,None,,,,,0,0,0,0,21.422040208010003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.584486291976646,23.588244499987923,23.588244499987923,23.588244499987923,31.726365542039275,,,,,,,,,,,21.418874667026103,21.422040208010003,21.422040208010003,21.897734832949936,21.897734832949936,21.919085833011195,21.96905420802068,21.96905420802068,21.96905420802068,23.584419541992247,right,1,2.1551536249462515,None,space,8.135287584038451,None,282187,001,2025-08-13_17h06.48.775,tilt_staircase,2024.2.4,None,2025-08-13 17h06.55.505033 -0700,
-30,0,"left",,1,1,0,,,,,space,3.6761105000041425,None,left,0,1.3482137080281973,None,,,,,0,1,1,1,31.735521291964687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.08934083301574,33.0937599579338,33.0937599579338,33.0937599579338,36.77380533295218,,,,,,,,,,,31.726579208043404,31.735521291964687,31.735521291964687,32.22361758293118,32.22361758293118,32.22361758293118,32.30231670802459,32.30231670802459,32.30231670802459,33.08926962502301,left,0,1.3482137080281973,None,space,3.6761105000041425,None,282187,001,2025-08-13_17h06.48.775,tilt_staircase,2024.2.4,None,2025-08-13 17h06.55.505033 -0700,
30,60,"left",,2,2,0,,,,,,,,,,,,,,,,0,2,2,2,36.77817275002599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.708000874961726,38.711758250021376,38.711758250021376,38.711758250021376,,,,,,,,,,,,36.77398666692898,36.77817275002599,36.77817275002599,37.2713399999775,37.2713399999775,37.27612904203124,37.34263504203409,37.34263504203409,37.34263504203409,38.70793995796703,right,1,1.9241392499534413,None,,,,,,,,,,,
