center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.046193166985176504,0.054066166980192065,0.054066166980192065,4.911568625015207,space,4.8486035000532866,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332744,001,2025-08-14_13h24.18.457,tilt_staircase,2024.2.4,None,2025-08-14 13h24.25.494191 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.911648000008427,4.917111042072065,4.917111042072065,5.393381584086455,space,0.47060283296741545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332744,001,2025-08-14_13h24.18.457,tilt_staircase,2024.2.4,None,2025-08-14 13h24.25.494191 -0700,
30,0,right,0,0,0,right,1,1.0694720420287922,None,space,0.2993686670670286,None,,,,,0,0,0,0,,,,,5.408762500039302,,,,,,,,,,,,,,,,5.399805000051856,5.408762500039302,5.408762500039302,5.890828249976039,5.890828249976039,5.907478666980751,6.481499750050716,right,1,1.0694720420287922,None,6.484416458988562,6.538219959009439,6.538219959009439,6.843213125015609,space,0.2993686670670286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332744,001,2025-08-14_13h24.18.457,tilt_staircase,2024.2.4,None,2025-08-14 13h24.25.494191 -0700,
-30,0,left,1,1,0,left,1,0.8703100410057232,None,space,0.11483383306767792,None,,,,,0,1,1,1,,,,,6.847352334065363,,,,,,,,,,,,,,,,6.843378041987307,6.847352334065363,6.847352334065363,7.3408582920674235,7.3408582920674235,7.345600000000559,7.727093624998815,left,1,0.8703100410057232,None,7.72717716707848,7.73099179205019,7.73099179205019,7.848013833980076,space,0.11483383306767792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332744,001,2025-08-14_13h24.18.457,tilt_staircase,2024.2.4,None,2025-08-14 13h24.25.494191 -0700,
30,60,right,2,2,0,right,1,0.8265858329832554,None,space,0.1214600830571726,None,,,,,0,2,2,2,,,,,7.85753354197368,,,,,,,,,,,,,,,,7.848187749972567,7.85753354197368,7.85753354197368,8.345813042018563,8.345813042018563,8.345813042018563,8.69421687501017,right,1,0.8265858329832554,None,8.69427491701208,8.698300583986565,8.698300583986565,8.826748709077947,space,0.1214600830571726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332744,001,2025-08-14_13h24.18.457,tilt_staircase,2024.2.4,None,2025-08-14 13h24.25.494191 -0700,
-30,-60,left,3,3,0,left,1,0.7998660420998931,None,space,0.12103408295661211,None,,,,,0,3,3,3,,,,,8.8309934589779,,,,,,,,,,,,,,,,8.826929292059503,8.8309934589779,8.8309934589779,9.324081834056415,9.324081834056415,9.328813584055752,9.632109584053978,left,1,0.7998660420998931,None,9.632168292067945,9.640739209018648,9.640739209018648,9.764379459084012,space,0.12103408295661211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332744,001,2025-08-14_13h24.18.457,tilt_staircase,2024.2.4,None,2025-08-14 13h24.25.494191 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.764450667076744,9.77402858401183,9.77402858401183,10.39812762499787,space,0.621207500109449,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332744,001,2025-08-14_13h24.18.457,tilt_staircase,2024.2.4,None,2025-08-14 13h24.25.494191 -0700,
-30,-60,left,0,0,0,,,,,space,0.12518154201097786,None,left,1,0.932979500037618,None,,,,,0,0,0,0,10.407368750078604,,,,,,,,,,,,,,,,,,,,,,,,,,,11.343773124972358,11.346234375028871,11.346234375028871,11.476775084040128,,,,,,,,,,,10.401586250052787,10.407368750078604,10.407368750078604,10.897463792003691,10.897463792003691,10.897463792003691,10.974158167024143,10.974158167024143,10.974158167024143,11.343709959066473,left,1,0.932979500037618,None,space,0.12518154201097786,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332744,001,2025-08-14_13h24.18.457,tilt_staircase,2024.2.4,None,2025-08-14 13h24.25.494191 -0700,
-30,0,left,1,1,0,,,,,space,0.10002454195637256,None,left,1,0.9259348750347272,None,,,,,0,1,1,1,11.48123575001955,,,,,,,,,,,,,,,,,,,,,,,,,,,12.410736875026487,12.413426749990322,12.413426749990322,12.514512791996822,,,,,,,,,,,11.476968209026381,11.48123575001955,11.48123575001955,11.974168249987997,11.974168249987997,11.978645000024699,12.045004834071733,12.045004834071733,12.045004834071733,12.410675249993801,left,1,0.9259348750347272,None,space,0.10002454195637256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332744,001,2025-08-14_13h24.18.457,tilt_staircase,2024.2.4,None,2025-08-14 13h24.25.494191 -0700,
30,60,right,2,2,0,,,,,space,0.1034490839811042,None,right,1,0.872126332949847,None,,,,,0,2,2,2,12.524115209002048,,,,,,,,,,,,,,,,,,,,,,,,,,,13.398155917064287,13.407432749983855,13.407432749983855,13.514269459061325,,,,,,,,,,,12.51468891708646,12.524115209002048,12.524115209002048,13.012098583974876,13.012098583974876,13.012098583974876,13.090869750012644,13.090869750012644,13.090869750012644,13.39809833408799,right,1,0.872126332949847,None,space,0.1034490839811042,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332744,001,2025-08-14_13h24.18.457,tilt_staircase,2024.2.4,None,2025-08-14 13h24.25.494191 -0700,
