center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,test.started,surround_practice_3.started,center_practice_3.started,key_resp_7.started,test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,text_11.started,surround_practice.stopped,center_practice.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,trial.stopped,trials.response,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,0.010983500047586858,0.027011583,0.027011583,21.821768458001316,space,21.783604917000048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343263,001,2025-08-14_20h51.56.267,tilt_staircase,2024.2.4,None,2025-08-14 20h52.14.723332 -0700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.821883416036144,21.838316833018325,21.838316833018325,25.503909083083272,space,3.6600523749366403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343263,001,2025-08-14_20h51.56.267,tilt_staircase,2024.2.4,None,2025-08-14 20h52.14.723332 -0700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.504782999982126,25.523780875024386,25.523780875024386,25.523780875024386,29.748310416005552,space,4.2132160409819335,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343263,001,2025-08-14_20h51.56.267,tilt_staircase,2024.2.4,None,2025-08-14 20h52.14.723332 -0700
30,0,right,0,0,0,right,1,1.2917531669372693,None,,,,,,0,0,0,0,,,,,29.767304750042967,,,,,,,,,,,,,,,,,,,,,,,,29.762975958059542,29.767304750042967,30.24751620797906,30.24751620797906,31.061088583082892,right,1,1.2917531669372693,None,31.066775375045836,31.120634208084084,32.569499999983236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343263,001,2025-08-14_20h51.56.267,tilt_staircase,2024.2.4,None,2025-08-14 20h52.14.723332 -0700
-30,0,left,1,1,0,left,1,1.1972952079959214,None,,,,,,0,1,1,1,,,,,32.57584058307111,,,,,,,,,,,,,,,,,,,,,,,,32.57063879107591,32.57584058307111,33.06006704107858,33.06006704107858,33.77605862508062,left,1,1.1972952079959214,None,33.776152416015975,33.784605790977366,35.26940458302852,35.27401838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343263,001,2025-08-14_20h51.56.267,tilt_staircase,2024.2.4,None,2025-08-14 20h52.14.723332 -0700
30,60,right,2,2,0,right,1,2.3466113329632208,None,,,,,,0,2,2,2,,,,,35.27401838,,,,,,,,,,,,,,,,,,,,,,,,35.27046024997253,35.27401838,35.77707441605162,35.77707441605162,37.62804729107302,right,1,2.3466113329632208,None,37.62818104098551,37.652378499973565,39.13546191598289,,36.768392083002254,36.77250870806165,36.77250870806165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343263,001,2025-08-14_20h51.56.267,tilt_staircase,2024.2.4,None,2025-08-14 20h52.14.723332 -0700
-30,-60,left,3,3,0,left,1,1.2260207920335233,None,,,,,,0,3,3,3,,,,,39.139705208013766,,,,,,,,,,,,,,,,,,,,,,,,39.136306458036415,39.139705208013766,39.63527516601607,39.63527516601607,40.369151166058145,left,1,1.2260207920335233,None,40.36919958307408,40.3736065,41.85875804105308,41.86836449999828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343263,001,2025-08-14_20h51.56.267,tilt_staircase,2024.2.4,None,2025-08-14 20h52.14.723332 -0700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.85893466603011,41.86836449999828,41.86836449999828,43.00365533307195,space,1.125275959027931,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343263,001,2025-08-14_20h51.56.267,tilt_staircase,2024.2.4,None,2025-08-14 20h52.14.723332 -0700
-30,-60,left,0,0,0,,,,,100,left,1,1.4605994999874383,None,,,,,0,0,0,0,43.020441208034754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.48845545807853,44.49514745804481,45.98624638,45.99155662499834,,,,,,,,,,,43.012977458070964,43.020441208034754,43.49754374998156,43.49754374998156,43.575767582980916,43.575767582980916,43.575767582980916,44.48833762505092,left,1,1.4605994999874383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343263,001,2025-08-14_20h51.56.267,tilt_staircase,2024.2.4,None,2025-08-14 20h52.14.723332 -0700
-30,0,left,1,1,0,,,,,100,left,1,1.1915656669298187,None,,,,,0,1,1,1,45.99155662499834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.18833908298984,47.19527145801112,48.68592191603966,48.690867125056684,,,,,,,,,,,45.986794125055894,45.99155662499834,46.48482737503946,46.48482737503946,46.55652933300007,46.55652933300007,46.55652933300007,47.188215791014954,left,1,1.1915656669298187,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343263,001,2025-08-14_20h51.56.267,tilt_staircase,2024.2.4,None,2025-08-14 20h52.14.723332 -0700
