trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,corrAns,trial.started,surround.started,center.started,key_resp.started,text.started,text_2.started,trial.stopped,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,5,20.0,0.12539237504824996,,right,0.11550516705028713,0.12539237504824996,0.12539237504824996,0.12539237504824996,0.12539237504824996,0.12539237504824996,4.013366875005886,1,3.85486724996008,343661,001,2025-08-11_12h43.26.707,tilt_staircase,2024.2.4,None,2025-08-11 12h43.37.735498 -0700,
1,5,15.0,4.065279000089504,,right,4.016055042040534,4.065279000089504,4.065279000089504,4.065279000089504,4.065279000089504,4.065279000089504,5.8009439170127735,1,1.7272519170073792,343661,001,2025-08-11_12h43.26.707,tilt_staircase,2024.2.4,None,2025-08-11 12h43.37.735498 -0700,
2,5,10.0,5.810847167042084,,right,5.802139917039312,5.810847167042084,5.810847167042084,5.810847167042084,5.810847167042084,5.810847167042084,6.554775083088316,1,0.7406965830596164,343661,001,2025-08-11_12h43.26.707,tilt_staircase,2024.2.4,None,2025-08-11 12h43.37.735498 -0700,
3,5,5.0,6.565328125027008,,right,6.55610849999357,6.565328125027008,6.565328125027008,6.565328125027008,6.565328125027008,6.565328125027008,7.868631542078219,1,1.2921930419979617,343661,001,2025-08-11_12h43.26.707,tilt_staircase,2024.2.4,None,2025-08-11 12h43.37.735498 -0700,
4,5,0.0,7.875573208089918,,left,7.872362458030693,7.875573208089918,7.875573208089918,7.875573208089918,7.875573208089918,7.875573208089918,10.269583125016652,1,2.3889912500744686,343661,001,2025-08-11_12h43.26.707,tilt_staircase,2024.2.4,None,2025-08-11 12h43.37.735498 -0700,
5,5,-5.0,10.27465704199858,,left,10.271499583031982,10.27465704199858,10.27465704199858,10.27465704199858,10.27465704199858,10.27465704199858,13.43765220802743,1,3.153504916932434,343661,001,2025-08-11_12h43.26.707,tilt_staircase,2024.2.4,None,2025-08-11 12h43.37.735498 -0700,
6,5,-10.0,13.442121125059202,,left,13.4389612080995,13.442121125059202,13.442121125059202,13.442121125059202,13.442121125059202,13.442121125059202,14.921757042058744,1,1.467285459046252,343661,001,2025-08-11_12h43.26.707,tilt_staircase,2024.2.4,None,2025-08-11 12h43.37.735498 -0700,
7,5,-15.0,14.92623950005509,,left,14.92315170809161,14.92623950005509,14.92623950005509,14.92623950005509,14.92623950005509,14.92623950005509,15.588795416988432,1,0.6523615419864655,343661,001,2025-08-11_12h43.26.707,tilt_staircase,2024.2.4,None,2025-08-11 12h43.37.735498 -0700,
8,5,-20.0,15.593323125038296,,left,15.590145042049699,15.593323125038296,15.593323125038296,15.593323125038296,15.593323125038296,15.593323125038296,15.772243625018746,1,0.17477966705337167,343661,001,2025-08-11_12h43.26.707,tilt_staircase,2024.2.4,None,2025-08-11 12h43.37.735498 -0700,
9,5,-25.0,15.77691754209809,,left,15.77379062504042,15.77691754209809,15.77691754209809,15.77691754209809,15.77691754209809,15.77691754209809,15.97234966699034,1,0.187376374960877,343661,001,2025-08-11_12h43.26.707,tilt_staircase,2024.2.4,None,2025-08-11 12h43.37.735498 -0700,
10,5,-30.0,15.9776534170378,,left,15.974572292063385,15.9776534170378,15.9776534170378,15.9776534170378,15.9776534170378,15.9776534170378,16.14184145804029,1,0.16322175005916506,343661,001,2025-08-11_12h43.26.707,tilt_staircase,2024.2.4,None,2025-08-11 12h43.37.735498 -0700,
11,5,-30.0,16.15307533298619,,left,16.14309700008016,16.15307533298619,16.15307533298619,16.15307533298619,16.15307533298619,16.15307533298619,16.322335958015174,1,0.16603175003547221,343661,001,2025-08-11_12h43.26.707,tilt_staircase,2024.2.4,None,2025-08-11 12h43.37.735498 -0700,
12,5,-30.0,16.32670745800715,,left,16.323666708078235,16.32670745800715,16.32670745800715,16.32670745800715,16.32670745800715,16.32670745800715,16.63915691699367,1,0.307153792004101,343661,001,2025-08-11_12h43.26.707,tilt_staircase,2024.2.4,None,2025-08-11 12h43.37.735498 -0700,
,,,16.643586833029985,,left,16.64050333306659,16.643586833029985,16.643586833029985,16.643586833029985,16.643586833029985,16.643586833029985,,,,,,,,,,,
