center,surround,corrAns,enzymes,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045461707981303334,0.05404591606929898,0.05404591606929898,1.5926772080129012,space,1.5101200409699231,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346777,001,2025-08-13_17h00.43.556,tilt_staircase,2024.2.4,None,2025-08-13 17h00.56.510213 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5927140000276268,1.6088655410567299,1.6088655410567299,2.0577461250359192,space,0.4463671250268817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346777,001,2025-08-13_17h00.43.556,tilt_staircase,2024.2.4,None,2025-08-13 17h00.56.510213 -0700,
30,0,right,1,0,0,0,right,1,2.962845000089146,None,space,2.1001150000374764,None,,,,,0,0,0,0,,,,,2.0780575830722228,,,,,,,,,,,,,,,,2.0642303749918938,2.0780575830722228,2.0780575830722228,2.5609548749634996,2.5609548749634996,2.567352041020058,3.5567688749870285,3.5567688749870285,3.5567688749870285,5.042144583072513,right,1,2.962845000089146,None,5.04508554097265,5.240697166067548,5.240697166067548,7.342842207988724,space,2.1001150000374764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,346777,001,2025-08-13_17h00.43.556,tilt_staircase,2024.2.4,None,2025-08-13 17h00.56.510213 -0700,
-30,0,left,2,1,1,0,right,1,1.1897172090830281,None,space,1.0398792499909177,None,,,,,0,1,1,1,,,,,7.352815791033208,,,,,,,,,,,,,,,,7.34307608299423,7.352815791033208,7.352815791033208,7.841327290982008,7.841327290982008,7.841327290982008,,,,8.543739457963966,right,1,1.1897172090830281,None,8.543799625011161,8.55334025004413,8.55334025004413,9.594190582982264,space,1.0398792499909177,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,346777,001,2025-08-13_17h00.43.556,tilt_staircase,2024.2.4,None,2025-08-13 17h00.56.510213 -0700,
30,60,right,3,2,2,0,right,1,1.1114108340116218,None,space,0.8029061669949442,None,,,,,0,2,2,2,,,,,9.603988416027278,,,,,,,,,,,,,,,,9.594380625057966,9.603988416027278,9.603988416027278,10.09207537502516,10.09207537502516,10.09207537502516,,,,10.724466916057281,right,1,1.1114108340116218,None,10.724534458015114,10.728487999993376,10.728487999993376,11.540854040998966,space,0.8029061669949442,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,346777,001,2025-08-13_17h00.43.556,tilt_staircase,2024.2.4,None,2025-08-13 17h00.56.510213 -0700,
-30,-60,left,4,3,3,0,right,1,0.9149360000155866,None,space,0.7491383750457317,None,,,,,0,3,3,3,,,,,11.545235375058837,,,,,,,,,,,,,,,,11.541038708062842,11.545235375058837,11.545235375058837,12.038390457979403,12.038390457979403,12.04281929100398,,,,12.462088208063506,right,1,0.9149360000155866,None,12.462142041069455,12.471959291025996,12.471959291025996,13.225506791030057,space,0.7491383750457317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,346777,001,2025-08-13_17h00.43.556,tilt_staircase,2024.2.4,None,2025-08-13 17h00.56.510213 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.225602958002128,13.230459708021954,13.230459708021954,16.50943166599609,space,3.266341874958016,None,,,,,,,,,,,,,,,,,,,,,346777,001,2025-08-13_17h00.43.556,tilt_staircase,2024.2.4,None,2025-08-13 17h00.56.510213 -0700,
-30,-60,"right",,0,0,0,,,,,space,1.7082294159336016,None,left,0,1.5571589999599382,None,,,,,0,0,0,0,16.526180541026406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.09394087502733,18.097673541051336,18.097673541051336,19.811388458008878,,,,,,,,,,,16.52285629103426,16.526180541026406,16.526180541026406,17.00731129106134,17.00731129106134,17.02397654100787,17.078591833007522,17.078591833007522,17.078591833007522,18.093875457998365,left,0,1.5571589999599382,None,space,1.7082294159336016,None,,,,346777,001,2025-08-13_17h00.43.556,tilt_staircase,2024.2.4,None,2025-08-13 17h00.56.510213 -0700,
-30,0,"left",,1,1,0,,,,,space,0.6356354579329491,None,left,0,1.5201663749758154,None,,,,,0,1,1,1,19.815974125056528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.345329790958203,21.349004916031845,21.349004916031845,21.995510625070892,,,,,,,,,,,19.811611165991053,19.815974125056528,19.815974125056528,20.308824375038967,20.308824375038967,20.313507625018246,20.380080708069727,20.380080708069727,20.380080708069727,21.34526495798491,left,0,1.5201663749758154,None,space,0.6356354579329491,None,,,,346777,001,2025-08-13_17h00.43.556,tilt_staircase,2024.2.4,None,2025-08-13 17h00.56.510213 -0700,
30,60,"left",,2,2,0,,,,,space,0.7815260000061244,None,left,0,0.9381689999718219,None,,,,,0,2,2,2,21.9998312080279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.946344124968164,22.950006666011177,22.950006666011177,23.733914082986303,,,,,,,,,,,21.995708708069287,21.9998312080279,21.9998312080279,22.49296687496826,22.49296687496826,22.49763066601008,22.564073040965013,22.564073040965013,22.564073040965013,22.946285416022874,left,0,0.9381689999718219,None,space,0.7815260000061244,None,,,,346777,001,2025-08-13_17h00.43.556,tilt_staircase,2024.2.4,None,2025-08-13 17h00.56.510213 -0700,
