trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,surround.started,center.started,resp.started,text.started,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,5,20.0,0.04531529196538031,,0.037872917018830776,0.04531529196538031,0.04531529196538031,0.04531529196538031,0.04531529196538031,2.1733727080281824,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
1,5,20.0,2.276977082947269,,2.1746109999949113,2.276977082947269,2.276977082947269,2.276977082947269,2.276977082947269,4.487288875039667,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
2,5,20.0,4.501400167006068,,4.489273458020762,4.501400167006068,4.501400167006068,4.501400167006068,4.501400167006068,4.987432666937821,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
3,5,20.0,4.991643792018294,,4.988634875044227,4.991643792018294,4.991643792018294,4.991643792018294,4.991643792018294,5.270712708006613,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
4,5,20.0,5.274807082954794,,5.2718531669816,5.274807082954794,5.274807082954794,5.274807082954794,5.274807082954794,5.604193500010297,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
5,5,20.0,5.60829379200004,,5.605390958022326,5.60829379200004,5.60829379200004,5.60829379200004,5.60829379200004,5.807420541997999,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
6,5,20.0,5.8184560829540715,,5.808541083009914,5.8184560829540715,5.8184560829540715,5.8184560829540715,5.8184560829540715,5.954447707976215,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
7,5,20.0,5.958477749954909,,5.955618957988918,5.958477749954909,5.958477749954909,5.958477749954909,5.958477749954909,6.0876846249448135,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
8,5,20.0,6.091573207988404,,6.088821624987759,6.091573207988404,6.091573207988404,6.091573207988404,6.091573207988404,6.187886500032619,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
9,5,20.0,6.191922624944709,,6.189072374952957,6.191922624944709,6.191922624944709,6.191922624944709,6.191922624944709,6.307660499936901,537199,001,2025-08-11_13h02.59.617,tilt_staircase,2024.2.4,None,2025-08-11 13h03.06.483670 -0700,
