center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012873500003479421,0.017142708064056933,0.017142708064056933,0.5558282500132918,space,0.5038524999981746,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574995,001,2025-08-14_11h35.14.183,tilt_staircase,2024.2.4,None,2025-08-14 11h35.20.568788 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5558692910708487,0.5639482080005109,0.5639482080005109,1.5626067910343409,space,0.99469758302439,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574995,001,2025-08-14_11h35.14.183,tilt_staircase,2024.2.4,None,2025-08-14 11h35.20.568788 -0700,
30,0,right,0,0,0,left,0,1.3199476669542491,None,space,0.8242972500156611,None,,,,,0,0,0,0,,,,,1.5778940410818905,,,,,,,,,,,,,,,,1.5685074160574004,1.5778940410818905,1.5778940410818905,2.0602050410816446,2.0602050410816446,2.0768185830675066,2.900473333080299,left,0,1.3199476669542491,None,2.902431541006081,2.9591754160355777,2.9591754160355777,3.7958332910202444,space,0.8242972500156611,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,574995,001,2025-08-14_11h35.14.183,tilt_staircase,2024.2.4,None,2025-08-14 11h35.20.568788 -0700,
-30,0,left,1,1,0,right,0,0.9147546249441803,None,space,0.5073997500585392,None,,,,,0,1,1,1,,,,,3.8001152080250904,,,,,,,,,,,,,,,,3.7960010000970215,3.8001152080250904,3.8001152080250904,4.293539333040826,4.293539333040826,4.298497374984436,4.717124458053149,right,0,0.9147546249441803,None,4.717173208016902,4.726667165989056,4.726667165989056,5.246250666095875,space,0.5073997500585392,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,574995,001,2025-08-14_11h35.14.183,tilt_staircase,2024.2.4,None,2025-08-14 11h35.20.568788 -0700,
30,60,right,2,2,0,left,0,1.0408534579910338,None,space,0.4730276670306921,None,,,,,0,2,2,2,,,,,5.2489827499957755,,,,,,,,,,,,,,,,5.246434708009474,5.2489827499957755,5.2489827499957755,5.743624791037291,5.743624791037291,5.743624791037291,6.297121333074756,left,0,1.0408534579910338,None,6.297184458002448,6.301504250033759,6.301504250033759,6.779916916042566,space,0.4730276670306921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,574995,001,2025-08-14_11h35.14.183,tilt_staircase,2024.2.4,None,2025-08-14 11h35.20.568788 -0700,
-30,-60,left,3,3,0,right,0,0.962455959059298,None,space,0.42971099994610995,None,,,,,0,3,3,3,,,,,6.784429875086062,,,,,,,,,,,,,,,,6.780106958001852,6.784429875086062,6.784429875086062,7.27682949998416,7.27682949998416,7.281500500044785,7.750722000026144,right,0,0.962455959059298,None,7.75077595806215,7.760049750097096,7.760049750097096,8.195915875025094,space,0.42971099994610995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,574995,001,2025-08-14_11h35.14.183,tilt_staircase,2024.2.4,None,2025-08-14 11h35.20.568788 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19599650008604,8.200402833055705,8.200402833055705,9.133785458048806,space,0.9311731250490993,None,,,,,,,,,,,,,,,,,,,,,574995,001,2025-08-14_11h35.14.183,tilt_staircase,2024.2.4,None,2025-08-14 11h35.20.568788 -0700,
-30,-60,left,0,0,0,,,,,space,0.7597464999416843,None,right,0,1.3731040420243517,None,,,,,0,0,0,0,9.14332429098431,,,,,,,,,,,,,,,,,,,,,,,,,,,10.517663832986727,10.526834040996619,10.526834040996619,11.296543458011001,,,,,,,,,,,9.136967791011557,9.14332429098431,9.14332429098431,9.633592541096732,9.633592541096732,9.633592541096732,9.710177375003695,9.710177375003695,9.710177375003695,10.517601000028662,right,0,1.3731040420243517,None,space,0.7597464999416843,None,,,,574995,001,2025-08-14_11h35.14.183,tilt_staircase,2024.2.4,None,2025-08-14 11h35.20.568788 -0700,
-30,0,left,1,1,0,,,,,space,0.5705568329431117,None,right,0,1.247186291962862,None,,,,,0,1,1,1,11.301022666040808,,,,,,,,,,,,,,,,,,,,,,,,,,,12.55131141608581,12.560121249989606,12.560121249989606,13.134310458088294,,,,,,,,,,,11.29674254101701,11.301022666040808,11.301022666040808,11.793476291000843,11.793476291000843,11.798203250044025,11.86454495799262,11.86454495799262,11.86454495799262,12.551252458011732,right,0,1.247186291962862,None,space,0.5705568329431117,None,,,,574995,001,2025-08-14_11h35.14.183,tilt_staircase,2024.2.4,None,2025-08-14 11h35.20.568788 -0700,
30,60,right,2,2,0,,,,,space,0.5691250419477001,None,left,0,1.098209667019546,None,,,,,0,2,2,2,13.143525916035287,,,,,,,,,,,,,,,,,,,,,,,,,,,14.246204791008495,14.249868708080612,14.249868708080612,14.82980883307755,,,,,,,,,,,13.134514083038084,13.143525916035287,13.143525916035287,13.631645958055742,13.631645958055742,13.631645958055742,13.710051583009772,13.710051583009772,13.710051583009772,14.24614341603592,left,0,1.098209667019546,None,space,0.5691250419477001,None,,,,574995,001,2025-08-14_11h35.14.183,tilt_staircase,2024.2.4,None,2025-08-14 11h35.20.568788 -0700,
30,0,right,3,3,0,,,,,space,0.48194450000301003,None,left,0,1.1294568750308827,None,,,,,0,3,3,3,14.834220875054598,,,,,,,,,,,,,,,,,,,,,,,,,,,15.967026500031352,15.976825916091911,15.976825916091911,16.462952750036493,,,,,,,,,,,14.830023000016809,14.834220875054598,14.834220875054598,15.326716958079487,15.326716958079487,15.331841500010341,15.397969166049734,15.397969166049734,15.397969166049734,15.966969458037056,left,0,1.1294568750308827,None,space,0.48194450000301003,None,,,,574995,001,2025-08-14_11h35.14.183,tilt_staircase,2024.2.4,None,2025-08-14 11h35.20.568788 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.463045582990162,16.467686249990948,16.467686249990948,,,,,,,,
