center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049992166,0.060441583,0.060441583,2.1145623329794034,space,2.023339874926023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701215,001,2025-08-14_13h31.56.552,tilt_staircase,2024.2.4,None,2025-08-14 13h33.50.153449 -0700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1146054579876363,2.121015249984339,2.121015249984339,2.4601107080234215,space,0.33647845906671137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701215,001,2025-08-14_13h31.56.552,tilt_staircase,2024.2.4,None,2025-08-14 13h33.50.153449 -0700
30,0,right,0,0,0,right,1,1.2672147919656709,None,space,0.3037179579259828,None,,,,,,0,0,0,0,,,,,2.4840988750802353,,,,,,,,,,,,,,,,2.4752066250657663,2.4840988750802353,2.4840988750802353,2.9529582080431283,2.9529582080431283,2.9765478330664337,3.7551470000762492,right,1,1.2672147919656709,None,3.7578916660277173,3.855274499976076,3.855274499976076,4.159899083082564,space,0.3037179579259828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701215,001,2025-08-14_13h31.56.552,tilt_staircase,2024.2.4,None,2025-08-14 13h33.50.153449 -0700
-30,0,left,1,1,0,left,1,0.8951707500964403,None,space,0.12075783289037645,None,,,,,,0,1,1,1,,,,,4.169743375037797,,,,,,,,,,,,,,,,4.160113875055686,4.169743375037797,4.169743375037797,4.653066250029951,4.653066250029951,4.657691666041501,5.071803666069172,left,1,0.8951707500964403,None,5.071853125002235,5.075633500004187,5.075633500004187,5.205152666079812,space,0.12075783289037645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701215,001,2025-08-14_13h31.56.552,tilt_staircase,2024.2.4,None,2025-08-14 13h33.50.153449 -0700
30,60,right,2,2,0,right,1,1.1873027919791639,None,space,0.15805500000715256,None,,,,,,0,2,2,2,,,,,5.209683291031979,,,,,,,,,,,,,,,,5.205309250042774,5.209683291031979,5.209683291031979,5.703072290983982,5.703072290983982,5.709849041,6.4051881660707295,right,1,1.1873027919791639,None,6.405252499971539,6.409370250068605,6.409370250068605,6.571792375063524,space,0.15805500000715256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701215,001,2025-08-14_13h31.56.552,tilt_staircase,2024.2.4,None,2025-08-14 13h33.50.153449 -0700
-30,-60,left,3,3,0,left,1,0.9868528329534456,None,space,0.13636045902967453,None,,,,,,0,3,3,3,,,,,6.576344750006683,,,,,,,,,,,,,,,,6.571951040998101,6.576344750006683,6.576344750006683,7.069675708073191,7.069675708073191,7.076466833008453,7.572010040981695,left,1,0.9868528329534456,None,7.572058415971696,7.576831791,7.576831791,7.721671083010733,space,0.13636045902967453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701215,001,2025-08-14_13h31.56.552,tilt_staircase,2024.2.4,None,2025-08-14 13h33.50.153449 -0700
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.721749333082698,7.725987708079629,7.725987708079629,8.512264541,space,0.7846705409465358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701215,001,2025-08-14_13h31.56.552,tilt_staircase,2024.2.4,None,2025-08-14 13h33.50.153449 -0700
-30,-60,left,0,0,0,,,,,space,0.1214078749762848,None,100,left,1,1.0289249169873074,None,,,,,0,0,0,0,8.528398958034813,,,,,,,,,,,,,,,,,,,,,,,,,,,9.559694,9.569810915971175,9.569810915971175,9.693165333010256,,,,,,,,,,,8.523800625000149,8.528398958034813,8.528398958034813,9.009707041084766,9.009707041084766,9.024382208,9.086296749999747,9.086296749999747,9.086296749999747,9.559631958021782,left,1,1.0289249169873074,None,space,0.1214078749762848,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701215,001,2025-08-14_13h31.56.552,tilt_staircase,2024.2.4,None,2025-08-14 13h33.50.153449 -0700
-30,0,left,1,1,0,,,,,space,0.099701333,None,100,left,1,0.860365292,None,,,,,0,1,1,1,9.703048250055872,,,,,,,,,,,,,,,,,,,,,,,,,,,10.572039625025354,10.57692591601517,10.57692591601517,10.678913375013508,,,,,,,,,,,9.693350750021636,9.703048250055872,9.703048250055872,10.18635329103563,10.18635329103563,10.190943791065365,10.258118583005853,10.258118583005853,10.269620125065558,10.571985583053902,left,1,0.860365292,None,space,0.099701333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701215,001,2025-08-14_13h31.56.552,tilt_staircase,2024.2.4,None,2025-08-14 13h33.50.153449 -0700
30,60,right,2,2,0,,,,,space,0.11221375002060086,None,100,right,1,0.8243705410277471,None,,,,,0,2,2,2,10.686269249999896,,,,,,,,,,,,,,,,,,,,,,,,,,,11.512574707972817,11.519745707977563,11.519745707977563,11.63840033300221,,,,,,,,,,,10.679107208037749,10.686269249999896,10.686269249999896,11.175881000002846,11.175881000002846,11.175881000002846,11.253070458071306,11.253070458071306,11.253070458071306,11.512517208000645,right,1,0.8243705410277471,None,space,0.11221375002060086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701215,001,2025-08-14_13h31.56.552,tilt_staircase,2024.2.4,None,2025-08-14 13h33.50.153449 -0700
30,0,right,3,3,0,,,,,space,0.11743270792067051,None,100,right,1,0.8413761249976233,None,,,,,0,3,3,3,11.643501000013202,,,,,,,,,,,,,,,,,,,,,,,,,,,12.48865045804996,12.491968750022352,12.491968750022352,12.612284166039899,,,,,,,,,,,11.638580375001766,11.643501000013202,11.643501000013202,12.136296875076368,12.136296875076368,12.143292458029464,12.209973582997918,12.209973582997918,12.209973582997918,12.488598083029501,right,1,0.8413761249976233,None,space,0.11743270792067051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701215,001,2025-08-14_13h31.56.552,tilt_staircase,2024.2.4,None,2025-08-14 13h33.50.153449 -0700
-30,69,left,4,4,0,,,,,space,0.2590853329747915,None,0,left,1,1.2116767499828711,None,,,,,0,4,4,4,12.619738708017394,,,,,,,,,,,,,,,,,,,,,,,,,,,13.838875291054137,13.84323233307805,13.84323233307805,14.105197791010141,,,,,,,,,,,12.612469415995292,12.619738708017394,12.619738708017394,13.109934790991247,13.109934790991247,13.109934790991247,13.186409833026119,13.186409833026119,13.186409833026119,13.83881862508133,left,1,1.2116767499828711,None,space,0.2590853329747915,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701215,001,2025-08-14_13h31.56.552,tilt_staircase,2024.2.4,None,2025-08-14 13h33.50.153449 -0700
