center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.013539292034693062,0.023937584017403424,0.023937584017403424,0.5207898749504238,space,0.46287679206579924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5208320419769734,0.5295355420093983,0.5295355420093983,0.7176147090503946,space,0.17787091701757163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
30,0,right,0,0,0,right,1,2.006776791997254,None,,,,,,0,0,0,0,,,,,0.7341964170336723,,,,,,,,,,,,,,,,0.724016624968499,0.7341964170336723,0.7341964170336723,1.2182401249883696,1.2182401249883696,1.2313737090444192,2.215117375017144,2.215117375017144,2.215117375017144,2.751926749944687,right,1,2.006776791997254,None,2.755055750021711,2.795812041964382,4.256698000011966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
-30,0,left,1,1,0,left,1,0.8780020410194993,None,,,,,,0,1,1,1,,,,,4.265517374966294,,,,,,,,,,,,,,,,4.256941749947146,4.265517374966294,4.265517374966294,4.748462000046857,4.748462000046857,4.754025958944112,,,,5.152069041971117,left,1,0.8780020410194993,None,5.152147375047207,5.157881750026718,6.65123554202728,6.655105166952126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
30,60,right,2,2,0,right,1,0.8646364590385929,None,,,,,,0,2,2,2,,,,,6.655105166952126,,,,,,,,,,,,,,,,6.651482249959372,6.655105166952126,6.655105166952126,7.148793375003152,7.148793375003152,7.148793375003152,,,,7.524434125050902,right,1,0.8646364590385929,None,7.524506208952516,7.531192124937661,9.017917250050232,9.021709249936976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
-30,-60,left,3,3,0,left,1,1.7036679579177871,None,,,,,,0,3,3,3,,,,,9.021709249936976,,,,,,,,,,,,,,,,9.018168749986216,9.021709249936976,9.021709249936976,9.522054375032894,9.522054375032894,9.515464958967641,10.515385083970614,10.515385083970614,10.521571499994025,10.734639292000793,left,1,1.7036679579177871,None,10.734704124974087,10.739263709052466,12.234515291987918,12.238876666990109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.23460416693706,12.238876666990109,12.238876666990109,13.06879549997393,space,0.8232973749982193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
-30,-60,left,0,0,0,,,,,100,left,1,0.8902490420732647,None,,,,,0,0,0,0,13.082519624964334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.974189416971058,13.981358584016562,15.467842499958351,15.471755624981597,,,,,,,,13.074793500010855,13.082519624964334,13.082519624964334,13.56449441704899,13.56449441704899,13.581677209003828,13.637973292032257,13.637973292032257,13.637973292032257,13.974115916993469,left,1,0.8902490420732647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
-30,0,left,1,1,0,,,,,100,left,1,0.8904066670220345,None,,,,,0,1,1,1,15.471755624981597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.368453125003725,16.37268845899962,17.867871167021804,17.87179083400406,,,,,,,,15.468137542018667,15.471755624981597,15.471755624981597,15.972265874966979,15.972265874966979,15.96548450004775,16.048795958980918,16.048795958980918,16.048795958980918,16.36838441703003,left,1,0.8904066670220345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
30,60,right,2,2,0,,,,,100,right,1,0.8641934579936787,None,,,,,0,2,2,2,17.87179083400406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.740710792015307,18.74810812494252,20.234843499958515,20.238812417024747,,,,,,,,17.868126041954383,17.87179083400406,17.87179083400406,18.365409124991857,18.365409124991857,18.365409124991857,18.438147124950774,18.438147124950774,18.438147124950774,18.74062799999956,right,1,0.8641934579936787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
30,0,right,3,3,0,,,,,100,right,1,0.9624813750851899,None,,,,,0,3,3,3,20.238812417024747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.21048550005071,21.214487583958544,22.70115120895207,22.705070917028934,,,,,,,,20.235130583983846,20.238812417024747,20.238812417024747,20.73875333403703,20.73875333403703,20.73875333403703,20.815463208942674,20.815463208942674,20.815463208942674,21.210401416989043,right,1,0.9624813750851899,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716259,001,2025-08-14_16h17.39.902,tilt_staircase,2024.2.4,None,2025-08-14 16h17.49.994843 -0700,
