center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,test.started,surround_practice_3.started,center_practice_3.started,key_resp_7.started,test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,text_3.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.response,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.012673666002228856,0.019133040914312005,0.019133040914312005,19.161151750013232,space,19.13333312503528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.16127920791041,19.184404624975286,19.184404624975286,20.650981041020714,space,1.4651786249596626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.65130641590804,20.661840415908955,20.661840415908955,20.661840415908955,21.61743529094383,left,0.9494473329978064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
30,0,right,0,0,0,right,1,1.3863206249661744,None,,,,,,0,0,0,0,,,,,21.741824041004293,,,,,,,,,,,,,,,,,,,,,,,,21.633314749924466,21.741824041004293,22.122728457907215,22.122728457907215,23.116535207955167,23.116535207955167,23.116535207955167,23.130016290931962,right,1,1.3863206249661744,None,23.131970915943384,23.141656290972605,24.633201124961488,24.627158540999517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
-30,0,left,1,1,0,left,1,0.9214153330540285,None,,,,,,0,1,1,1,,,,,24.633201124961488,,,,,,,,,,,,,,,,,,,,,,,,24.628240040969104,24.633201124961488,25.124887999962084,25.124887999962084,,,,25.56192749994807,left,1,0.9214153330540285,None,25.56206879101228,25.56938145798631,27.065041165915318,27.0596097499365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
30,60,right,2,2,0,right,1,0.8787032500840724,None,,,,,,0,2,2,2,,,,,27.065041165915318,,,,,,,,,,,,,,,,,,,,,,,,27.06078262499068,27.065041165915318,27.5584944159491,27.5584944159491,,,,27.954375125002116,right,1,0.8787032500840724,None,27.95447337499354,27.958948832936585,29.449637040961534,29.44365437491797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
-30,-60,left,3,3,0,left,1,0.8467230000533164,None,,,,,,0,3,3,3,,,,,29.449637040961534,,,,,,,,,,,,,,,,,,,,,,,,29.44467649993021,29.449637040961534,29.951861958019435,29.951861958019435,,,,30.300896207918413,left,1,0.8467230000533164,None,30.301009957911447,30.30821833293885,31.801509249955416,31.793971207924187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.794112249976024,31.801509249955416,31.801509249955416,32.0983902500011,space,0.2926670419983566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
-30,-60,left,0,0,0,,,,,100,left,1,0.9161778329871595,None,,,,,0,0,0,0,32.11368308297824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.03382866596803,33.04150095791556,34.532569415983744,34.527313707978465,,,,,,,,32.10648937500082,32.11368308297824,32.59577579097822,32.59577579097822,32.66347099991981,32.66347099991981,32.67517824994866,33.03371070791036,left,1,0.9161778329871595,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
-30,0,left,1,1,0,,,,,100,left,1,0.9447227090131491,None,,,,,0,1,1,1,34.532569415983744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.48877958301455,35.50890983291902,,36.9928959159879,,,,,,,,34.52785508299712,34.532569415983744,35.03494870790746,35.03494870790746,35.109216665965505,35.109216665965505,35.109216665965505,35.48865624994505,left,1,0.9447227090131491,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730109,001,2025-08-15_12h13.30.959,tilt_staircase,2024.2.4,None,2025-08-15 12h13.38.075185 -0700,
