center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,test.started,surround_practice_3.started,center_practice_3.started,key_resp_7.started,test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.011015540920197964,0.022401541005820036,0.022401541005820036,5.654198874952272,space,5.590295125031844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.654273832915351,5.674307415960357,5.674307415960357,6.291169415926561,space,0.6108279579784721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2919727499829605,6.315510165994056,6.315510165994056,6.315510165994056,7.968849957920611,left,1.6426474169129506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
30,0,right,0,0,0,right,1,1.9434851249679923,None,,,,,,0,0,0,0,,,,,8.141368457931094,,,,,,,,,,,,,,,,,,,,,,,,7.996354999952018,8.141368457931094,8.141368457931094,8.465843499987386,8.465843499987386,8.640066790976562,9.45427804091014,9.45427804091014,9.466407915926538,10.09663829091005,right,1,1.9434851249679923,None,10.100990624981932,10.106337458011694,11.599911290919408,11.590509166009724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
-30,0,left,1,1,0,left,1,1.9179603330558166,None,,,,,,0,1,1,1,,,,,11.599911290919408,,,,,,,,,,,,,,,,,,,,,,,,11.59164754091762,11.599911290919408,11.599911290919408,12.089504832983948,12.089504832983948,12.089504832983948,13.083908332977444,13.083908332977444,13.088162040919997,13.52617999992799,left,1,1.9179603330558166,None,13.526281415950507,13.53250141593162,15.023806583019905,15.018188957939856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
30,60,right,2,2,0,right,1,0.9947797079803422,None,,,,,,0,2,2,2,,,,,15.023806583019905,,,,,,,,,,,,,,,,,,,,,,,,15.019473415915854,15.023806583019905,15.023806583019905,15.525266040931456,15.525266040931456,15.517379915923811,,,,16.024809040944092,right,1,0.9947797079803422,None,16.02490791596938,16.032509540906176,17.524111249949783,17.51816008298192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
-30,-60,left,3,3,0,left,1,0.8990519579965621,None,,,,,,0,3,3,3,,,,,17.524111249949783,,,,,,,,,,,,,,,,,,,,,,,,17.51920270791743,17.524111249949783,17.524111249949783,18.024539083009586,18.024539083009586,18.017300999956205,,,,18.425166290951893,left,1,0.8990519579965621,None,18.425272958003916,18.432526040938683,19.92496974999085,19.918053124914877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.91820337495301,19.92496974999085,19.92496974999085,21.27538966597058,space,1.3440066250041127,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
-30,-60,left,0,0,0,,,,,100,left,1,1.0593444160185754,None,,,,,0,0,0,0,21.298035665997304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.36951999994926,22.376189082977362,23.872266999911517,23.867655624984764,,,,,,,,21.28889062500093,21.298035665997304,21.298035665997304,21.778739415924065,21.778739415924065,21.81731974997092,21.850032915943302,21.854881415958516,21.854881415958516,22.36933570797555,left,1,1.0593444160185754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
-30,0,left,1,1,0,,,,,100,left,1,0.9413881659274921,None,,,,,0,1,1,1,23.872266999911517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.818168791010976,24.824816665961407,26.32414824992884,26.318368874955922,,,,,,,,23.868072499986738,23.872266999911517,23.872266999911517,24.36646233301144,24.36646233301144,24.36646233301144,24.439615790965036,24.439615790965036,24.439615790965036,24.818061749916524,left,1,0.9413881659274921,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759157,001,2025-08-14_20h50.14.436,tilt_staircase,2024.2.4,None,2025-08-14 20h50.20.277324 -0700,
