center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014601083938032389,0.019244750030338764,0.019244750030338764,29.55341920896899,space,29.4878642919939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.55355358403176,29.56197883398272,29.56197883398272,29.947017916943878,space,0.37467475002631545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
30,0,right,0,0,0,right,1,1.8873012498952448,None,space,0.16419404093176126,None,,,,,0,0,0,0,,,,,29.968211874947883,,,,,,,,,,,,,,,,29.95754641701933,29.968211874947883,29.968211874947883,30.44447999994736,30.44447999994736,30.465669166995212,31.432301542023197,31.432301542023197,31.444528374937363,31.86381791695021,right,1,1.8873012498952448,None,31.8677531669382,31.921010666992515,31.921010666992515,32.09701775002759,space,0.16419404093176126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
-30,0,left,1,1,0,left,1,0.8861095410538837,None,space,0.13018291594926268,None,,,,,0,1,1,1,,,,,32.10133358393796,,,,,,,,,,,,,,,,32.0971936249407,32.10133358393796,32.10133358393796,32.594504292006604,32.594504292006604,32.599180958932266,,,,32.997342166956514,left,1,0.8861095410538837,None,32.997400625026785,33.00112283392809,33.00112283392809,33.13448624999728,space,0.13018291594926268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
30,60,right,2,2,0,right,1,1.004067208035849,None,space,0.17174699995666742,None,,,,,0,2,2,2,,,,,33.14463891694322,,,,,,,,,,,,,,,,33.13465549994726,33.14463891694322,33.14463891694322,33.632580249919556,33.632580249919556,33.632580249919556,,,,34.15216924995184,right,1,1.004067208035849,None,34.15222575003281,34.161155416979454,34.161155416979454,34.33548695896752,space,0.17174699995666742,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
-30,-60,left,3,3,0,left,1,0.8711564170662314,None,space,0.12879874999634922,None,,,,,0,3,3,3,,,,,34.34445679199416,,,,,,,,,,,,,,,,34.33566120895557,34.34445679199416,34.34445679199416,34.8325209999457,34.8325209999457,34.8325209999457,,,,35.218136416981,left,1,0.8711564170662314,None,35.21818758395966,35.22776699997485,35.22776699997485,35.36344583402388,space,0.12879874999634922,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.363539499929175,35.36812745896168,35.36812745896168,38.19716291700024,space,2.826947332941927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
-30,-60,left,0,0,0,,,,,space,0.14489704195875674,None,left,1,1.0012871669605374,None,,,,,0,0,0,0,38.21363108395599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.21819337492343,39.22773049992975,39.22773049992975,39.380270958994515,,,,,,,,,,,38.20843195891939,38.21363108395599,38.21363108395599,38.69446229201276,38.69446229201276,38.71101995895151,38.766225624945946,38.766225624945946,38.766225624945946,39.21813375002239,left,1,1.0012871669605374,None,space,0.14489704195875674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
-30,0,left,1,1,0,,,,,space,0.14784604194574058,None,left,1,0.8767071249894798,None,,,,,0,1,1,1,39.384521916974336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.264028874924406,40.26778316695709,40.26778316695709,40.41863391699735,,,,,,,,,,,39.38045874994714,39.384521916974336,39.384521916974336,39.8778592919698,39.8778592919698,39.88307641702704,39.94877716701012,39.94877716701012,39.94877716701012,40.26396949996706,left,1,0.8767071249894798,None,space,0.14784604194574058,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
30,60,right,2,2,0,,,,,space,0.14089737506583333,None,right,1,0.7802292909473181,None,,,,,0,2,2,2,40.42785295902286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.214008625014685,41.21771637501661,41.21771637501661,41.36379474995192,,,,,,,,,,,40.41882329201326,40.42785295902286,40.42785295902286,40.91612470895052,40.91612470895052,40.91612470895052,40.994422958930954,40.994422958930954,40.994422958930954,41.21394558402244,right,1,0.7802292909473181,None,space,0.14089737506583333,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
30,0,right,3,3,0,,,,,space,0.10554716701153666,None,right,1,0.7962479160632938,None,,,,,0,3,3,3,41.36800645897165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.168252749950625,42.17780941701494,42.17780941701494,42.28468133392744,,,,,,,,,,,41.36398949997965,41.36800645897165,41.36800645897165,41.8609873339301,41.8609873339301,41.86559966695495,41.932067750021815,41.932067750021815,41.932067750021815,42.168196333921514,right,1,0.7962479160632938,None,space,0.10554716701153666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2847712499788,42.29448279202916,42.29448279202916,45.380784041946754,space,3.0799966669874266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,45.53933879197575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,1,0,start,5,20,20,-10,45.53399637492839,45.53933879197575,45.53933879197575,45.87772274995223,45.87772274995223,45.949342541978694,45.949342541978694,45.949342541978694,46.03217262495309,46.83521229203325,1,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,46.844438749947585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,1,1,start,5,-20,-20,10,46.835413999971934,46.844438749947585,46.844438749947585,47.33247758401558,47.33247758401558,47.411052334005944,47.411052334005944,47.411052334005944,47.33247758401558,48.713314249995165,0,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,48.71699537499808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,2,2,down,5,15,15,-15,48.713489208952524,48.71699537499808,48.71699537499808,49.21111004194245,49.21111004194245,49.282162499963306,49.282162499963306,49.282162499963306,49.21584162500221,49.934658583952114,1,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,49.94445133395493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,2,3,up,5,-15,-15,15,49.934834291925654,49.94445133395493,49.94445133395493,50.43266220903024,50.43266220903024,50.51104154193308,50.51104154193308,50.51104154193308,50.43266220903024,51.39722670894116,0,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,51.401271499926224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,3,4,up,5,-10,-10,20,51.3974408749491,51.401271499926224,51.401271499926224,51.89437450002879,51.89437450002879,51.965599083923735,51.965599083923735,51.965599083923735,51.899206583970226,52.501465208944865,0,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,52.5111020419281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,3,5,down,5,10,10,-20,52.50164849997964,52.5111020419281,52.5111020419281,52.99944804201368,52.99944804201368,53.07759870903101,53.07759870903101,53.07759870903101,52.99944804201368,53.58552045898978,1,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,53.59447495895438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high_start,50,20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,0,4,6,down,5,5,5,-25,53.58571466698777,53.59447495895438,53.59447495895438,54.08249520894606,54.08249520894606,54.16099633392878,54.16099633392878,54.16099633392878,54.08249520894606,54.63048049993813,1,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,54.63438183395192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,4,7,up,5,-5,-5,25,54.630665833945386,54.63438183395192,54.63438183395192,55.12778820900712,55.12778820900712,55.199036499951035,55.199036499951035,55.199036499951035,55.13266591692809,55.66827933397144,0,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,55.677702874992974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,low_start,50,-20,30,-30,"[5, 2, 1, 0.5, 0.25, 0.1]",lin,1,1,7,1,5,8,up,5,0,0,30,55.6684763339581,55.677702874992974,55.677702874992974,56.16579133400228,56.16579133400228,56.24438674992416,56.24438674992416,56.24438674992416,56.16579133400228,57.16407516703475,0,,,,,,,,781732,001,2025-08-14_12h14.22.907,tilt_staircase,2024.2.4,None,2025-08-14 12h14.28.946277 -0700,
