center,surround,corrAns,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035093832993879914,0.04059645801316947,0.04059645801316947,1.222185083082877,space,1.1342847079504281,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783866,001,2025-08-13_16h42.37.545,tilt_staircase,2024.2.4,None,2025-08-13 16h42.50.921123 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.222242542076856,1.2421482080826536,1.2421482080826536,1.666525000007823,space,0.41533766698557884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783866,001,2025-08-13_16h42.37.545,tilt_staircase,2024.2.4,None,2025-08-13 16h42.50.921123 -0700,
30,0,right,0,0,0,right,1,3.0967637500725687,None,space,3.8626837090123445,None,,,,,0,0,0,0,,,,,1.6971384580247104,,,,,,,,,,,,,,,,1.6822072920622304,1.6971384580247104,1.6971384580247104,2.1667305000592023,2.1667305000592023,2.1961256250506267,3.163349417038262,3.163349417038262,3.163349417038262,4.8005756250349805,right,1,3.0967637500725687,None,4.800647667027079,4.990946542005986,4.990946542005986,8.855376542080194,space,3.8626837090123445,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783866,001,2025-08-13_16h42.37.545,tilt_staircase,2024.2.4,None,2025-08-13 16h42.50.921123 -0700,
-30,0,left,1,1,0,left,0,1.21199624997098,None,space,4.601624459028244,None,,,,,0,1,1,1,,,,,8.86264187505003,,,,,,,,,,,,,,,,8.85564525006339,8.86264187505003,8.86264187505003,9.35236745805014,9.35236745805014,9.35236745805014,,,,10.083416917012073,left,0,1.21199624997098,None,10.083491416997276,10.09202149999328,10.09202149999328,14.700680208043195,space,4.601624459028244,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783866,001,2025-08-13_16h42.37.545,tilt_staircase,2024.2.4,None,2025-08-13 16h42.50.921123 -0700,
30,60,left,2,2,0,right,1,2.4377406659768894,None,space,4.042254833970219,None,,,,,0,2,2,2,,,,,14.707868875004351,,,,,,,,,,,,,,,,14.700974417035468,14.707868875004351,14.707868875004351,15.196858333074488,15.196858333074488,15.20258929207921,16.185653417021967,16.185653417021967,16.196907208068296,17.150358958053403,right,1,2.4377406659768894,None,17.15042333304882,17.15594341699034,17.15594341699034,21.203106167027727,space,4.042254833970219,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783866,001,2025-08-13_16h42.37.545,tilt_staircase,2024.2.4,None,2025-08-13 16h42.50.921123 -0700,
-30,-60,right,3,3,0,left,0,1.004101833095774,None,space,3.131864749942906,None,,,,,0,3,3,3,,,,,21.212683791993186,,,,,,,,,,,,,,,,21.2033155830577,21.212683791993186,21.212683791993186,21.696916833054274,21.696916833054274,21.70288416708354,,,,22.22211083304137,left,0,1.004101833095774,None,22.222175792092457,22.229694750043564,22.229694750043564,25.36720087507274,space,3.131864749942906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783866,001,2025-08-13_16h42.37.545,tilt_staircase,2024.2.4,None,2025-08-13 16h42.50.921123 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.367414875072427,25.37547995802015,25.37547995802015,27.667366167064756,space,2.28429895802401,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,783866,001,2025-08-13_16h42.37.545,tilt_staircase,2024.2.4,None,2025-08-13 16h42.50.921123 -0700,
-30,-60,"right",0,0,0,,,,,space,1.1145143329631537,None,left,0,1.9336077090119943,None,,,,,0,0,0,0,27.700910708052106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.638511041994207,29.646605417015962,29.646605417015962,30.767082792008296,,,,,,,,,,,27.69535045803059,27.700910708052106,27.700910708052106,28.162591750035062,28.162591750035062,28.197024499997497,28.236522083054297,28.236522083054297,28.236522083054297,29.638442667084746,left,0,1.9336077090119943,None,space,1.1145143329631537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,783866,001,2025-08-13_16h42.37.545,tilt_staircase,2024.2.4,None,2025-08-13 16h42.50.921123 -0700,
-30,0,"left",1,1,0,,,,,space,1.0202817920362577,None,left,0,1.1278507499955595,None,,,,,0,1,1,1,30.773874250007793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.906227708095685,31.912549167056568,31.912549167056568,32.94271087506786,,,,,,,,,,,30.76735700003337,30.773874250007793,30.773874250007793,31.263580042053945,31.263580042053945,31.269241083064117,31.336180499987677,31.336180499987677,31.336180499987677,31.906150292023085,left,0,1.1278507499955595,None,space,1.0202817920362577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,783866,001,2025-08-13_16h42.37.545,tilt_staircase,2024.2.4,None,2025-08-13 16h42.50.921123 -0700,
30,60,"left",2,2,0,,,,,space,2.4277161660138518,None,right,1,1.0572133749956265,None,,,,,0,2,2,2,32.94603854208253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.00556408299599,34.01275687501766,34.01275687501766,36.450414667022415,,,,,,,,,,,32.94295870803762,32.94603854208253,32.94603854208253,33.4367785830982,33.4367785830982,33.4367785830982,33.513628332992084,33.513628332992084,33.51985266699921,34.005491583026014,right,1,1.0572133749956265,None,space,2.4277161660138518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,783866,001,2025-08-13_16h42.37.545,tilt_staircase,2024.2.4,None,2025-08-13 16h42.50.921123 -0700,
