center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,test.started,surround_practice_3.started,center_practice_3.started,key_resp_7.started,test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,trial.stopped,trials.response,surround_angle,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.01021295809186995,0.017649291083216667,0.017649291083216667,1.4692509160377085,space,1.4058917079819366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4693377080839127,1.4929355829954147,1.4929355829954147,1.844526750035584,space,0.3386079999618232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8453689580783248,1.8718462079996243,1.8718462079996243,1.8718462079996243,5.007883958052844,space,3.132284792023711,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
30,0,right,0,0,0,right,1,1.4042117920471355,None,,,,,,0,0,0,0,,,,,5.04367749998346,,,,,,,,,,,,,,,,,,,,,,,,5.0367015830706805,5.04367749998346,5.503893833025359,5.503893833025359,6.458235915983096,right,1,1.4042117920471355,None,6.4636102500371635,6.605947875068523,7.959789208020084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
-30,0,left,1,1,0,left,1,0.8598783341003582,None,,,,,,0,1,1,1,,,,,7.972105958033353,,,,,,,,,,,,,,,,,,,,,,,,7.96082145802211,7.972105958033353,8.455393000040203,8.455393000040203,8.84131712501403,left,1,0.8598783341003582,None,8.841429750085808,8.850249750074,10.341278500040062,10.347701958031394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
30,60,right,2,2,0,right,1,0.9442205840023234,None,,,,,,0,2,2,2,,,,,10.347701958031394,,,,,,,,,,,,,,,,,,,,,,,,10.342521124985069,10.347701958031394,10.838902833056636,10.838902833056636,11.298772916081361,right,1,0.9442205840023234,None,11.298887707991526,11.305350166046992,12.791355333058164,12.797175833024085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
-30,-60,left,3,3,0,left,1,0.9237623329972848,None,,,,,,0,3,3,3,,,,,12.797175833024085,,,,,,,,,,,,,,,,,,,,,,,,12.79255195800215,12.797175833024085,13.298309416044503,13.298309416044503,13.725240500061773,left,1,0.9237623329972848,None,13.72545887506567,13.732984208036214,15.224031791090965,15.231085791019723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.22418675001245,15.231085791019723,15.231085791019723,20.22361470805481,space,4.985178834060207,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
-30,-60,left,0,0,0,,,,,100,left,1,1.0880818339064717,None,,,,,0,0,0,0,20.24058545799926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.33144970808644,21.33948700001929,22.824597666040063,22.83055258297827,,,,,,,,20.23456462507602,20.24058545799926,20.719454166013747,20.719454166013747,20.79520470800344,20.79520470800344,20.79520470800344,21.331299624987878,left,1,1.0880818339064717,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
-30,0,left,1,1,0,,,,,100,left,1,0.8897306250873953,None,,,,,0,1,1,1,22.83055258297827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.725678750080988,23.73329045798164,25.224182291072793,25.22937387507409,,,,,,,,22.825183416018263,22.83055258297827,23.33259662508499,23.33259662508499,23.406678625033237,23.406678625033237,23.406678625033237,23.72550012508873,left,1,0.8897306250873953,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789846,001,2025-08-15_12h03.37.872,tilt_staircase,2024.2.4,None,2025-08-15 12h03.51.100407 -0700,
