center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,trial.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015896250028163195,0.025133666931651533,0.025133666931651533,0.5712951669702306,space,0.5172664999263361,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5713344579562545,0.5793216249439865,0.5793216249439865,0.7555194579763338,space,0.1728500829776749,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
30,0,right,0,0,0,right,1,2.019896666985005,None,space,0.2576681670034304,None,,,,,,0,0,0,0,,,,,0.7730905830394477,,,,,,,,,,,,,,,,0.7620780830038711,0.7730905830394477,0.7730905830394477,1.253063541953452,1.253063541953452,1.2699327080044895,2.2410009580198675,2.2410009580198675,2.253178625018336,2.850166750024073,right,1,2.019896666985005,None,2.852722542011179,2.857284166966565,2.857284166966565,3.1222907919436693,space,0.2576681670034304,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
-30,0,left,1,1,0,left,1,0.9499395829625428,None,space,0.2592602079967037,None,,,,,,0,1,1,1,,,,,3.1265326669672504,,,,,,,,,,,,,,,,3.122461708029732,3.1265326669672504,3.1265326669672504,3.6198143330402672,3.6198143330402672,3.6245153750060126,,,,4.077484166948125,left,1,0.9499395829625428,None,4.077537750010379,4.086559292045422,4.086559292045422,4.3558221670100465,space,0.2592602079967037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
30,60,right,2,2,0,right,1,0.9646834160666913,None,space,0.2066106250276789,None,,,,,,0,2,2,2,,,,,4.360088791931048,,,,,,,,,,,,,,,,4.3560026249615476,4.360088791931048,4.360088791931048,4.8531177919358015,4.8531177919358015,4.858040082966909,,,,5.326353666954674,right,1,0.9646834160666913,None,5.3264121250249445,5.336359250009991,5.336359250009991,5.55543079203926,space,0.2066106250276789,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
-30,-60,left,3,3,0,left,1,1.4823939169291407,None,space,0.22051704209297895,None,,,,,,0,3,3,3,,,,,5.55955870798789,,,,,,,,,,,,,,,,5.555588125018403,5.55955870798789,5.55955870798789,6.053073166985996,6.053073166985996,6.057495416956954,7.041912832995877,7.041912832995877,7.0531322919996455,7.044800666975789,left,1,1.4823939169291407,None,7.04486587503925,7.0531322919996455,7.0531322919996455,7.276325332932174,space,0.22051704209297895,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.276407458004542,7.286466042045504,7.286466042045504,8.58924224996008,space,1.295382707961835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
-30,-60,left,0,0,0,,,,,space,0.3156505839433521,None,100,left,1,1.9610925000160933,None,,,,,0,0,0,0,8.597937291953713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.560603457968682,10.569796583033167,10.569796583033167,10.889063582988456,,,,,,,,,,,8.593216125038452,8.597937291953713,8.597937291953713,9.08647308300715,9.08647308300715,9.091081458027475,9.159159792005084,9.159159792005084,9.159159792005084,10.560539167025127,left,1,1.9610925000160933,None,space,0.3156505839433521,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
-30,0,left,1,1,0,,,,,space,0.4156672910321504,None,100,left,1,1.524305708007887,None,,,,,0,1,1,1,10.893316917004995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.422736124950461,12.426386583014391,12.426386583014391,12.843928499962203,,,,,,,,,,,10.889292916981503,10.893316917004995,10.893316917004995,11.38652279204689,11.38652279204689,11.39146695798263,11.457729417015798,11.457729417015798,11.457729417015798,12.422675000037998,left,1,1.524305708007887,None,space,0.4156672910321504,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
30,60,right,2,2,0,,,,,space,0.3664074999978766,None,100,right,1,1.1923106670146808,None,,,,,0,2,2,2,12.85320141701959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.05580979201477,14.05941787501797,14.05941787501797,14.426764042000286,,,,,,,,,,,12.844156624982134,12.85320141701959,12.85320141701959,13.341461041942239,13.341461041942239,13.341461041942239,13.419982624938712,13.419982624938712,13.419982624938712,14.055749332997948,right,1,1.1923106670146808,None,space,0.3664074999978766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853077,001,2025-08-14_14h44.13.279,tilt_staircase,2024.2.4,None,2025-08-14 14h44.19.838612 -0700,
