center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016309458995237947,0.0215131250442937,0.0215131250442937,0.7289437500294298,space,0.6758443330181763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868274,001,2025-08-14_12h12.16.680,tilt_staircase,2024.2.4,None,2025-08-14 12h12.24.952150 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7289832920068875,0.7481903750449419,0.7481903750449419,1.0257424999726936,space,0.27461341698653996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868274,001,2025-08-14_12h12.16.680,tilt_staircase,2024.2.4,None,2025-08-14 12h12.24.952150 -0700,
30,0,right,0,0,0,right,1,1.9884906669612974,None,space,0.2799409590661526,None,,,,,0,0,0,0,,,,,1.0554434170480818,,,,,,,,,,,,,,,,1.0411125420359895,1.0554434170480818,1.0554434170480818,1.5231762500479817,1.5231762500479817,1.5443251250544563,2.5114854590501636,2.5114854590501636,2.523061417043209,3.047766709001735,right,1,1.9884906669612974,None,3.051161125069484,3.166350624989718,3.166350624989718,3.459272417007014,space,0.2799409590661526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868274,001,2025-08-14_12h12.16.680,tilt_staircase,2024.2.4,None,2025-08-14 12h12.24.952150 -0700,
-30,0,left,1,1,0,left,1,0.932185583980754,None,space,0.27036608301568776,None,,,,,0,1,1,1,,,,,3.463945292052813,,,,,,,,,,,,,,,,3.4594702089671046,3.463945292052813,3.463945292052813,3.9565741670085117,3.9565741670085117,3.961314041982405,,,,4.408765624975786,left,1,0.932185583980754,None,4.408822792000137,4.411271749995649,4.411271749995649,4.6928657500538975,space,0.27036608301568776,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868274,001,2025-08-14_12h12.16.680,tilt_staircase,2024.2.4,None,2025-08-14 12h12.24.952150 -0700,
30,60,right,2,2,0,right,1,0.8400217910530046,None,space,0.1883711660047993,None,,,,,0,2,2,2,,,,,4.6973325840663165,,,,,,,,,,,,,,,,4.693050500005484,4.6973325840663165,4.6973325840663165,5.189718667068519,5.189718667068519,5.194473500014283,,,,5.5426772920181975,right,1,0.8400217910530046,None,5.542732125031762,5.546431416994892,5.546431416994892,5.742421709001064,space,0.1883711660047993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868274,001,2025-08-14_12h12.16.680,tilt_staircase,2024.2.4,None,2025-08-14 12h12.24.952150 -0700,
-30,-60,left,3,3,0,left,1,0.8087517500389367,None,space,0.1255579589633271,None,,,,,0,3,3,3,,,,,5.746777959051542,,,,,,,,,,,,,,,,5.7426220420747995,5.746777959051542,5.746777959051542,6.239673417061567,6.239673417061567,6.244052667054348,,,,6.559169708983973,left,1,0.8087517500389367,None,6.559226209064946,6.562951417057775,6.562951417057775,6.692789374967106,space,0.1255579589633271,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868274,001,2025-08-14_12h12.16.680,tilt_staircase,2024.2.4,None,2025-08-14 12h12.24.952150 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.692875167005695,6.697860500076786,6.697860500076786,7.413585084024817,space,0.7147259999765083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868274,001,2025-08-14_12h12.16.680,tilt_staircase,2024.2.4,None,2025-08-14 12h12.24.952150 -0700,
-30,-60,left,0,0,0,,,,,space,0.1559874169761315,None,left,1,0.9807407499756664,None,,,,,0,0,0,0,7.423048167023808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.40923466696404,8.412959667039104,8.412959667039104,8.575530666974373,,,,,,,,,,,7.417132625007071,7.423048167023808,7.423048167023808,7.913205250049941,7.913205250049941,7.913205250049941,7.98970899998676,7.98970899998676,7.98970899998676,8.40915316704195,left,1,0.9807407499756664,None,space,0.1559874169761315,None,,,,,,,,,,,,,,,,,,,,,,,,868274,001,2025-08-14_12h12.16.680,tilt_staircase,2024.2.4,None,2025-08-14 12h12.24.952150 -0700,
-30,0,left,1,1,0,,,,,space,0.10123770800419152,None,left,1,0.872331790975295,None,,,,,0,1,1,1,8.579769041971304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.459253416978754,9.462975875008851,9.462975875008851,9.575861499994062,,,,,,,,,,,8.575721041997895,8.579769041971304,8.579769041971304,9.073129042051733,9.073129042051733,9.077855625073425,9.144596999976784,9.144596999976784,9.144596999976784,9.459193333983421,left,1,0.872331790975295,None,space,0.10123770800419152,None,,,,,,,,,,,,,,,,,,,,,,,,868274,001,2025-08-14_12h12.16.680,tilt_staircase,2024.2.4,None,2025-08-14 12h12.24.952150 -0700,
30,60,right,2,2,0,,,,,space,0.09805320797022432,None,right,1,0.8557086249347776,None,,,,,0,2,2,2,9.580265625030734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.442408291972242,10.446116084000096,10.446116084000096,10.546705750050023,,,,,,,,,,,9.576062542037107,9.580265625030734,9.580265625030734,10.073196958983317,10.073196958983317,10.077943042037077,10.144629499991424,10.144629499991424,10.144629499991424,10.442348917014897,right,1,0.8557086249347776,None,space,0.09805320797022432,None,,,,,,,,,,,,,,,,,,,,,,,,868274,001,2025-08-14_12h12.16.680,tilt_staircase,2024.2.4,None,2025-08-14 12h12.24.952150 -0700,
