center,surround,corrAns,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,trial.started,resp.started,text_2.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017474082997068763,0.021718166070058942,0.021718166070058942,0.6023142910562456,space,0.5536028750939295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963080,001,2025-08-13_16h48.49.681,tilt_staircase,2024.2.4,None,2025-08-13 16h48.56.838168 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6023500000592321,0.6101691660005599,0.6101691660005599,0.9001341250259429,space,0.2872765420470387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963080,001,2025-08-13_16h48.49.681,tilt_staircase,2024.2.4,None,2025-08-13 16h48.56.838168 -0700,
30,0,right,0,0,0,right,1,1.2206546250963584,None,space,1.4939511669799685,None,,,,,0,0,0,0,,,,,0.9150049580493942,,,,,,,,,,,,,,,,0.9059561250032857,0.9150049580493942,0.9150049580493942,1.3977332500508055,1.3977332500508055,1.4022096659755334,2.1406335410429165,right,1,1.2206546250963584,None,2.145567415980622,2.2076705830404535,2.2076705830404535,3.707217416027561,space,1.4939511669799685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963080,001,2025-08-13_16h48.49.681,tilt_staircase,2024.2.4,None,2025-08-13 16h48.56.838168 -0700,
-30,0,left,1,1,0,left,0,1.0329068340361118,None,space,1.9994904580526054,None,,,,,0,1,1,1,,,,,3.7144590410171077,,,,,,,,,,,,,,,,3.7074718329822645,3.7144590410171077,3.7144590410171077,4.204652374959551,4.204652374959551,4.204652374959551,4.75238924997393,left,0,1.0329068340361118,None,4.755165582988411,4.761227790964767,4.761227790964767,6.768700500018895,space,1.9994904580526054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963080,001,2025-08-13_16h48.49.681,tilt_staircase,2024.2.4,None,2025-08-13 16h48.56.838168 -0700,
30,60,left,2,2,0,right,1,1.3421409170841798,None,space,1.9306252499809489,None,,,,,0,2,2,2,,,,,6.776058790972456,,,,,,,,,,,,,,,,6.768980207969435,6.776058790972456,6.776058790972456,7.2651814999990165,7.2651814999990165,7.271360957995057,8.124227958032861,right,1,1.3421409170841798,None,8.126882125041448,8.13145208300557,8.13145208300557,10.068278666003607,space,1.9306252499809489,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963080,001,2025-08-13_16h48.49.681,tilt_staircase,2024.2.4,None,2025-08-13 16h48.56.838168 -0700,
-30,-60,right,3,3,0,right,1,1.1947404580423608,None,space,1.7118773340480402,None,,,,,0,3,3,3,,,,,10.074215125059709,,,,,,,,,,,,,,,,10.068505208007991,10.074215125059709,10.074215125059709,10.565206208033487,10.565206208033487,10.57107183302287,11.274511791067198,right,1,1.1947404580423608,None,11.274600083008409,11.281036625034176,11.281036625034176,13.002012165961787,space,1.7118773340480402,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963080,001,2025-08-13_16h48.49.681,tilt_staircase,2024.2.4,None,2025-08-13 16h48.56.838168 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.002140583004802,13.00922816595994,13.00922816595994,16.818351291003637,space,3.7985620419494808,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963080,001,2025-08-13_16h48.49.681,tilt_staircase,2024.2.4,None,2025-08-13 16h48.56.838168 -0700,
-30,-60,"right",0,0,0,,,,,space,1.253681833972223,None,left,0,1.435792624950409,None,,,,,0,0,0,0,16.832189375068992,,,,,,,,,,,,,,,,,,,,,,,,,,,18.275237291003577,18.281484332983382,18.281484332983382,19.53952437499538,,,,,,,,,,,16.82454341603443,16.832189375068992,16.832189375068992,17.31450679106638,17.31450679106638,17.331285207998008,17.38717300002463,17.38717300002463,17.38717300002463,18.275109500042163,left,0,1.435792624950409,None,space,1.253681833972223,None,,,,,,,,,,,,,,,,,,,,,,,,,,963080,001,2025-08-13_16h48.49.681,tilt_staircase,2024.2.4,None,2025-08-13 16h48.56.838168 -0700,
-30,0,"left",1,1,0,,,,,space,1.2950060410657898,None,left,0,1.1444077920168638,None,,,,,0,1,1,1,19.54780333302915,,,,,,,,,,,,,,,,,,,,,,,,,,,20.70202208298724,20.707597207976505,20.707597207976505,22.0077535409946,,,,,,,,,,,19.539767457987182,19.54780333302915,19.54780333302915,20.038350041024387,20.038350041024387,20.038350041024387,20.11522779101506,20.11522779101506,20.11522779101506,20.70193175005261,left,0,1.1444077920168638,None,space,1.2950060410657898,None,,,,,,,,,,,,,,,,,,,,,,,,,,963080,001,2025-08-13_16h48.49.681,tilt_staircase,2024.2.4,None,2025-08-13 16h48.56.838168 -0700,
30,60,"left",2,2,0,,,,,space,0.8667698329081759,None,right,1,1.1031062080292031,None,,,,,0,2,2,2,22.014331207959913,,,,,,,,,,,,,,,,,,,,,,,,,,,23.119035082985647,23.12447245803196,23.12447245803196,24.001671415986493,,,,,,,,,,,22.008042457979172,22.014331207959913,22.014331207959913,22.50500337500125,22.50500337500125,22.50500337500125,22.581903040991165,22.581903040991165,22.581903040991165,23.11894737498369,right,1,1.1031062080292031,None,space,0.8667698329081759,None,,,,,,,,,,,,,,,,,,,,,,,,,,963080,001,2025-08-13_16h48.49.681,tilt_staircase,2024.2.4,None,2025-08-13 16h48.56.838168 -0700,
