center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,text_9.started,surround_practice.started,center_practice.started,text_9.stopped,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,key_resp_7.started,practice_feedback.stopped,practice_no_time.key_resp_7.keys,practice_no_time.key_resp_7.rt,practice_no_time.key_resp_7.duration,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,text_10.started,surround_practice_2.started,center_practice_2.started,text_10.stopped,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,practice_timed.key_resp_7.keys,practice_timed.key_resp_7.rt,practice_timed.key_resp_7.duration,start_instr.started,text_13.started,key_resp_8.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012614917010068893,0.016650957986712456,0.016650957986712456,6.7474023749819025,space,6.699690457899123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995203,001,2025-08-14_11h34.00.007,tilt_staircase,2024.2.4,None,2025-08-14 11h34.09.305031 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.747437000041828,6.755246250075288,6.755246250075288,7.225904875085689,space,0.4679550420260057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995203,001,2025-08-14_11h34.00.007,tilt_staircase,2024.2.4,None,2025-08-14 11h34.09.305031 -0700,
30,0,right,0,0,0,right,1,1.8523060419829562,None,space,1.1855707500362769,None,,,,,0,0,0,0,,,,,7.242177125066519,,,,,,,,,,,,,,,,7.2327575830277056,7.242177125066519,7.242177125066519,7.723364792065695,7.723364792065695,7.739926208043471,8.710877542034723,8.710877542034723,8.723320958088152,9.097081999992952,right,1,1.8523060419829562,None,9.100101958028972,9.152928958064876,9.152928958064876,10.342588583007455,space,1.1855707500362769,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,995203,001,2025-08-14_11h34.00.007,tilt_staircase,2024.2.4,None,2025-08-14 11h34.09.305031 -0700,
-30,0,left,1,1,0,left,1,2.0423459169687703,None,space,0.9830784159712493,None,,,,,0,1,1,1,,,,,10.346991667058319,,,,,,,,,,,,,,,,10.342791332979687,10.346991667058319,10.346991667058319,10.8399467500858,10.8399467500858,10.844592042034492,11.827502625063062,11.827502625063062,11.840047999983653,12.392765292082913,left,1,2.0423459169687703,None,12.392824458074756,12.396638708072715,12.396638708072715,13.39240274997428,space,0.9830784159712493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,995203,001,2025-08-14_11h34.00.007,tilt_staircase,2024.2.4,None,2025-08-14 11h34.09.305031 -0700,
30,60,right,2,2,0,right,1,2.1808373749954626,None,space,0.47381766699254513,None,,,,,0,2,2,2,,,,,13.395108917029575,,,,,,,,,,,,,,,,13.392626625020057,13.395108917029575,13.395108917029575,13.889989583054557,13.889989583054557,13.889989583054557,14.877846500021406,14.877846500021406,14.889974583056755,15.580204833066091,right,1,2.1808373749954626,None,15.580259207985364,15.589968583080918,15.589968583080918,16.075603457982652,space,0.47381766699254513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,995203,001,2025-08-14_11h34.00.007,tilt_staircase,2024.2.4,None,2025-08-14 11h34.09.305031 -0700,
-30,-60,left,3,3,0,left,1,2.0536685830447823,None,space,0.6817277499940246,None,,,,,0,3,3,3,,,,,16.07983212498948,,,,,,,,,,,,,,,,16.075785875087604,16.07983212498948,16.07983212498948,16.57330175000243,16.57330175000243,16.577766541973688,17.561386833083816,17.561386833083816,17.57331054203678,18.14250637497753,left,1,2.0536685830447823,None,18.14255937503185,18.146200750023127,18.146200750023127,18.830178625066765,space,0.6817277499940246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,995203,001,2025-08-14_11h34.00.007,tilt_staircase,2024.2.4,None,2025-08-14 11h34.09.305031 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.83026262500789,18.839973957976326,18.839973957976326,21.098001042031683,space,2.2534392920788378,None,,,,,,,,,,,,,,,,,,,,,995203,001,2025-08-14_11h34.00.007,tilt_staircase,2024.2.4,None,2025-08-14 11h34.09.305031 -0700,
-30,-60,left,0,0,0,,,,,space,0.5680260000517592,None,left,1,1.732212792034261,None,,,,,0,0,0,0,21.106969833024777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.842521875048988,22.846112917060964,22.846112917060964,23.42592379206326,,,,,,,,,,,21.10153641703073,21.106969833024777,21.106969833024777,21.59671154199168,21.59671154199168,21.59671154199168,21.673285542055964,21.673285542055964,21.673285542055964,22.842464333050884,left,1,1.732212792034261,None,space,0.5680260000517592,None,,,,995203,001,2025-08-14_11h34.00.007,tilt_staircase,2024.2.4,None,2025-08-14 11h34.09.305031 -0700,
-30,0,left,1,1,0,,,,,space,1.8709636250277981,None,right,0,1.1303356250282377,None,,,,,0,1,1,1,23.430141292046756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.563422375009395,24.573187583009712,24.573187583009712,26.447942583006807,,,,,,,,,,,23.426111833075993,23.430141292046756,23.430141292046756,23.92331170802936,23.92331170802936,23.928289541974664,23.9945497920271,23.9945497920271,23.9945497920271,24.56336420797743,right,0,1.1303356250282377,None,space,1.8709636250277981,None,,,,995203,001,2025-08-14_11h34.00.007,tilt_staircase,2024.2.4,None,2025-08-14 11h34.09.305031 -0700,
30,60,right,2,2,0,,,,,space,0.6042470000684261,None,right,1,1.3226539170136675,None,,,,,0,2,2,2,26.456602500053123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.780308000044897,27.78996891702991,27.78996891702991,28.39718458300922,,,,,,,,,,,26.44815325003583,26.456602500053123,26.456602500053123,26.94466220808681,26.94466220808681,26.94466220808681,27.02315958298277,27.02315958298277,27.02315958298277,27.78025275003165,right,1,1.3226539170136675,None,space,0.6042470000684261,None,,,,995203,001,2025-08-14_11h34.00.007,tilt_staircase,2024.2.4,None,2025-08-14 11h34.09.305031 -0700,
30,0,right,3,3,0,,,,,space,1.1826421250589192,None,left,0,1.0880457089515403,None,,,,,0,3,3,3,28.40662395802792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.49730383302085,29.506536833010614,29.506536833010614,30.692363457987085,,,,,,,,,,,28.397368000005372,28.40662395802792,28.40662395802792,28.89456024998799,28.89456024998799,28.89456024998799,28.973123708041385,28.973123708041385,28.973123708041385,29.49725050001871,left,0,1.0880457089515403,None,space,1.1826421250589192,None,,,,995203,001,2025-08-14_11h34.00.007,tilt_staircase,2024.2.4,None,2025-08-14 11h34.09.305031 -0700,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.692444332991727,30.697136542061344,30.697136542061344,,,,,,,,
