center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,test.started,surround_practice_3.started,center_practice_3.started,key_resp_7.started,test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,text_7.stopped,practice_feedback.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,trial.stopped,trials.response,surround_angle,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,blocks.key_resp_9.keys,blocks.key_resp_9.rt,blocks.key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010810374980792403,0.017286999966017902,0.017286999966017902,23.61605704203248,space,23.540329958079383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.61630954197608,23.63820237503387,23.63820237503387,24.806404166971333,space,1.1630752499913797,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.80695812497288,24.82028404204175,24.82028404204175,24.82028404204175,26.29537587496452,right,1.4708050419576466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
30,0,right,0,0,0,right,1,1.4325829590670764,None,,,,,,0,0,0,0,,,,,,,,,26.388002541963942,,,,,,,,,,,,,,,,,,,,,,,,26.323693457990885,26.388002541963942,26.798263582983054,26.798263582983054,27.795602667029016,27.795602667029016,27.795602667029016,27.82327279204037,right,1,1.4325829590670764,None,27.82909108302556,27.838738374994136,29.329911125008948,29.323466666974127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
-30,0,left,1,1,0,left,1,0.9762906669639051,None,,,,,,0,1,1,1,,,,,,,,,29.329911125008948,,,,,,,,,,,,,,,,,,,,,,,,29.32471658301074,29.329911125008948,29.820917667006142,29.820917667006142,,,,30.31225858302787,left,1,0.9762906669639051,None,30.31236587499734,30.32057704194449,31.811337708029896,31.8058314579539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
30,60,right,2,2,0,right,1,0.9474960420047864,None,,,,,,0,2,2,2,,,,,,,,,31.811337708029896,,,,,,,,,,,,,,,,,,,,,,,,31.806863000034355,31.811337708029896,32.31418629200198,32.31418629200198,,,,32.762684707995504,right,1,0.9474960420047864,None,32.76279258297291,32.77071441698354,34.26000012503937,34.254843208007514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
-30,-60,left,3,3,0,left,1,0.9012062499532476,None,,,,,,0,3,3,3,,,,,,,,,34.26000012503937,,,,,,,,,,,,,,,,,,,,,,,,34.25617670803331,34.26000012503937,34.76187899999786,34.76187899999786,,,,35.17297095793765,left,1,0.9012062499532476,None,35.17310675000772,35.17977449996397,36.67916354199406,36.672151707927696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.67248924996238,36.67916354199406,36.67916354199406,37.82953483297024,space,1.1481972499750555,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
-30,-60,left,0,0,0,,,,,100,left,1,1.0225937499199063,None,,,,,0,0,0,0,,,,,37.85642937500961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89046429202426,38.89794787496794,40.395256708026864,40.38963045796845,,,,,,,,37.848087708000094,37.85642937500961,38.33699483296368,38.33699483296368,38.405081624980085,38.40929983300157,38.40929983300157,38.8902915000217,left,1,1.0225937499199063,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
-30,0,left,1,1,0,,,,,100,left,1,0.8729295410448685,None,,,,,0,1,1,1,,,,,40.395256708026864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.27340591698885,41.28040487493854,42.77829145803116,42.772778082988225,,,,,,,,40.39024308300577,40.395256708026864,40.88717095798347,40.88717095798347,40.961752958013676,40.961752958013676,40.961752958013676,41.273288832977414,left,1,0.8729295410448685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brian2,001,2025-08-18_14h47.11.180,tilt_staircase,2024.2.4,None,2025-08-18 14h47.22.881091 -0400,
