center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,test.started,surround_practice_3.started,center_practice_3.started,key_resp_7.started,test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,text_3.started,trial.stopped,trials.response,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,blocks.key_resp_9.keys,blocks.key_resp_9.rt,blocks.key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03580841585062444,0.04841858288273215,0.04841858288273215,228.1012486249674,space,228.04745074990205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.10144404089078,228.1243267909158,228.1243267909158,236.43908829102293,space,8.312592792091891,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.44058525003493,236.46698608295992,236.46698608295992,236.46698608295992,239.6345954160206,space,3.1629172498360276,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
30,0,right,0,0,0,right,1,6.216321917017922,None,,,,,,0,0,0,0,,,,,,,,,239.67582445801236,,,,,,,,,,,,,,,,,,,,,,,,239.67017887486145,239.67582445801236,240.13591162487864,240.13591162487864,241.13279045792297,241.13279045792297,241.13279045792297,245.90098262485117,right,1,6.216321917017922,None,245.90740545792505,246.09266887488775,247.40347441588528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
-30,0,left,1,1,0,left,1,1.1736241248436272,None,,,,,,0,1,1,1,,,,,,,,,247.4163892499637,,,,,,,,,,,,,,,,,,,,,,,,247.40437925001606,247.4163892499637,247.89898354094476,247.89898354094476,,,,248.6016860830132,left,1,1.1736241248436272,None,248.60181799996644,248.61282291589305,250.10069004097022,250.1074352080468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
30,60,right,2,2,0,right,1,1.3040546660777181,None,,,,,,0,2,2,2,,,,,,,,,250.1074352080468,,,,,,,,,,,,,,,,,,,,,,,,250.10193654103205,250.1074352080468,250.59855395788327,250.59855395788327,,,,251.4187901248224,right,1,1.3040546660777181,None,251.41892324993387,251.42656458285637,252.915836625034,252.92000158294104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
-30,-60,left,3,3,0,left,1,1.1281971670687199,None,,,,,,0,3,3,3,,,,,,,,,252.92000158294104,,,,,,,,,,,,,,,,,,,,,,,,252.91695183282718,252.92000158294104,253.415434791008,253.415434791008,,,,254.05181799991988,left,1,1.1281971670687199,None,254.051938790828,254.05959362490103,255.55048091593198,255.5597792910412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.55068270792253,255.5597792910412,255.5597792910412,261.6848649578169,space,6.115378999849781,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
-30,-60,left,0,0,0,,,,,100,left,1,1.0474875001236796,None,,,,,0,0,0,0,,,,,261.71317570796236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.76792291598395,262.77522608288564,264.26697145798244,264.27250854088925,,,,,,,,261.7049595830031,261.71317570796236,262.18664379091933,262.18664379091933,262.2570361660328,262.2570361660328,262.2570361660328,262.7678057909943,left,1,1.0474875001236796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
-30,0,left,1,1,0,,,,,100,left,1,1.000313499942422,None,,,,,0,1,1,1,,,,,264.27250854088925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.28490362502635,265.2922123328317,266.78376962500624,266.7885248749517,,,,,,,,264.2675718329847,264.27250854088925,264.7661607079208,264.7661607079208,264.83945408300497,264.83945408300497,264.83945408300497,265.2847873750143,left,1,1.000313499942422,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daniel,001,2025-08-18_18h22.17.637,tilt_staircase,2024.2.4,None,2025-08-18 18h22.38.209282 -0400,
