center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,test.started,surround_practice_3.started,center_practice_3.started,key_resp_7.started,test.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,text_3.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.response,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,blocks.key_resp_9.keys,blocks.key_resp_9.rt,blocks.key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008833499858155847,0.024137584026902914,0.024137584026902914,56.17350579192862,space,56.12673083413392,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gabriel,001,2025-08-18_15h47.50.623,tilt_staircase,2024.2.4,None,2025-08-18 15h48.06.927580 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.17366854194552,56.18238037498668,56.18238037498668,65.0250227919314,space,8.837165624834597,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gabriel,001,2025-08-18_15h47.50.623,tilt_staircase,2024.2.4,None,2025-08-18 15h48.06.927580 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.02657520887442,65.04872387484647,65.04872387484647,65.04872387484647,68.35245912498794,space,3.2963946668896824,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gabriel,001,2025-08-18_15h47.50.623,tilt_staircase,2024.2.4,None,2025-08-18 15h48.06.927580 -0400,
30,0,right,0,0,0,right,1,3.0600662091746926,None,,,,,,0,0,0,0,,,,,,,,,68.42677145893686,,,,,,,,,,,,,,,,,,,,,,,,68.42138025001623,68.42677145893686,68.85379062499851,68.85379062499851,69.84953387500718,69.84953387500718,69.84953387500718,71.49112295894884,right,1,3.0600662091746926,None,71.49822416692041,71.71124683390372,73.00038954196498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gabriel,001,2025-08-18_15h47.50.623,tilt_staircase,2024.2.4,None,2025-08-18 15h48.06.927580 -0400,
-30,0,left,1,1,0,left,1,1.1653747919481248,None,,,,,,0,1,1,1,,,,,,,,,73.0065984588582,,,,,,,,,,,,,,,,,,,,,,,,73.00161558389664,73.0065984588582,73.49188170884736,73.49188170884736,,,,74.17461824999191,left,1,1.1653747919481248,None,74.17477549985051,74.18614374985918,75.67321799998172,75.68343287496828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gabriel,001,2025-08-18_15h47.50.623,tilt_staircase,2024.2.4,None,2025-08-18 15h48.06.927580 -0400,
30,60,right,2,2,0,right,1,1.1619683341123164,None,,,,,,0,2,2,2,,,,,,,,,75.68343287496828,,,,,,,,,,,,,,,,,,,,,,,,75.67426791694015,75.68343287496828,76.17544841696508,76.17544841696508,,,,76.85255033383146,right,1,1.1619683341123164,None,76.85273599997163,76.861576708965,78.35087708383799,78.35683504189365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gabriel,001,2025-08-18_15h47.50.623,tilt_staircase,2024.2.4,None,2025-08-18 15h48.06.927580 -0400,
-30,-60,left,3,3,0,left,1,1.0949431250337511,None,,,,,,0,3,3,3,,,,,,,,,78.35683504189365,,,,,,,,,,,,,,,,,,,,,,,,78.35201029200107,78.35683504189365,78.84907037485391,78.84907037485391,,,,79.45773187489249,left,1,1.0949431250337511,None,79.45783787500113,79.46579508390278,80.95121316704899,80.96021737484261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gabriel,001,2025-08-18_15h47.50.623,tilt_staircase,2024.2.4,None,2025-08-18 15h48.06.927580 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.95145608391613,80.96021737484261,80.96021737484261,91.31843662494794,space,10.34699016599916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gabriel,001,2025-08-18_15h47.50.623,tilt_staircase,2024.2.4,None,2025-08-18 15h48.06.927580 -0400,
-30,-60,left,0,0,0,,,,,100,left,1,2.079208082985133,None,,,,,0,0,0,0,,,,,91.34595591691323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.43547583394684,93.44291933393106,94.93409433402121,94.93903858400881,,,,,,,,91.33774391701445,91.34595591691323,91.81999916699715,91.81999916699715,91.89049541694112,91.89049541694112,91.89049541694112,93.43531462503597,left,1,2.079208082985133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gabriel,001,2025-08-18_15h47.50.623,tilt_staircase,2024.2.4,None,2025-08-18 15h48.06.927580 -0400,
-30,0,left,1,1,0,,,,,100,left,1,1.1617895408999175,None,,,,,0,1,1,1,,,,,94.93903858400881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.10997462482192,96.11551433382556,97.6011138339527,97.60668612504378,,,,,,,,94.93463904201053,94.93903858400881,95.43361558392644,95.43361558392644,95.50648612482473,95.50648612482473,95.50648612482473,96.10981312487274,left,1,1.1617895408999175,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gabriel,001,2025-08-18_15h47.50.623,tilt_staircase,2024.2.4,None,2025-08-18 15h48.06.927580 -0400,
