center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.response,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,blocks.key_resp_9.keys,blocks.key_resp_9.rt,blocks.key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010875457999645732,0.018027457997959573,0.018027457997959573,436.5912858329975,space,436.529257999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049995,0,2025-10-20_13h59.33.505,tilt_staircase,2024.2.4,None,2025-10-20 13h59.42.028224 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.5913857080013,436.60669870799757,436.60669870799757,444.2957854580018,space,7.686467708001146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049995,0,2025-10-20_13h59.33.505,tilt_staircase,2024.2.4,None,2025-10-20 13h59.42.028224 -0400,
30,0,right,0,0,0,right,1,6.06673333299841,None,,,,,,0,0,0,0,,,,,,,,,444.3179701659974,,,,,,,,,,,,,,,,444.3089581660024,444.3179701659974,444.8260396659971,444.8260396659971,445.79560508300347,445.8153767499971,445.8153767499971,450.394951125003,right,1,6.06673333299841,None,450.40046716600045,450.459006750003,451.90012258299976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049995,0,2025-10-20_13h59.33.505,tilt_staircase,2024.2.4,None,2025-10-20 13h59.42.028224 -0400,
-30,0,left,1,1,0,left,1,3.689753999999084,None,,,,,,0,1,1,1,,,,,,,,,451.90945691600064,,,,,,,,,,,,,,,,451.9015328750029,451.90945691600064,452.3925298750037,452.3925298750037,453.39317100000335,453.38096091600164,453.38096091600164,455.60204204099864,left,1,3.689753999999084,None,455.60217674999876,455.61128616600035,457.09913345800305,457.10992958299903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049995,0,2025-10-20_13h59.33.505,tilt_staircase,2024.2.4,None,2025-10-20 13h59.42.028224 -0400,
30,60,right,2,2,0,right,1,1.0703287910000654,None,,,,,,0,2,2,2,,,,,,,,,457.10992958299903,,,,,,,,,,,,,,,,457.10015466599725,457.10992958299903,457.6021302500012,457.6021302500012,,,,458.18515304099856,right,1,1.0703287910000654,None,458.1853467910041,458.19509791600285,459.68408174999786,459.69299991599837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049995,0,2025-10-20_13h59.33.505,tilt_staircase,2024.2.4,None,2025-10-20 13h59.42.028224 -0400,
-30,-60,left,3,3,0,left,1,1.0170432079976308,None,,,,,,0,3,3,3,,,,,,,,,459.69299991599837,,,,,,,,,,,,,,,,459.68543825000233,459.69299991599837,460.18611808300193,460.18611808300193,,,,460.71329766599956,left,1,1.0170432079976308,None,460.713433541001,460.7225552500022,462.21071633300016,462.2184501660013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049995,0,2025-10-20_13h59.33.505,tilt_staircase,2024.2.4,None,2025-10-20 13h59.42.028224 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.210894541,462.2184501660013,462.2184501660013,476.21327945800294,space,13.992076915994403,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049995,0,2025-10-20_13h59.33.505,tilt_staircase,2024.2.4,None,2025-10-20 13h59.42.028224 -0400,
-30,-60,left,0,0,0,,,,,100,right,0,1.4518319580020034,None,,,,,0,0,0,0,,,,,476.2298169159985,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.68612383300206,477.710425958001,479.19413733299734,,,,,,,,,476.2202014159993,476.2298169159985,476.7142089580011,476.7142089580011,476.7857455409976,476.7857455409976,476.7857455409976,477.68596137499844,right,0,1.4518319580020034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049995,0,2025-10-20_13h59.33.505,tilt_staircase,2024.2.4,None,2025-10-20 13h59.42.028224 -0400,
-30,0,left,1,1,0,,,,,100,left,1,0.781991834002838,None,,,,,0,1,1,1,,,,,479.19945766599994,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.98645520800346,480.0105681249988,481.49432591599907,,,,,,,,,479.1946545000028,479.19945766599994,479.6858157079987,479.6858157079987,479.76059387499845,479.76059387499845,479.76059387499845,479.9863092910018,left,1,0.781991834002838,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049995,0,2025-10-20_13h59.33.505,tilt_staircase,2024.2.4,None,2025-10-20 13h59.42.028224 -0400,
30,60,right,2,2,0,,,,,100,right,1,0.7885024999995949,None,,,,,0,2,2,2,,,,,481.5001059580027,,,,,,,,,,,,,,,,,,,,,,,,,,,,482.29591620800056,482.30452979099937,483.79495433300326,483.8010826660029,,,,,,,,481.49482945800264,481.5001059580027,481.98605170800147,481.98605170800147,482.060395833003,482.060395833003,482.060395833003,482.2957998749989,right,1,0.7885024999995949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049995,0,2025-10-20_13h59.33.505,tilt_staircase,2024.2.4,None,2025-10-20 13h59.42.028224 -0400,
