center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,surround_practice.stopped,center_practice.stopped,text_11.started,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.response,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,blocks.key_resp_9.keys,blocks.key_resp_9.rt,blocks.key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011137375004182104,0.018486250002752058,0.018486250002752058,89.3894502500043,space,89.32714866700553,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.38957208300417,89.40406870800507,89.40406870800507,120.31386400000338,space,30.903217541999766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
30,0,right,0,0,0,right,1,5.215935832995456,None,,,,,,0,0,0,0,,,,,,,,,120.33501583299949,,,,,,,,,,,,,,,,120.32624316700094,120.33501583299949,120.8187392079999,120.8187392079999,121.81151875000069,121.81151875000069,121.81151875000069,125.5538962080027,right,1,5.215935832995456,None,125.55888320800295,125.61516174999997,127.06236879200151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
-30,0,left,1,1,0,left,1,7.752509291000024,None,,,,,,0,1,1,1,,,,,,,,,127.06916175000515,,,,,,,,,,,,,,,,127.06364945800306,127.06916175000515,127.55397862500104,127.55397862500104,128.5520757080012,128.5520757080012,128.5520757080012,134.83162087500386,left,1,7.752509291000024,None,134.83172612500493,134.8404712920019,136.32996316700155,136.33715170800133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
30,60,right,2,2,0,right,1,2.200422208996315,None,,,,,,0,2,2,2,,,,,,,,,136.33715170800133,,,,,,,,,,,,,,,,136.33125208300044,136.33715170800133,136.82899633300258,136.82899633300258,137.81772233299853,137.81772233299853,137.82936108300055,138.54770508300135,right,1,2.200422208996315,None,138.54781616700348,138.55631179200282,140.04665562500304,140.05491737500415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
-30,-60,left,3,3,0,left,1,1.6461952500030748,None,,,,,,0,3,3,3,,,,,,,,,140.05491737500415,,,,,,,,,,,,,,,,140.04940833300498,140.05491737500415,140.54557587500312,140.54557587500312,141.53466945800028,141.53466945800028,141.5460882920015,141.704360542004,left,1,1.6461952500030748,None,141.7044642500041,141.71258737500466,143.19687129199883,143.20479012500437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.19704970800376,143.20479012500437,143.20479012500437,155.3660363750023,space,12.158733833995939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
-30,-60,left,0,0,0,,,,,100,left,1,1.5349433329975,None,,,,,0,0,0,0,,,,,155.38170925000304,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.92210004200024,156.94592737500352,158.43009537499893,,,,,,,,,155.37233412500063,155.38170925000304,155.86552545800077,155.86552545800077,155.93782091700268,155.93782091700268,155.93782091700268,156.92193254200538,left,1,1.5349433329975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
-30,0,left,1,1,0,,,,,100,left,1,1.353805916995043,None,,,,,0,1,1,1,,,,,158.43624779200036,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.79937366700324,159.80809058299928,161.29760629199882,161.3039856250034,,,,,,,,158.43061316700187,158.43624779200036,158.92271133300528,158.92271133300528,158.99676754200482,158.99676754200482,158.99676754200482,159.79918625000573,left,1,1.353805916995043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
30,60,right,2,2,0,,,,,100,right,1,1.3878723329980858,None,,,,,0,2,2,2,,,,,161.3039856250034,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.6992317500044,162.7075957920024,164.1975738330002,164.20357520800462,,,,,,,,161.29818750000413,161.3039856250034,161.79628562500147,161.79628562500147,161.8698660000009,161.8698660000009,161.8698660000009,162.6991116249992,right,1,1.3878723329980858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049996,0,2025-10-20_13h29.32.005,tilt_staircase,2024.2.4,119.20810011899528,2025-10-20 13h29.50.471759 -0400,
