center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.response,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,blocks.key_resp_9.keys,blocks.key_resp_9.rt,blocks.key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009746707997692283,0.017086665997339878,0.017086665997339878,284.202645915997,space,284.143479499995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.2027308329998,284.21780687499995,284.21780687499995,290.72265774999687,space,6.492562958002964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
30,0,right,0,0,0,right,1,5.1622087089999695,None,,,,,,0,0,0,0,,,,,,,,,290.7390393329988,,,,,,,,,,,,,,,,290.73361541600025,290.7390393329988,291.2288195000001,291.2288195000001,292.2196367910001,292.2259121659954,292.2259121659954,295.9055445829945,right,1,5.1622087089999695,None,295.9107355829983,295.9671066660012,297.4089497499954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
-30,0,left,1,1,0,left,1,2.232947125005012,None,,,,,,0,1,1,1,,,,,,,,,297.4203687909976,,,,,,,,,,,,,,,,297.4100733749947,297.4203687909976,297.90311587500037,297.90311587500037,298.90385120800056,298.892582374996,298.892582374996,299.6558881249948,left,1,2.232947125005012,None,299.65600108299986,299.66481729099905,301.1544319159948,301.1614674579978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
30,60,right,2,2,0,right,1,1.6189727090022643,None,,,,,,0,2,2,2,,,,,,,,,301.1614674579978,,,,,,,,,,,,,,,,301.15573608299746,301.1614674579978,301.6532965829974,301.6532965829974,302.6539297909985,302.64314754099905,302.64314754099905,302.78958095800044,right,1,1.6189727090022643,None,302.7897379999995,302.79913941599807,304.2880319159958,304.297444541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
-30,-60,left,3,3,0,left,1,1.3107735000012326,None,,,,,,0,3,3,3,,,,,,,,,304.297444541,,,,,,,,,,,,,,,,304.2916063329976,304.297444541,304.78682108299836,304.78682108299836,,,,305.61214629099413,left,1,1.3107735000012326,None,305.61225729099533,305.6208409999963,307.10470870800054,307.1129937910009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.10489999999845,307.1129937910009,307.1129937910009,325.31209858299553,space,18.193363166996278,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
-30,-60,left,0,0,0,,,,,100,right,0,1.994627957996272,None,,,,,0,0,0,0,,,,,325.3264265409962,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.3234385830001,327.3319507499982,328.8222582909948,328.8284488749996,,,,,,,,325.3181238749967,325.3264265409962,325.8173561250005,325.8173561250005,325.88746191599785,325.8927459159968,325.8927459159968,327.3232982909976,right,0,1.994627957996272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
-30,0,left,1,1,0,,,,,100,left,1,1.1764999160004663,None,,,,,0,1,1,1,,,,,328.8284488749996,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.0075688329962,330.01621170799626,331.50559287500073,331.5115413329986,,,,,,,,328.8228517079988,328.8284488749996,329.3209921249945,329.3209921249945,329.3944584579949,329.3944584579949,329.3944584579949,330.00743566599704,left,1,1.1764999160004663,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
30,60,right,2,2,0,,,,,100,right,1,1.1546703330022865,None,,,,,0,2,2,2,,,,,331.5115413329986,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.6739955410012,332.6826290829995,334.17237770799693,334.17793945800076,,,,,,,,331.50612512500084,331.5115413329986,332.00437283299834,332.00437283299834,332.0779532079978,332.0779532079978,332.0779532079978,332.6738442909991,right,1,1.1546703330022865,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049997,0,2025-10-20_12h56.33.344,tilt_staircase,2024.2.4,120.09884133706386,2025-10-20 12h57.05.261796 -0400,
