center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,surround_practice_2.stopped,center_practice_2.stopped,text_12.started,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,start_instr.started,text_13.started,key_resp_8.started,start_instr.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration,trials.label,trials.nReps,trials.startVal,trials.maxVal,trials.minVal,trials.stepSizes,trials.stepType,trials.nUp,trials.nDown,trials.nReversals,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.intensity,center_angle,surround_angle,trial.started,resp.started,surround_grating.started,center_grating.started,text_3.started,surround_grating.stopped,center_grating.stopped,trial.stopped,trials.response,break_2.started,text_14.started,key_resp_9.started,break_2.stopped,blocks.key_resp_9.keys,blocks.key_resp_9.rt,blocks.key_resp_9.duration,end.started,text_4.started,key_resp.started,end.stopped,key_resp.keys,key_resp.rt,key_resp.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008513249998941319,0.016510416997334687,0.016510416997334687,1148.3204937919982,space,1148.2593824169999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148.320576541999,1148.3360726669998,1148.3360726669998,1155.954469291999,space,7.607552000001306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
30,0,right,0,0,0,right,1,8.497885582997696,None,,,,,,0,0,0,0,,,,,,,,,1155.9774183329973,,,,,,,,,,,,,,,,1155.9685763749985,1155.9774183329973,1156.4593509579972,1156.4593509579972,1157.4516351249986,1157.4581310419999,1157.4581310419999,1164.477742707997,right,1,8.497885582997696,None,1164.4828950419978,1164.540191917,1165.9860420829973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
-30,0,left,1,1,0,left,1,2.8109984580005403,None,,,,,,0,1,1,1,,,,,,,,,1165.993187958,,,,,,,,,,,,,,,,1165.987350042,1165.993187958,1166.4772338330004,1166.4772338330004,1167.4755862079983,1167.4755862079983,1167.4755862079983,1168.810580333,left,1,2.8109984580005403,None,1168.8106939579993,1168.8191543329995,1170.303242957998,1170.3102600829989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
30,60,right,2,2,0,right,1,3.481362624999747,None,,,,,,0,2,2,2,,,,,,,,,1170.3102600829989,,,,,,,,,,,,,,,,1170.304568042,1170.3102600829989,1170.8115102079973,1170.8115102079973,1171.808793332999,1171.808793332999,1171.808793332999,1173.793974207998,right,1,3.481362624999747,None,1173.7941012919982,1173.8024595829993,1175.2868374169993,1175.2938457499986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
-30,-60,left,3,3,0,left,1,2.0550642079979298,None,,,,,,0,3,3,3,,,,,,,,,1175.2938457499986,,,,,,,,,,,,,,,,1175.288088666999,1175.2938457499986,1175.7944628749974,1175.7944628749974,1176.7857320000003,1176.7921019999994,1176.7921019999994,1177.3548737499987,left,1,2.0550642079979298,None,1177.354989749998,1177.3636272919975,1178.8535038749978,1178.8615040829973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1178.8536917499987,1178.8615040829973,1178.8615040829973,1208.140335,space,29.2763654579976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
-30,-60,left,0,0,0,,,,,100,left,1,2.135534208999161,None,,,,,0,0,0,0,,,,,1208.1573936669993,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210.295538167,1210.303906582998,1211.7885178750003,1211.7948520829996,,,,,,,,1208.148752666999,1208.1573936669993,1208.640638249999,1208.640638249999,1208.7119255420002,1208.7119255420002,1208.7119255420002,1210.2953973749973,left,1,2.135534208999161,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
-30,0,left,1,1,0,,,,,100,left,1,1.0420293749994016,None,,,,,0,1,1,1,,,,,1211.7948520829996,,,,,,,,,,,,,,,,,,,,,,,,,,,,1212.8400244999975,1212.8492617919983,1214.3381558330002,1214.3441243749985,,,,,,,,1211.7891895829998,1211.7948520829996,1212.296071875,1212.296071875,1212.3702783749977,1212.3702783749977,1212.3702783749977,1212.839831166999,left,1,1.0420293749994016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
30,60,right,2,2,0,,,,,100,right,1,1.0100224589987192,None,,,,,0,2,2,2,,,,,1214.3441243749985,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215.3568258329979,1215.3654750829992,1216.8550544169993,1216.8615878749988,,,,,,,,1214.3387078749984,1214.3441243749985,1214.8371144999983,1214.8371144999983,1214.9107073749983,1214.9107073749983,1214.9107073749983,1215.3566889579997,right,1,1.0100224589987192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-17_10h44.28.208,tilt_staircase,2024.2.4,120.34641764341205,2025-10-17 10h44.51.975870 -0400,
