center,surround,correct,thisN,thisTrialN,thisRepN,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,opacity,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.duration,practice_no_time.thisRepN,practice_no_time.thisTrialN,practice_no_time.thisN,practice_no_time.thisIndex,practice_timed.thisRepN,practice_timed.thisTrialN,practice_timed.thisN,practice_timed.thisIndex,thisRow.t,notes,instr.started,text_5.started,key_resp_2.started,instr.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,instr2.started,text_6.started,key_resp_6.started,instr2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,practice_trial.started,key_resp_3.started,surround_practice.started,center_practice.started,text_11.started,surround_practice.stopped,center_practice.stopped,practice_trial.stopped,practice_no_time.key_resp_3.keys,practice_no_time.key_resp_3.corr,practice_no_time.key_resp_3.rt,practice_no_time.key_resp_3.duration,practice_feedback.started,text_7.started,practice_feedback.stopped,text_7.stopped,instr3.started,text_8.started,key_resp_5.started,instr3.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,practice_trial_timed.started,key_resp_4.started,surround_practice_2.started,center_practice_2.started,text_12.started,surround_practice_2.stopped,center_practice_2.stopped,practice_trial_timed.stopped,practice_timed.key_resp_4.keys,practice_timed.key_resp_4.corr,practice_timed.key_resp_4.rt,practice_timed.key_resp_4.duration,sub,ses,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,0.010691541945561767,0.01962999999523163,0.01962999999523163,15.398656042059883,space,15.331340041011572,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h43.19.274,tilt_staircase,2024.2.4,None,2025-10-18 11h43.28.449876 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.398762792116031,15.4123528751079,15.4123528751079,15.478871667059138,space,0.06137229106388986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h43.19.274,tilt_staircase,2024.2.4,None,2025-10-18 11h43.28.449876 -0400,
30,0,right,0,0,0,right,1,2.0867289579473436,None,,,,,,0,0,0,0,,,,,15.498360250145197,,,,,,,,,,,,,,,,15.491924416972324,15.498360250145197,15.980432042153552,15.980432042153552,16.970680166967213,16.977204708149657,16.977204708149657,17.59617462498136,right,1,2.0867289579473436,None,17.601037916960195,17.658605166943744,19.100885292049497,,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h43.19.274,tilt_staircase,2024.2.4,None,2025-10-18 11h43.28.449876 -0400,
-30,0,left,1,1,0,left,1,0.8626213748939335,None,,,,,,0,1,1,1,,,,,19.11145416693762,,,,,,,,,,,,,,,,19.102414957946166,19.11145416693762,19.59455137513578,19.59455137513578,,,,19.981763292104006,left,1,0.8626213748939335,None,19.981827582931146,19.990544375032187,21.47917254199274,21.484825999941677,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h43.19.274,tilt_staircase,2024.2.4,None,2025-10-18 11h43.28.449876 -0400,
30,60,right,2,2,0,right,1,0.9057360000442713,None,,,,,,0,2,2,2,,,,,21.484825999941677,,,,,,,,,,,,,,,,21.480220875004306,21.484825999941677,21.9771047080867,21.9771047080867,,,,22.39687691698782,right,1,0.9057360000442713,None,22.396980999968946,22.404845583019778,23.896022333065048,23.901304041966796,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h43.19.274,tilt_staircase,2024.2.4,None,2025-10-18 11h43.28.449876 -0400,
-30,-60,left,3,3,0,left,1,0.9953344999812543,None,,,,,,0,3,3,3,,,,,23.901304041966796,,,,,,,,,,,,,,,,23.896990166977048,23.901304041966796,24.39397987513803,24.39397987513803,,,,24.90426770807244,left,1,0.9953344999812543,None,24.90440775011666,24.91409687511623,26.39927712501958,26.411333082942292,,,,,,,,,,,,,,,,,,,,21049999,0,2025-10-18_11h43.19.274,tilt_staircase,2024.2.4,None,2025-10-18 11h43.28.449876 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.399415499996394,26.411333082942292,26.411333082942292,27.962528500007465,space,1.5421564169228077,None,,,,,,,,,,,,,21049999,0,2025-10-18_11h43.19.274,tilt_staircase,2024.2.4,None,2025-10-18 11h43.28.449876 -0400,
-30,-60,left,0,0,0,,,,,100,left,1,1.0124342499766499,None,,,,,0,0,0,0,27.976450792048126,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.99648387497291,29.00376445800066,30.496031458023936,30.501265041995794,,,,,,,,27.96935408306308,27.976450792048126,28.47715699998662,28.47715699998662,28.535114417085424,28.549800042062998,28.549800042062998,28.99637470813468,left,1,1.0124342499766499,None,21049999,0,2025-10-18_11h43.19.274,tilt_staircase,2024.2.4,None,2025-10-18 11h43.28.449876 -0400,
-30,0,left,1,1,0,,,,,100,left,1,0.8864519170019776,None,,,,,0,1,1,1,30.501265041995794,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.396335333120078,31.40208658296615,32.895805875072256,32.901274333009496,,,,,,,,30.49656316707842,30.501265041995794,30.994747624965385,30.994747624965385,31.06748512503691,31.06748512503691,31.06748512503691,31.396224708063528,left,1,0.8864519170019776,None,21049999,0,2025-10-18_11h43.19.274,tilt_staircase,2024.2.4,None,2025-10-18 11h43.28.449876 -0400,
30,60,right,2,2,0,,,,,100,right,1,0.8660134579986334,None,,,,,0,2,2,2,32.901274333009496,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.77992866700515,33.787103292066604,35.27952391700819,35.284975917078555,,,,,,,,32.89638083311729,32.901274333009496,33.394595958059654,33.394595958059654,33.467707332922146,33.467707332922146,33.467707332922146,33.779816624941304,right,1,0.8660134579986334,None,21049999,0,2025-10-18_11h43.19.274,tilt_staircase,2024.2.4,None,2025-10-18 11h43.28.449876 -0400,
30,0,right,3,3,0,,,,,100,right,1,1.2706535421311855,None,,,,,0,3,3,3,35.284975917078555,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5635019170586,36.5699134580791,38.0620054169558,38.06583437509835,,,,,,,,35.28003083309159,35.284975917078555,35.778043375117704,35.778043375117704,35.85121558303945,35.85121558303945,35.85121558303945,36.563379999948665,right,1,1.2706535421311855,None,21049999,0,2025-10-18_11h43.19.274,tilt_staircase,2024.2.4,None,2025-10-18 11h43.28.449876 -0400,
-30,69,left,4,4,0,,,,,0,left,1,0.8937600001227111,None,,,,,0,4,4,4,38.06583437509835,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.963426917092875,38.9711017080117,40.46137087512761,40.465851250104606,,,,,,,,38.0625824581366,38.06583437509835,38.56088654207997,38.56088654207997,38.634142874972895,38.634142874972895,38.634142874972895,38.963279417017475,left,1,0.8937600001227111,None,21049999,0,2025-10-18_11h43.19.274,tilt_staircase,2024.2.4,None,2025-10-18 11h43.28.449876 -0400,
30,69,right,5,5,0,,,,,0,,,,,,,,,0,5,5,5,40.465851250104606,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.35283087496646,41.36050354200415,,,,,,,,,,40.4619694580324,40.465851250104606,40.960516083054245,40.960516083054245,41.03334683296271,41.03334683296271,41.03334683296271,41.35271462495439,right,1,0.8824133339803666,None,,,,,,,,
